Mode No.;Member;Node;Location;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;No.;x [m];u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Member Comment
2;28;6;0.000;-0.08443;0.40718;-0.12189;0.06901;0.03377;0.02544;steel beam
2;28;24;4.000;0.07200;0.40727;0.11535;0.06683;-0.02141;-0.15032;steel beam
2;29;8;0.000;0.00170;0.13149;-0.11773;0.05823;-0.00093;0.00000;concrete beam
2;29;26;4.000;0.00169;0.13149;0.11576;0.05823;-0.00056;0.00000;concrete beam
2;30;9;0.000;0.01084;0.38854;-0.11778;0.06417;-0.00301;0.00113;steel beam
2;30;27;4.000;0.00617;0.38854;0.11581;0.06417;-0.00142;0.00113;steel beam
2;31;11;0.000;0.00176;0.13155;-0.11553;0.05823;-0.00055;0.00003;concrete beam
2;31;29;4.000;0.00163;0.13155;0.11795;0.05823;-0.00090;0.00003;concrete beam
2;32;12;0.000;0.00616;0.38860;-0.11558;0.06417;-0.00140;-0.00104;steel beam
2;32;30;4.000;0.01046;0.38860;0.11800;0.06417;-0.00291;-0.00104;steel beam
2;33;14;0.000;0.00179;0.13170;-0.11523;0.05910;-0.00012;0.00005;concrete beam
2;33;32;4.000;0.00159;0.13170;0.12197;0.05909;-0.00134;0.00005;concrete beam
2;34;15;0.000;0.00079;0.39266;-0.11528;0.06517;0.00044;-0.00366;steel beam
2;34;33;4.000;0.01585;0.39266;0.12202;0.06517;-0.00476;-0.00366;steel beam
2;35;17;0.000;0.00179;0.13190;-0.11765;0.06172;0.00095;0.00004;concrete beam
2;35;35;4.000;0.00159;0.13190;0.12880;0.06172;-0.00248;0.00004;concrete beam
2;36;18;0.000;-0.49865;0.80380;-0.11861;0.16777;0.02502;-0.00453;steel beam
2;36;36;4.000;0.53597;0.80381;0.12977;0.16791;-0.02944;-0.00725;steel beam
2;37;3;0.000;-0.49869;0.83609;-0.12802;0.17201;0.02958;-0.01185;timber beam
2;37;18;15.000;-0.49865;0.80380;-0.11861;0.16777;0.02502;-0.00453;timber beam
2;38;21;0.000;0.53596;0.83621;0.11620;0.17595;-0.02975;-0.00714;timber beam
2;38;36;15.000;0.53597;0.80381;0.12977;0.16791;-0.02944;-0.00725;timber beam
2;39;3;0.000;-0.49869;0.83609;-0.12802;0.17201;0.02958;-0.01185;Aluminium beam
2;39;24;5.000;0.07200;0.40727;0.11535;0.06683;-0.02141;-0.15032;Aluminium beam
;;;;;;;;;;
3;1;1;0.000;0.00000;0.00000;-0.07467;0.00000;0.00000;0.00000;concrete column
3;1;2;3.600;0.00820;0.05377;-0.07471;0.02499;-0.00530;0.00054;concrete column
3;2;2;0.000;0.00820;0.05377;-0.07471;0.02499;-0.00530;0.00054;steel column
3;2;3;4.000;0.86220;0.15185;-0.07509;0.02392;-0.04554;0.03112;steel column
3;3;4;0.000;0.00000;0.00000;-0.06346;0.00000;0.00000;0.00000;concrete column
3;3;5;3.600;0.00819;0.05546;-0.06349;0.02482;-0.00322;0.00053;concrete column
3;4;5;0.000;0.00819;0.05546;-0.06349;0.02482;-0.00322;0.00053;steel column
3;4;6;4.000;-0.09346;0.19091;-0.06354;0.03422;0.04072;-0.25435;steel column
3;5;7;0.000;0.00000;0.00000;-0.05456;0.00000;0.00000;0.00000;concrete column
3;5;8;3.600;0.00819;0.05715;-0.05458;0.02531;-0.00296;0.00054;concrete column
3;6;8;0.000;0.00819;0.05715;-0.05458;0.02531;-0.00296;0.00054;steel column
3;6;9;4.000;0.03593;0.16916;-0.05460;0.02797;-0.00907;-0.00013;steel column
3;7;10;0.000;0.00000;0.00000;-0.04704;0.00000;0.00000;0.00000;concrete column
3;7;11;3.600;0.00821;0.05887;-0.04707;0.02607;-0.00266;0.00055;concrete column
3;8;11;0.000;0.00821;0.05887;-0.04707;0.02607;-0.00266;0.00055;steel column
3;8;12;4.000;0.03255;0.17417;-0.04709;0.02878;-0.00793;-0.00108;steel column
3;9;13;0.000;0.00000;0.00000;-0.04058;0.00000;0.00000;0.00000;concrete column
3;9;14;3.600;0.00822;0.06063;-0.04060;0.02717;-0.00249;0.00055;concrete column
3;10;14;0.000;0.00822;0.06063;-0.04060;0.02717;-0.00249;0.00055;steel column
3;10;15;4.000;0.03041;0.18081;-0.04063;0.03001;-0.00719;-0.00202;steel column
3;11;16;0.000;0.00000;0.00000;-0.03352;0.00000;0.00000;0.00000;concrete column
3;11;17;3.600;0.00823;0.06241;-0.03354;0.02850;-0.00448;0.00056;concrete column
3;12;17;0.000;0.00823;0.06241;-0.03354;0.02850;-0.00448;0.00056;steel column
3;12;18;4.000;0.86233;0.50521;-0.03380;0.10816;-0.04955;0.03113;steel column
3;13;19;0.000;0.00000;0.00000;0.02617;0.00000;0.00000;0.00000;concrete column
3;13;20;3.600;0.00595;0.05377;0.02618;0.02496;-0.00153;0.00055;concrete column
3;14;20;0.000;0.00595;0.05377;0.02618;0.02496;-0.00153;0.00055;steel column
3;14;21;4.000;-0.77608;0.15209;0.02647;0.02720;0.03943;0.03119;steel column
3;15;22;0.000;0.00000;0.00000;0.03601;0.00000;0.00000;0.00000;concrete column
3;15;23;3.600;0.00597;0.05547;0.03602;0.02487;-0.00414;0.00051;concrete column
3;16;23;0.000;0.00597;0.05547;0.03602;0.02487;-0.00414;0.00051;steel column
3;16;24;4.000;0.80678;0.19106;0.03614;0.02952;-0.29505;-0.15610;steel column
3;17;25;0.000;0.00000;0.00000;0.04695;0.00000;0.00000;0.00000;concrete column
3;17;26;3.600;0.00594;0.05715;0.04697;0.02534;-0.00326;0.00054;concrete column
3;18;26;0.000;0.00594;0.05715;0.04697;0.02534;-0.00326;0.00054;steel column
3;18;27;4.000;0.03653;0.16916;0.04699;0.02796;-0.01001;-0.00013;steel column
3;19;28;0.000;0.00000;0.00000;0.05743;0.00000;0.00000;0.00000;concrete column
