Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;82;9.500;1.000;-3.600;;-81.638;6.770;3.513;27.070;25.046;86.524;1.993;-2.969;
1;83;10.000;1.000;-3.600;;-65.876;8.382;5.998;27.779;10.208;85.555;2.368;-6.117;
1;84;10.500;1.000;-3.600;;-52.080;9.453;4.404;20.002;4.456;83.522;4.743;-9.007;
1;85;11.000;1.000;-3.600;;-43.510;9.814;0.830;8.084;-0.352;79.000;8.706;-11.344;
1;86;11.500;1.000;-3.600;;-42.657;10.938;-3.426;-6.498;-8.415;73.964;16.227;-11.500;
1;87;12.000;1.000;-3.600;;-64.858;7.820;-7.443;-2.662;61.268;71.176;9.915;-7.082;
1;88;12.500;1.000;-3.600;;-62.775;7.567;4.631;36.150;45.239;68.175;0.043;-18.045;
1;89;13.000;1.000;-3.600;;-37.489;9.202;10.883;45.742;16.968;61.906;7.741;-27.623;
1;90;13.500;1.000;-3.600;;-11.043;9.673;10.936;40.782;5.195;51.587;15.924;-36.202;
1;91;14.000;1.000;-3.600;;10.975;9.115;7.264;29.392;-4.050;32.480;23.199;-40.441;
1;92;14.500;1.000;-3.600;;24.308;9.920;0.406;12.160;-24.706;10.797;28.493;-31.241;
1;93;15.000;1.000;-3.600;;25.636;12.231;-6.004;-8.390;46.960;-19.956;-37.482;-0.098;
1;94;0.000;1.500;-3.600;;15.028;10.980;-6.979;3.219;21.993;-12.561;-36.523;18.552;
1;95;0.500;1.500;-3.600;;12.040;14.639;-9.619;-5.447;-21.202;-6.871;23.386;28.773;
1;96;1.000;1.500;-3.600;;3.783;16.314;-9.400;-14.114;45.890;-6.151;58.442;26.005;
1;98;2.000;1.500;-3.600;;-10.899;13.798;-11.643;-60.285;-7.668;-18.162;1.638;14.962;
1;99;2.500;1.500;-3.600;;-37.370;13.807;-7.261;-41.370;39.382;26.073;9.781;21.534;
1;100;3.000;1.500;-3.600;;-44.889;14.881;-1.152;-9.017;28.522;63.599;12.223;18.417;
1;101;3.500;1.500;-3.600;;-35.345;14.549;1.269;-0.835;6.475;65.872;15.502;9.278;
1;102;4.000;1.500;-3.600;;-36.796;13.186;0.792;-8.222;3.783;72.692;12.820;8.137;
1;103;4.500;1.500;-3.600;;-44.700;13.324;-0.493;-16.391;4.730;78.740;7.832;6.185;
1;104;5.000;1.500;-3.600;;-57.310;14.029;-0.995;-20.337;9.400;83.248;4.513;4.226;
1;105;5.500;1.500;-3.600;;-70.037;14.448;0.528;-18.001;14.917;85.735;4.413;1.892;
1;106;6.000;1.500;-3.600;;-76.060;13.556;3.296;-2.371;33.842;86.847;7.774;0.534;
1;107;6.500;1.500;-3.600;;-68.423;13.780;3.892;7.545;7.606;87.858;8.723;1.060;
1;108;7.000;1.500;-3.600;;-63.477;12.840;3.408;4.692;4.154;89.259;7.817;0.707;
1;109;7.500;1.500;-3.600;;-62.085;12.563;1.629;-1.713;2.439;90.015;6.924;-0.401;
1;110;8.000;1.500;-3.600;;-65.507;12.814;-0.154;-7.983;4.066;89.789;7.541;-1.502;
1;111;8.500;1.500;-3.600;;-72.221;13.628;-0.677;-10.522;7.381;88.812;8.456;-1.879;
1;112;9.000;1.500;-3.600;;-81.410;13.276;-0.116;0.306;33.153;88.058;7.895;-1.099;
1;113;9.500;1.500;-3.600;;-76.459;14.250;2.547;16.270;14.253;87.413;4.637;-1.841;
1;114;10.000;1.500;-3.600;;-65.073;14.041;3.794;18.441;8.260;85.601;4.327;-3.773;
1;115;10.500;1.500;-3.600;;-53.992;13.691;2.743;14.592;2.909;82.054;6.917;-5.260;
1;116;11.000;1.500;-3.600;;-47.432;13.904;0.420;6.931;0.987;77.350;11.203;-6.301;
1;117;11.500;1.500;-3.600;;-46.752;15.445;-1.486;0.407;1.873;72.533;13.533;-5.647;
1;118;12.000;1.500;-3.600;;-55.776;15.922;-2.456;4.241;30.860;69.126;10.497;-5.230;
1;119;12.500;1.500;-3.600;;-52.090;16.604;2.706;23.331;21.493;61.393;8.389;-10.021;
1;120;13.000;1.500;-3.600;;-33.719;15.656;5.934;30.682;12.578;49.969;13.357;-15.800;
1;121;13.500;1.500;-3.600;;-12.140;13.581;5.860;29.804;3.555;33.379;21.869;-19.449;
1;122;14.000;1.500;-3.600;;5.964;11.640;3.376;20.727;-2.597;15.068;26.256;-19.619;
1;123;14.500;1.500;-3.600;;15.274;11.749;-0.262;7.944;-9.088;0.909;9.382;-10.490;
1;124;15.000;1.500;-3.600;;15.378;12.996;-1.775;-4.917;28.925;-14.156;-45.027;1.665;
1;125;0.000;2.000;-3.600;;12.132;12.499;-7.735;-0.779;2.882;-2.569;-41.957;12.691;
1;126;0.500;2.000;-3.600;;7.777;12.835;-7.422;-13.894;-4.354;19.689;13.315;14.472;
1;127;1.000;2.000;-3.600;;-0.269;7.239;-5.155;-43.496;7.486;55.287;85.788;30.696;
1;128;1.500;2.000;-3.600;;-13.596;1.294;-8.554;-105.049;24.085;46.518;-1.732;5.673;
1;129;2.000;2.000;-3.600;;-21.675;18.700;-4.788;-79.357;38.720;24.823;-12.823;-8.494;
1;130;2.500;2.000;-3.600;;-33.457;20.950;-5.557;-29.040;-4.195;35.273;14.283;-2.639;
1;131;3.000;2.000;-3.600;;-37.956;18.868;-2.520;-5.598;3.792;49.845;11.955;2.432;
1;132;3.500;2.000;-3.600;;-33.493;17.149;-0.540;-5.586;7.248;63.956;16.056;0.800;
1;133;4.000;2.000;-3.600;;-36.500;15.572;1.113;-10.113;4.404;72.447;13.519;0.485;
1;134;4.500;2.000;-3.600;;-44.687;15.765;1.957;-15.568;2.668;79.353;8.882;0.444;
1;135;5.000;2.000;-3.600;;-56.698;16.998;2.131;-17.770;1.894;84.311;5.581;0.431;
1;136;5.500;2.000;-3.600;;-68.060;17.832;2.173;-15.094;1.669;87.190;5.571;0.320;
1;137;6.000;2.000;-3.600;;-72.980;17.126;2.031;-3.380;8.194;88.686;8.060;0.006;
1;138;6.500;2.000;-3.600;;-67.912;16.734;2.075;3.980;1.948;89.541;8.732;-0.363;
1;139;7.000;2.000;-3.600;;-64.115;15.302;2.105;2.561;1.306;90.634;8.346;-0.572;
1;140;7.500;2.000;-3.600;;-63.063;14.700;1.803;-1.844;0.727;91.241;7.819;-0.659;
1;141;8.000;2.000;-3.600;;-66.269;15.240;1.435;-6.087;0.846;91.083;8.023;-0.699;
1;142;8.500;2.000;-3.600;;-71.927;16.510;1.273;-7.124;1.236;90.347;8.374;-0.763;
1;143;9.000;2.000;-3.600;;-78.398;16.686;1.148;1.201;7.059;89.703;7.958;-0.773;
1;144;9.500;2.000;-3.600;;-74.505;17.407;1.207;12.940;1.674;88.628;5.581;-0.793;
1;145;10.000;2.000;-3.600;;-64.782;16.737;1.218;15.121;1.137;86.439;5.293;-0.888;
1;146;10.500;2.000;-3.600;;-54.875;15.868;0.950;12.660;0.711;82.706;7.822;-0.921;
1;147;11.000;2.000;-3.600;;-48.868;16.103;0.652;7.524;0.923;77.930;11.344;-0.924;
1;148;11.500;2.000;-3.600;;-47.581;17.972;0.576;3.672;1.367;72.980;12.697;-0.926;
1;149;12.000;2.000;-3.600;;-52.527;19.160;0.563;6.607;6.538;68.974;10.816;-0.776;
1;150;12.500;2.000;-3.600;;-48.511;19.938;0.619;20.095;1.512;59.189;11.321;-0.668;
1;151;13.000;2.000;-3.600;;-32.446;18.577;0.572;26.064;0.916;45.973;16.202;-0.758;
1;152;13.500;2.000;-3.600;;-12.846;15.706;0.208;25.748;0.458;28.792;24.106;-0.893;
1;153;14.000;2.000;-3.600;;3.678;13.386;-0.331;18.604;0.666;11.693;24.690;-1.100;
1;154;14.500;2.000;-3.600;;13.079;12.617;-0.484;8.138;0.855;-0.033;2.438;-1.304;
1;155;15.000;2.000;-3.600;;14.604;13.027;-0.240;-2.360;9.822;-10.049;-46.763;-1.160;
1;156;0.000;2.500;-3.600;;13.680;12.801;-9.774;-3.542;-14.675;-11.323;-48.566;4.211;
