Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;38;3.000;0.500;-3.600;max;0.035;0.005;0.005;0.005;0.005;0.025;0.008;0.009;
1;38;3.000;0.500;-3.600;min;-0.035;-0.005;-0.005;-0.005;-0.005;-0.025;-0.008;-0.009;
1;39;3.500;0.500;-3.600;max;0.027;0.002;0.003;0.007;0.007;0.023;0.003;0.010;
1;39;3.500;0.500;-3.600;min;-0.027;-0.002;-0.003;-0.007;-0.007;-0.023;-0.003;-0.010;
1;40;4.000;0.500;-3.600;max;0.027;0.001;0.004;0.008;0.000;0.025;0.002;0.008;
1;40;4.000;0.500;-3.600;min;-0.027;-0.001;-0.004;-0.008;0.000;-0.025;-0.002;-0.008;
1;41;4.500;0.500;-3.600;max;0.028;0.001;0.004;0.009;0.001;0.025;0.003;0.007;
1;41;4.500;0.500;-3.600;min;-0.028;-0.001;-0.004;-0.009;-0.001;-0.025;-0.003;-0.007;
1;42;5.000;0.500;-3.600;max;0.030;0.001;0.003;0.015;0.002;0.026;0.003;0.009;
1;42;5.000;0.500;-3.600;min;-0.030;-0.001;-0.003;-0.015;-0.002;-0.026;-0.003;-0.009;
1;43;5.500;0.500;-3.600;max;0.034;0.003;0.004;0.017;0.020;0.023;0.005;0.012;
1;43;5.500;0.500;-3.600;min;-0.034;-0.003;-0.004;-0.017;-0.020;-0.023;-0.005;-0.012;
1;44;6.000;0.500;-3.600;max;0.032;0.008;0.013;0.011;0.003;0.020;0.004;0.013;
1;44;6.000;0.500;-3.600;min;-0.032;-0.008;-0.013;-0.011;-0.003;-0.020;-0.004;-0.013;
1;45;6.500;0.500;-3.600;max;0.022;0.002;0.004;0.016;0.023;0.019;0.005;0.015;
1;45;6.500;0.500;-3.600;min;-0.022;-0.002;-0.004;-0.016;-0.023;-0.019;-0.005;-0.015;
1;46;7.000;0.500;-3.600;max;0.021;0.000;0.004;0.017;0.002;0.019;0.003;0.012;
1;46;7.000;0.500;-3.600;min;-0.021;0.000;-0.004;-0.017;-0.002;-0.019;-0.003;-0.012;
1;47;7.500;0.500;-3.600;max;0.024;0.000;0.004;0.014;0.001;0.020;0.002;0.010;
1;47;7.500;0.500;-3.600;min;-0.024;0.000;-0.004;-0.014;-0.001;-0.020;-0.002;-0.010;
1;48;8.000;0.500;-3.600;max;0.029;0.001;0.003;0.019;0.002;0.022;0.003;0.012;
1;48;8.000;0.500;-3.600;min;-0.029;-0.001;-0.003;-0.019;-0.002;-0.022;-0.003;-0.012;
1;49;8.500;0.500;-3.600;max;0.036;0.003;0.004;0.018;0.027;0.021;0.007;0.015;
1;49;8.500;0.500;-3.600;min;-0.036;-0.003;-0.004;-0.018;-0.027;-0.021;-0.007;-0.015;
1;50;9.000;0.500;-3.600;max;0.041;0.011;0.017;0.010;0.003;0.023;0.007;0.014;
1;50;9.000;0.500;-3.600;min;-0.041;-0.011;-0.017;-0.010;-0.003;-0.023;-0.007;-0.014;
1;51;9.500;0.500;-3.600;max;0.034;0.003;0.005;0.018;0.026;0.026;0.007;0.016;
1;51;9.500;0.500;-3.600;min;-0.034;-0.003;-0.005;-0.018;-0.026;-0.026;-0.007;-0.016;
1;52;10.000;0.500;-3.600;max;0.027;0.001;0.002;0.019;0.002;0.031;0.003;0.013;
1;52;10.000;0.500;-3.600;min;-0.027;-0.001;-0.002;-0.019;-0.002;-0.031;-0.003;-0.013;
1;53;10.500;0.500;-3.600;max;0.023;0.000;0.003;0.015;0.001;0.028;0.002;0.011;
