Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;32;0.000;0.500;-3.600;min;0.000;-0.001;-58.96;0.000;-0.001;-58.38;0.000;0.000;-56.47;0.000;
1;33;0.500;0.500;-3.600;max;0.001;0.000;56.71;0.001;0.000;53.47;0.000;0.000;65.06;0.000;
1;33;0.500;0.500;-3.600;min;0.000;-0.001;-51.27;0.000;-0.001;-55.56;0.000;0.000;-65.06;0.000;
1;34;1.000;0.500;-3.600;max;0.001;0.000;65.24;0.001;0.000;59.52;0.000;0.000;67.03;0.000;
1;34;1.000;0.500;-3.600;min;0.000;-0.001;-57.08;0.000;-0.001;-62.28;0.000;0.000;-67.03;0.000;
1;35;1.500;0.500;-3.600;max;0.001;0.000;71.77;0.001;0.000;66.56;0.000;0.000;60.06;0.000;
1;35;1.500;0.500;-3.600;min;0.000;-0.001;-67.12;0.000;-0.001;-71.38;0.000;0.000;-60.06;0.000;
1;36;2.000;0.500;-3.600;max;0.001;0.000;71.22;0.001;0.000;67.23;0.000;0.000;68.16;0.000;
1;36;2.000;0.500;-3.600;min;0.000;-0.001;-68.72;0.000;-0.001;-69.54;0.000;0.000;-68.16;0.000;
1;37;2.500;0.500;-3.600;max;0.001;0.000;76.68;0.001;0.000;74.24;0.000;0.000;71.17;0.000;
1;37;2.500;0.500;-3.600;min;0.000;-0.001;-75.10;0.000;-0.001;-75.53;0.000;0.000;-71.17;0.000;
1;38;3.000;0.500;-3.600;max;0.001;0.000;84.34;0.001;0.000;82.28;0.000;0.000;75.02;0.000;
1;38;3.000;0.500;-3.600;min;0.000;-0.001;-83.74;0.000;-0.001;-82.79;0.000;0.000;-75.02;0.000;
1;39;3.500;0.500;-3.600;max;0.001;0.000;85.17;0.001;0.000;83.78;0.000;0.000;71.60;0.000;
1;39;3.500;0.500;-3.600;min;0.000;-0.001;-84.48;0.000;-0.001;-84.64;0.000;0.000;-71.60;0.000;
1;40;4.000;0.500;-3.600;max;0.001;0.000;84.09;0.001;0.000;82.83;0.000;0.000;74.22;0.000;
1;40;4.000;0.500;-3.600;min;0.000;-0.001;-83.16;0.000;-0.001;-83.84;0.000;0.000;-74.22;0.000;
1;41;4.500;0.500;-3.600;max;0.001;0.000;84.31;0.001;0.000;82.96;0.000;0.000;76.47;0.000;
1;41;4.500;0.500;-3.600;min;0.000;-0.001;-83.43;0.000;-0.001;-83.96;0.000;0.000;-76.47;0.000;
1;42;5.000;0.500;-3.600;max;0.001;0.000;85.77;0.001;0.000;84.66;0.000;0.000;73.74;0.000;
1;42;5.000;0.500;-3.600;min;0.000;-0.001;-85.13;0.000;-0.001;-85.42;0.000;0.000;-73.74;0.000;
1;43;5.500;0.500;-3.600;max;0.001;0.000;85.04;0.001;0.000;83.27;0.000;0.000;69.47;0.000;
1;43;5.500;0.500;-3.600;min;0.000;-0.001;-84.51;0.000;-0.001;-84.04;0.000;0.000;-69.47;0.000;
1;44;6.000;0.500;-3.600;max;0.001;0.000;75.00;0.001;0.000;72.81;0.000;0.000;66.65;0.000;
1;44;6.000;0.500;-3.600;min;0.000;-0.001;-73.84;0.000;-0.001;-73.06;0.000;0.000;-66.65;0.000;
1;45;6.500;0.500;-3.600;max;0.001;0.000;83.20;0.001;0.000;80.43;0.000;0.000;64.42;0.000;
1;45;6.500;0.500;-3.600;min;0.000;-0.001;-82.27;0.000;-0.001;-81.81;0.000;0.000;-64.42;0.000;
1;46;7.000;0.500;-3.600;max;0.001;0.000;82.41;0.001;0.000;80.88;0.000;0.000;65.76;0.000;
1;46;7.000;0.500;-3.600;min;0.000;-0.001;-81.27;0.000;-0.001;-82.12;0.000;0.000;-65.76;0.000;
