Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;113;9.500;1.500;-3.600;;-1.660;0.351;2.010;-0.333;0.057;-0.065;0.049;0.043;
1;114;10.000;1.500;-3.600;;-1.391;0.346;1.733;-0.328;0.084;-0.099;0.055;0.025;
1;115;10.500;1.500;-3.600;;-1.132;0.342;1.460;-0.315;0.055;-0.076;0.044;0.009;
1;116;11.000;1.500;-3.600;;-0.984;0.356;1.293;-0.311;-0.003;-0.023;0.021;0.003;
1;117;11.500;1.500;-3.600;;-0.977;0.398;1.267;-0.344;-0.047;0.024;0.001;0.006;
1;118;12.000;1.500;-3.600;;-1.200;0.403;1.477;-0.361;-0.069;0.048;0.013;0.093;
1;119;12.500;1.500;-3.600;;-1.127;0.415;1.373;-0.382;0.045;-0.085;0.070;0.064;
1;120;13.000;1.500;-3.600;;-0.709;0.402;0.909;-0.349;0.111;-0.174;0.092;0.038;
1;121;13.500;1.500;-3.600;;-0.225;0.370;0.358;-0.282;0.102;-0.180;0.089;0.011;
1;122;14.000;1.500;-3.600;;0.173;0.332;-0.113;-0.227;0.042;-0.120;0.062;-0.008;
1;123;14.500;1.500;-3.600;;0.368;0.301;-0.365;-0.263;-0.027;-0.015;0.024;-0.027;
1;124;15.000;1.500;-3.600;;0.341;0.222;-0.397;-0.402;-0.039;0.046;-0.015;0.087;
1;125;0.000;2.000;-3.600;;0.286;0.216;-0.296;-0.384;-0.160;0.211;-0.002;0.009;
1;126;0.500;2.000;-3.600;;0.226;0.335;-0.147;-0.281;-0.149;0.207;-0.042;-0.013;
1;127;1.000;2.000;-3.600;;0.104;0.345;0.117;-0.002;-0.062;0.185;-0.130;0.022;
1;128;1.500;2.000;-3.600;;-0.233;0.028;0.419;-0.035;-0.194;0.217;-0.315;0.072;
1;129;2.000;2.000;-3.600;;-0.471;0.423;0.570;-0.474;-0.132;0.098;-0.238;0.116;
1;130;2.500;2.000;-3.600;;-0.732;0.531;0.874;-0.474;-0.139;0.128;-0.087;-0.013;
1;131;3.000;2.000;-3.600;;-0.811;0.477;1.011;-0.429;-0.056;0.065;-0.017;0.011;
1;132;3.500;2.000;-3.600;;-0.676;0.444;0.932;-0.379;-0.011;0.015;-0.017;0.022;
1;133;4.000;2.000;-3.600;;-0.731;0.401;1.021;-0.347;0.028;-0.026;-0.030;0.013;
1;134;4.500;2.000;-3.600;;-0.914;0.396;1.231;-0.361;0.048;-0.046;-0.047;0.008;
1;135;5.000;2.000;-3.600;;-1.192;0.419;1.529;-0.397;0.052;-0.050;-0.053;0.006;
1;136;5.500;2.000;-3.600;;-1.459;0.439;1.808;-0.417;0.053;-0.051;-0.045;0.005;
1;137;6.000;2.000;-3.600;;-1.574;0.427;1.929;-0.395;0.049;-0.049;-0.010;0.025;
1;138;6.500;2.000;-3.600;;-1.451;0.419;1.809;-0.384;0.049;-0.051;0.012;0.006;
1;139;7.000;2.000;-3.600;;-1.357;0.384;1.720;-0.351;0.049;-0.052;0.008;0.004;
1;140;7.500;2.000;-3.600;;-1.331;0.368;1.696;-0.337;0.042;-0.045;-0.006;0.002;
1;141;8.000;2.000;-3.600;;-1.408;0.382;1.773;-0.350;0.033;-0.036;-0.018;0.003;
1;142;8.500;2.000;-3.600;;-1.546;0.413;1.907;-0.379;0.029;-0.032;-0.021;0.004;
1;143;9.000;2.000;-3.600;;-1.702;0.416;2.061;-0.385;0.026;-0.029;0.004;0.021;
1;144;9.500;2.000;-3.600;;-1.611;0.429;1.965;-0.407;0.027;-0.031;0.039;0.005;
1;145;10.000;2.000;-3.600;;-1.382;0.412;1.728;-0.391;0.027;-0.031;0.045;0.003;
1;146;10.500;2.000;-3.600;;-1.152;0.396;1.482;-0.365;0.021;-0.025;0.038;0.002;
1;147;11.000;2.000;-3.600;;-1.017;0.409;1.329;-0.364;0.014;-0.017;0.023;0.003;
1;148;11.500;2.000;-3.600;;-0.996;0.457;1.288;-0.406;0.012;-0.016;0.011;0.004;
1;149;12.000;2.000;-3.600;;-1.123;0.481;1.399;-0.438;0.012;-0.015;0.020;0.020;
1;150;12.500;2.000;-3.600;;-1.046;0.501;1.283;-0.456;0.014;-0.016;0.060;0.005;
1;151;13.000;2.000;-3.600;;-0.687;0.478;0.871;-0.413;0.012;-0.015;0.078;0.003;
1;152;13.500;2.000;-3.600;;-0.251;0.425;0.366;-0.329;0.003;-0.007;0.077;0.001;
1;153;14.000;2.000;-3.600;;0.112;0.371;-0.065;-0.272;-0.010;0.006;0.056;0.002;
