Member No.;Node;Location;;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];Flags;;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
4;6;3.9999999999999996;M;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Extremes;5;0.0000000000000000;M;ε_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;ε_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;γ_xy;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;γ_xy;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;γ_xz;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;γ_xz;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;κ_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;κ_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;κ_y;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;κ_y;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;κ_z;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;M;κ_z;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;;;;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;
5;7;0.0000000000000000;M;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;M;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.3600000000000000;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.3600000000000000;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.7200000000000001;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.7200000000000001;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.0800000000000001;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.0800000000000001;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.4400000000000002;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.4400000000000002;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.8000000000000000;R | E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.8000000000000000;R | E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.1600000000000001;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
