Mode No.;Node;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
4;34;0.00000;0.00000;-0.03114;0.00000;0.00000;0.00000;concrete part
4;35;-0.00868;-0.00248;-0.03115;-0.00071;0.00474;-0.00002;concrete top + steel bottom
4;36;-0.20440;-0.01872;-0.03130;-0.00432;0.01469;0.00352;steel top
4;37;-0.00885;-0.00210;0.03053;-0.00160;0.00594;0.00000;opening node
4;38;-0.00883;-0.00209;0.02897;-0.00155;0.00566;0.00002;opening node
4;39;-0.00882;-0.00204;0.02341;-0.00132;0.00538;0.00002;opening node
4;40;-0.00884;-0.00204;0.02474;-0.00135;0.00556;0.00000;opening node
;;;;;;;;
5;1;0.00000;0.00000;0.00095;0.00000;0.00000;0.00000;concrete part
5;2;0.00119;-0.00325;0.00095;-0.00157;0.00081;0.00009;concrete top + steel bottom
5;3;-0.18060;-0.06482;0.00115;-0.01351;0.00938;0.00322;steel top
5;4;0.00000;0.00000;-0.00121;0.00000;0.00000;0.00000;concrete part
5;5;0.00126;-0.00272;-0.00121;-0.00086;0.00012;0.00016;concrete top + steel bottom
5;6;-0.00534;0.02798;-0.00128;0.00721;0.00244;0.07062;steel top
5;7;0.00000;0.00000;-0.00057;0.00000;0.00000;0.00000;concrete part
5;8;0.00130;-0.00221;-0.00057;-0.00080;-0.00124;0.00020;concrete top + steel bottom
5;9;0.72263;-0.00681;-0.00056;-0.00115;-0.26924;0.19676;steel top
5;10;0.00000;0.00000;0.00225;0.00000;0.00000;0.00000;concrete part
5;11;0.00132;-0.00171;0.00226;-0.00083;-0.00183;0.00021;concrete top + steel bottom
5;12;0.99998;-0.00625;0.00226;-0.00113;-0.37270;0.27218;steel top
5;13;0.00000;0.00000;0.00559;0.00000;0.00000;0.00000;concrete part
5;14;0.00130;-0.00123;0.00559;-0.00093;-0.00164;0.00020;concrete top + steel bottom
5;15;0.91146;-0.00610;0.00560;-0.00121;-0.33969;0.24759;steel top
5;16;0.00000;0.00000;0.00729;0.00000;0.00000;0.00000;concrete part
5;17;0.00121;-0.00078;0.00729;-0.00090;0.00008;0.00008;concrete top + steel bottom
5;18;-0.18047;-0.01624;0.00725;-0.00401;0.01070;0.00228;steel top
5;19;0.00000;0.00000;-0.00495;0.00000;0.00000;0.00000;concrete part
5;20;0.00055;-0.00326;-0.00495;-0.00152;0.00024;0.00020;concrete top + steel bottom
5;21;-0.06019;-0.06464;-0.00502;-0.01485;0.00305;0.00256;steel top
5;22;0.00000;0.00000;-0.00492;0.00000;0.00000;0.00000;concrete part
