Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;93;15.000;1.000;-3.600;;24.850;2.244;-7.030;0.396;12.350;-14.587;-26.179;-0.514;
1;94;0.000;1.500;-3.600;;14.070;-0.445;-3.257;-6.646;5.533;-9.204;-25.468;13.423;
1;95;0.500;1.500;-3.600;;11.224;-1.616;-5.885;-10.455;-21.580;-5.081;17.066;20.734;
1;96;1.000;1.500;-3.600;;1.741;-1.482;-6.826;-14.263;21.417;-4.685;40.964;18.720;
1;98;2.000;1.500;-3.600;;-11.620;-4.173;-10.188;-49.764;-12.435;-13.743;-1.611;10.784;
1;99;2.500;1.500;-3.600;;-31.635;-3.880;-4.666;-30.930;24.890;19.516;6.431;15.284;
1;100;3.000;1.500;-3.600;;-36.045;-1.386;-0.114;-7.246;10.195;47.541;9.680;13.154;
1;101;3.500;1.500;-3.600;;-31.585;-1.889;0.424;-6.391;-1.612;49.759;12.870;7.216;
1;102;4.000;1.500;-3.600;;-36.332;-2.705;-0.432;-10.983;-1.947;55.407;10.728;6.637;
1;103;4.500;1.500;-3.600;;-44.737;-2.462;-0.986;-14.539;0.276;60.489;6.595;5.144;
1;104;5.000;1.500;-3.600;;-54.318;-2.167;-0.672;-14.410;3.554;64.280;3.907;3.533;
1;105;5.500;1.500;-3.600;;-62.107;-2.284;0.584;-10.516;7.035;66.347;3.996;1.568;
1;106;6.000;1.500;-3.600;;-63.821;-2.828;2.385;-1.782;13.910;67.233;7.036;0.526;
1;107;6.500;1.500;-3.600;;-59.857;-2.950;2.163;1.605;0.154;68.149;7.741;1.086;
1;108;7.000;1.500;-3.600;;-58.776;-3.369;1.581;0.624;-1.169;69.383;6.845;0.807;
1;109;7.500;1.500;-3.600;;-59.078;-3.377;0.845;-1.637;-1.386;70.037;6.026;-0.152;
1;110;8.000;1.500;-3.600;;-60.740;-3.369;0.172;-3.621;-0.847;69.812;6.583;-1.119;
1;111;8.500;1.500;-3.600;;-63.348;-3.080;-0.273;-3.973;0.654;68.915;7.464;-1.464;
1;112;9.000;1.500;-3.600;;-67.834;-3.107;-0.323;0.493;13.494;68.191;7.102;-0.769;
