Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Bach [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Bach,Max;σ_eqv,Bach,+;σ_eqv,Bach,-;σ_eqv,Bach,m;Surface Comment
1;205;9.000;3.000;-3.600;;0.269;0.235;0.269;0.021;
1;206;9.500;3.000;-3.600;;0.375;0.334;0.375;0.022;
1;207;10.000;3.000;-3.600;;0.431;0.389;0.431;0.022;
1;208;10.500;3.000;-3.600;;0.424;0.383;0.424;0.021;
1;209;11.000;3.000;-3.600;;0.349;0.310;0.349;0.019;
1;210;11.500;3.000;-3.600;;0.224;0.196;0.224;0.017;
1;211;12.000;3.000;-3.600;;0.210;0.207;0.210;0.014;
1;212;12.500;3.000;-3.600;;0.290;0.273;0.290;0.015;
1;213;13.000;3.000;-3.600;;0.294;0.272;0.294;0.015;
1;214;13.500;3.000;-3.600;;0.247;0.219;0.247;0.014;
1;215;14.000;3.000;-3.600;;0.218;0.199;0.218;0.013;
1;216;14.500;3.000;-3.600;;0.211;0.199;0.211;0.010;
1;217;15.000;3.000;-3.600;;0.250;0.246;0.250;0.004;
1;218;0.000;3.500;-3.600;;0.718;0.718;0.709;0.012;
1;219;0.500;3.500;-3.600;;0.283;0.283;0.270;0.019;
1;220;1.000;3.500;-3.600;;0.150;0.123;0.150;0.019;
1;221;1.500;3.500;-3.600;;0.254;0.227;0.254;0.014;
1;222;2.000;3.500;-3.600;;0.335;0.318;0.335;0.013;
1;223;2.500;3.500;-3.600;;0.373;0.359;0.373;0.015;
1;224;3.000;3.500;-3.600;;0.321;0.316;0.305;0.019;
1;225;3.500;3.500;-3.600;;0.142;0.112;0.142;0.024;
1;226;4.000;3.500;-3.600;;0.349;0.299;0.349;0.025;
1;227;4.500;3.500;-3.600;;0.455;0.412;0.455;0.022;
1;228;5.000;3.500;-3.600;;0.487;0.448;0.487;0.021;
1;229;5.500;3.500;-3.600;;0.440;0.404;0.440;0.021;
1;230;6.000;3.500;-3.600;;0.180;0.164;0.180;0.021;
1;231;6.500;3.500;-3.600;;0.298;0.250;0.298;0.024;
1;232;7.000;3.500;-3.600;;0.472;0.420;0.472;0.026;
1;233;7.500;3.500;-3.600;;0.527;0.475;0.527;0.026;
1;234;8.000;3.500;-3.600;;0.497;0.444;0.497;0.026;
1;235;8.500;3.500;-3.600;;0.360;0.312;0.360;0.025;
1;236;9.000;3.500;-3.600;;0.137;0.120;0.137;0.022;
1;237;9.500;3.500;-3.600;;0.404;0.365;0.404;0.021;
1;238;10.000;3.500;-3.600;;0.486;0.446;0.486;0.021;
1;239;10.500;3.500;-3.600;;0.480;0.435;0.480;0.023;
1;240;11.000;3.500;-3.600;;0.394;0.344;0.394;0.025;
1;241;11.500;3.500;-3.600;;0.189;0.146;0.189;0.024;
1;242;12.000;3.500;-3.600;;0.241;0.237;0.226;0.019;
1;243;12.500;3.500;-3.600;;0.360;0.347;0.360;0.016;
1;244;13.000;3.500;-3.600;;0.353;0.336;0.353;0.014;
1;245;13.500;3.500;-3.600;;0.294;0.264;0.294;0.016;
1;246;14.000;3.500;-3.600;;0.188;0.151;0.188;0.021;
1;247;14.500;3.500;-3.600;;0.226;0.226;0.214;0.021;
1;248;15.000;3.500;-3.600;;0.636;0.636;0.628;0.013;
1;249;0.000;4.000;-3.600;;1.593;1.593;1.424;0.086;
1;250;0.500;4.000;-3.600;;0.548;0.548;0.462;0.045;
1;251;1.000;4.000;-3.600;;0.129;0.108;0.129;0.022;
1;252;1.500;4.000;-3.600;;0.282;0.259;0.282;0.012;
