Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;120;13.000;1.500;-3.600;;0.897;0.751;0.897;0.084;
1;121;13.500;1.500;-3.600;;0.500;0.381;0.500;0.072;
1;122;14.000;1.500;-3.600;;0.214;0.094;0.214;0.061;
1;123;14.500;1.500;-3.600;;0.334;0.308;0.334;0.034;
1;124;15.000;1.500;-3.600;;0.412;0.412;0.363;0.064;
1;125;0.000;2.000;-3.600;;0.421;0.421;0.378;0.066;
1;126;0.500;2.000;-3.600;;0.418;0.365;0.418;0.046;
1;127;1.000;2.000;-3.600;;0.424;0.238;0.424;0.150;
1;128;1.500;2.000;-3.600;;0.666;0.528;0.666;0.077;
1;129;2.000;2.000;-3.600;;0.692;0.564;0.692;0.068;
1;130;2.500;2.000;-3.600;;0.800;0.733;0.800;0.056;
1;131;3.000;2.000;-3.600;;0.862;0.735;0.862;0.075;
1;132;3.500;2.000;-3.600;;0.846;0.652;0.846;0.097;
1;133;4.000;2.000;-3.600;;0.984;0.764;0.984;0.110;
1;134;4.500;2.000;-3.600;;1.192;0.949;1.192;0.121;
1;135;5.000;2.000;-3.600;;1.419;1.161;1.419;0.130;
1;136;5.500;2.000;-3.600;;1.596;1.327;1.596;0.134;
1;137;6.000;2.000;-3.600;;1.634;1.360;1.634;0.137;
1;138;6.500;2.000;-3.600;;1.581;1.304;1.581;0.138;
1;139;7.000;2.000;-3.600;;1.564;1.283;1.564;0.140;
1;140;7.500;2.000;-3.600;;1.571;1.289;1.571;0.141;
1;141;8.000;2.000;-3.600;;1.611;1.329;1.611;0.141;
1;142;8.500;2.000;-3.600;;1.665;1.385;1.665;0.140;
1;143;9.000;2.000;-3.600;;1.733;1.456;1.733;0.139;
1;144;9.500;2.000;-3.600;;1.704;1.431;1.704;0.137;
1;145;10.000;2.000;-3.600;;1.563;1.297;1.563;0.133;
1;146;10.500;2.000;-3.600;;1.384;1.131;1.384;0.127;
1;147;11.000;2.000;-3.600;;1.231;0.993;1.231;0.119;
1;148;11.500;2.000;-3.600;;1.138;0.920;1.138;0.111;
1;149;12.000;2.000;-3.600;;1.190;1.001;1.190;0.104;
1;150;12.500;2.000;-3.600;;1.147;1.000;1.147;0.090;
1;151;13.000;2.000;-3.600;;0.850;0.747;0.850;0.070;
1;152;13.500;2.000;-3.600;;0.459;0.378;0.459;0.045;
1;153;14.000;2.000;-3.600;;0.109;0.043;0.109;0.036;
1;154;14.500;2.000;-3.600;;0.258;0.251;0.258;0.005;
1;155;15.000;2.000;-3.600;;0.334;0.334;0.279;0.066;
1;156;0.000;2.500;-3.600;;0.533;0.533;0.485;0.068;
1;157;0.500;2.500;-3.600;;0.452;0.443;0.452;0.033;
1;158;1.000;2.500;-3.600;;0.318;0.309;0.318;0.072;
1;159;1.500;2.500;-3.600;;0.528;0.457;0.528;0.063;
1;160;2.000;2.500;-3.600;;0.889;0.714;0.889;0.092;
1;161;2.500;2.500;-3.600;;0.986;0.822;0.986;0.096;
1;162;3.000;2.500;-3.600;;0.860;0.723;0.860;0.096;
1;163;3.500;2.500;-3.600;;0.773;0.584;0.773;0.107;
1;164;4.000;2.500;-3.600;;0.941;0.707;0.941;0.118;
1;165;4.500;2.500;-3.600;;1.186;0.931;1.186;0.127;
1;166;5.000;2.500;-3.600;;1.438;1.170;1.438;0.134;
1;167;5.500;2.500;-3.600;;1.629;1.353;1.629;0.138;
1;168;6.000;2.500;-3.600;;1.651;1.377;1.651;0.140;
1;169;6.500;2.500;-3.600;;1.570;1.287;1.570;0.142;
1;170;7.000;2.500;-3.600;;1.558;1.269;1.558;0.144;
1;171;7.500;2.500;-3.600;;1.571;1.280;1.571;0.145;
1;172;8.000;2.500;-3.600;;1.611;1.322;1.611;0.145;
1;173;8.500;2.500;-3.600;;1.665;1.380;1.665;0.143;
1;174;9.000;2.500;-3.600;;1.750;1.468;1.750;0.141;
1;175;9.500;2.500;-3.600;;1.726;1.447;1.726;0.140;
1;176;10.000;2.500;-3.600;;1.576;1.303;1.576;0.137;
1;177;10.500;2.500;-3.600;;1.384;1.123;1.384;0.131;
1;178;11.000;2.500;-3.600;;1.212;0.968;1.212;0.123;
1;179;11.500;2.500;-3.600;;1.111;0.903;1.111;0.114;
1;180;12.000;2.500;-3.600;;1.223;1.028;1.223;0.108;
1;181;12.500;2.500;-3.600;;1.206;1.036;1.206;0.098;
1;182;13.000;2.500;-3.600;;0.906;0.772;0.906;0.086;
1;183;13.500;2.500;-3.600;;0.505;0.405;0.505;0.071;
1;184;14.000;2.500;-3.600;;0.215;0.106;0.215;0.060;
1;185;14.500;2.500;-3.600;;0.299;0.268;0.299;0.029;
1;186;15.000;2.500;-3.600;;0.383;0.383;0.377;0.066;
1;187;0.000;3.000;-3.600;;0.723;0.723;0.690;0.059;
1;188;0.500;3.000;-3.600;;0.538;0.538;0.468;0.085;
1;189;1.000;3.000;-3.600;;0.255;0.255;0.095;0.092;
1;190;1.500;3.000;-3.600;;0.449;0.332;0.449;0.100;
1;191;2.000;3.000;-3.600;;0.837;0.636;0.837;0.118;
1;192;2.500;3.000;-3.600;;1.079;0.861;1.079;0.125;
1;193;3.000;3.000;-3.600;;0.946;0.797;0.946;0.117;
1;194;3.500;3.000;-3.600;;0.608;0.436;0.608;0.125;
1;195;4.000;3.000;-3.600;;0.864;0.618;0.864;0.132;
1;196;4.500;3.000;-3.600;;1.184;0.915;1.184;0.138;
1;197;5.000;3.000;-3.600;;1.485;1.203;1.485;0.141;
1;198;5.500;3.000;-3.600;;1.726;1.441;1.726;0.142;
1;199;6.000;3.000;-3.600;;1.721;1.446;1.721;0.143;
1;200;6.500;3.000;-3.600;;1.530;1.238;1.530;0.147;
1;201;7.000;3.000;-3.600;;1.534;1.233;1.534;0.151;
1;202;7.500;3.000;-3.600;;1.566;1.260;1.566;0.153;
1;203;8.000;3.000;-3.600;;1.600;1.299;1.600;0.151;
1;204;8.500;3.000;-3.600;;1.650;1.358;1.650;0.147;
1;205;9.000;3.000;-3.600;;1.816;1.530;1.816;0.144;
1;206;9.500;3.000;-3.600;;1.793;1.507;1.793;0.143;
1;207;10.000;3.000;-3.600;;1.607;1.323;1.607;0.142;
1;208;10.500;3.000;-3.600;;1.382;1.105;1.382;0.139;
1;209;11.000;3.000;-3.600;;1.155;0.899;1.155;0.131;
1;210;11.500;3.000;-3.600;;1.003;0.821;1.003;0.123;
1;211;12.000;3.000;-3.600;;1.351;1.156;1.351;0.115;
1;212;12.500;3.000;-3.600;;1.385;1.165;1.385;0.122;
1;213;13.000;3.000;-3.600;;1.045;0.825;1.045;0.120;
