Surface No.;Grid;Grid Point Coordinates [m];;;;Stresses from Moments [N/mm^2 ];;;Stresses from Axial Forces [N/mm^2 ];;;
;Point No.;X;Y;Z;;σ_x,b;σ_y,b;τ_xy,b;σ_x,m;σ_y,m;τ_xy,m;Surface Comment
1;262;6.500;4.000;-3.600;;-1.119;-0.026;0.040;0.201;0.001;-0.012;
1;263;7.000;4.000;-3.600;;-1.347;0.010;0.025;0.171;0.000;0.000;
1;264;7.500;4.000;-3.600;;-1.410;-0.008;0.024;0.163;-0.002;0.000;
1;265;8.000;4.000;-3.600;;-1.431;0.012;0.022;0.168;-0.001;0.000;
1;266;8.500;4.000;-3.600;;-1.362;-0.021;-0.008;0.192;0.000;0.010;
1;267;9.000;4.000;-3.600;;-1.861;-0.331;0.258;0.169;0.030;0.026;
1;268;9.500;4.000;-3.600;;-1.973;0.003;0.018;0.111;-0.007;0.005;
1;269;10.000;4.000;-3.600;;-1.508;0.021;-0.061;0.129;-0.001;0.000;
1;270;10.500;4.000;-3.600;;-1.235;-0.008;-0.067;0.145;-0.002;0.000;
1;271;11.000;4.000;-3.600;;-0.931;0.004;-0.059;0.172;0.000;0.000;
1;272;11.500;4.000;-3.600;;-0.288;0.022;-0.035;0.239;0.008;0.025;
1;273;12.000;4.000;-3.600;;-1.416;-0.344;0.717;0.134;0.023;0.081;
1;274;12.500;4.000;-3.600;;-2.135;0.028;-0.045;0.014;-0.016;0.021;
1;275;13.000;4.000;-3.600;;-1.007;0.019;-0.198;0.095;-0.004;0.001;
1;276;13.500;4.000;-3.600;;-0.383;-0.031;-0.173;0.164;-0.004;0.001;
1;277;14.000;4.000;-3.600;;0.189;-0.011;-0.169;0.269;0.003;0.004;
1;278;14.500;4.000;-3.600;;1.313;-0.032;-0.026;0.485;0.034;0.076;
1;279;15.000;4.000;-3.600;;2.754;0.340;0.754;0.815;0.239;0.231;
Extremes;1;0.000;0.000;-3.600;σ_x,b;3.037;0.271;0.549;0.860;0.256;0.245;
1;6;2.500;0.000;-3.600;σ_x,b;-2.268;0.023;-0.090;-0.023;-0.016;0.011;
1;248;15.000;3.500;-3.600;σ_y,b;1.448;0.365;0.361;-0.008;-0.002;0.079;
1;13;6.000;0.000;-3.600;σ_y,b;-1.697;-0.435;0.362;0.143;0.024;0.032;
1;279;15.000;4.000;-3.600;τ_xy,b;2.754;0.340;0.754;0.815;0.239;0.231;
1;255;3.000;4.000;-3.600;τ_xy,b;-0.630;-0.154;-0.771;0.180;0.050;-0.064;
1;1;0.000;0.000;-3.600;σ_x,m;3.037;0.271;0.549;0.860;0.256;0.245;
1;63;0.000;1.000;-3.600;σ_x,m;0.608;0.056;0.025;-0.042;-0.041;0.007;
1;1;0.000;0.000;-3.600;σ_y,m;3.037;0.271;0.549;0.860;0.256;0.245;
1;156;0.000;2.500;-3.600;σ_y,m;0.318;-0.002;-0.196;-0.016;-0.068;0.005;
1;1;0.000;0.000;-3.600;τ_xy,m;3.037;0.271;0.549;0.860;0.256;0.245;
1;31;15.000;0.000;-3.600;τ_xy,m;2.916;0.237;-0.686;0.792;0.235;-0.226;
Total;;;;;;3.037;0.365;0.754;0.860;0.256;0.245;
1;;;;;;-2.268;-0.435;-0.771;-0.042;-0.068;-0.226;
;;;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;;;
1;1;0.000;0.000;-3.600;σ_x,b;3.037;0.271;0.549;0.860;0.256;0.245;
1;6;2.500;0.000;-3.600;σ_x,b;-2.268;0.023;-0.090;-0.023;-0.016;0.011;
