Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;80;8.500;1.000;-3.600;;0.359;0.235;-11.24;-0.243;-0.404;80.23;-0.004;-0.023;85.19;0.035;
1;81;9.000;1.000;-3.600;;0.285;0.240;11.83;-0.255;-0.323;-81.06;-0.004;-0.022;89.18;0.061;
1;82;9.500;1.000;-3.600;;0.383;0.234;14.58;-0.239;-0.424;-78.88;-0.001;-0.022;87.95;0.027;
1;83;10.000;1.000;-3.600;;0.436;0.225;7.58;-0.229;-0.477;-84.57;-0.001;-0.021;84.15;0.017;
1;84;10.500;1.000;-3.600;;0.427;0.222;-2.10;-0.225;-0.469;86.67;-0.001;-0.021;80.11;0.019;
1;85;11.000;1.000;-3.600;;0.351;0.210;-14.67;-0.215;-0.389;75.28;-0.002;-0.019;75.08;0.032;
1;86;11.500;1.000;-3.600;;0.231;0.200;-51.48;-0.214;-0.262;52.10;-0.005;-0.018;69.11;0.047;
1;87;12.000;1.000;-3.600;;0.240;0.157;76.92;-0.185;-0.248;-19.78;-0.004;-0.015;83.06;0.062;
1;88;12.500;1.000;-3.600;;0.319;0.213;26.88;-0.220;-0.336;-71.41;0.002;-0.014;76.75;0.014;
1;89;13.000;1.000;-3.600;;0.316;0.212;9.42;-0.214;-0.336;-87.55;0.003;-0.014;67.69;0.015;
1;90;13.500;1.000;-3.600;;0.256;0.197;-24.24;-0.192;-0.282;63.45;0.003;-0.013;59.13;0.028;
1;91;14.000;1.000;-3.600;;0.213;0.086;-69.02;-0.086;-0.232;25.91;0.003;-0.012;49.43;0.043;
1;92;14.500;1.000;-3.600;;0.183;-0.072;-87.78;0.069;-0.196;4.73;0.002;-0.010;36.88;0.059;
1;93;15.000;1.000;-3.600;;0.172;-0.211;78.42;0.216;-0.165;-11.29;0.004;0.002;44.19;0.066;
1;94;0.000;1.500;-3.600;;0.254;-0.145;-83.45;0.148;-0.247;5.80;0.005;0.000;-49.45;0.042;
1;95;0.500;1.500;-3.600;;0.292;-0.071;-87.84;0.073;-0.298;0.89;0.003;-0.006;-29.36;0.034;
