Member No.;Node;Location;;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];Flags;;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
3;;1.0800000000000001;E;;480.6;-480.6;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.4400000000000002;E;;480.6;-480.6;0.1;0.3;0.0;-0.2;0.2;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.8000000000000000;R | E;;480.6;-480.6;0.2;0.3;0.0;-0.1;0.2;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.1600000000000001;E;;480.6;-480.6;0.2;0.4;0.0;-0.1;0.3;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.5200000000000000;E;;480.6;-480.6;0.4;0.4;0.0;0.1;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.8799999999999999;E;;480.7;-480.7;0.5;0.3;0.0;0.3;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;3.2399999999999998;E;;480.7;-480.7;0.7;0.2;0.0;0.5;0.5;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;;480.7;-480.7;0.9;0.0;0.0;0.8;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;4;0.0000000000000000;L | M;u_x;480.5;-480.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;u_x;480.7;-480.7;0.9;0.0;0.0;0.8;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;u_y;480.7;-480.7;0.9;0.0;0.0;0.8;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;u_y;480.5;-480.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.5200000000000000;E;u_z;480.6;-480.6;0.4;0.4;0.0;0.1;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;u_z;480.7;-480.7;0.9;0.0;0.0;0.8;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;φ_x;480.7;-480.7;0.9;0.0;0.0;0.8;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;φ_x;480.5;-480.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;φ_y;480.7;-480.7;0.9;0.0;0.0;0.8;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.0800000000000001;E;φ_y;480.6;-480.6;0.0;0.2;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;φ_z;480.7;-480.7;0.9;0.0;0.0;0.8;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;φ_z;480.5;-480.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;480.7;-480.5;0.9;0.4;0.0;0.8;0.6;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;;;;480.5;-480.7;0.0;0.0;0.0;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;;
4;5;0.0000000000000000;L | M;;480.7;-480.7;0.0;-0.9;0.0;0.6;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.4444444444444444;E;;480.7;-480.7;-0.4;-1.1;-0.4;0.3;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.8888888888888887;E;;480.8;-480.8;-0.7;-1.1;-0.7;0.2;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.3333333333333330;R | E;;480.8;-480.8;-1.1;-1.2;-1.1;0.2;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.7777777777777775;E;;480.8;-480.8;-1.5;-1.3;-1.5;0.4;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.9999999999999998;E;;480.9;-480.8;-1.7;-1.4;-1.7;0.5;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;2.2222222222222219;E;;480.9;-480.9;-1.8;-1.5;-1.9;0.7;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;2.6666666666666665;R | E;;480.9;-480.9;-2.2;-1.9;-2.2;1.1;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;3.1111111111111112;E;;480.9;-480.9;-2.6;-2.5;-2.6;1.8;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;3.5555555555555558;E;;480.9;-480.9;-3.0;-3.4;-3.0;2.5;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;;481.0;-480.9;-3.4;-4.7;-3.4;3.4;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Extremes;5;0.0000000000000000;L | M;u_x;480.7;-480.7;0.0;-0.9;0.0;0.6;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;u_x;481.0;-480.9;-3.4;-4.7;-3.4;3.4;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;L | M;u_y;480.7;-480.7;0.0;-0.9;0.0;0.6;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;u_y;481.0;-480.9;-3.4;-4.7;-3.4;3.4;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;L | M;u_z;480.7;-480.7;0.0;-0.9;0.0;0.6;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;u_z;481.0;-480.9;-3.4;-4.7;-3.4;3.4;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;L | M;φ_x;480.7;-480.7;0.0;-0.9;0.0;0.6;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;φ_x;481.0;-480.9;-3.4;-4.7;-3.4;3.4;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;φ_y;481.0;-480.9;-3.4;-4.7;-3.4;3.4;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.8888888888888887;E;φ_y;480.8;-480.8;-0.7;-1.1;-0.7;0.2;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;L | M;φ_z;480.7;-480.7;0.0;-0.9;0.0;0.6;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;φ_z;481.0;-480.9;-3.4;-4.7;-3.4;3.4;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;481.0;-480.7;0.0;-0.9;0.0;3.4;-0.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;;;;480.7;-480.9;-3.4;-4.7;-3.4;0.2;-0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;;
5;7;0.0000000000000000;L | M;;478.5;-478.5;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
