Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;57;12.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;57;12.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;58;13.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;58;13.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;59;13.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;59;13.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;60;14.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;60;14.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;61;14.500;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;61;14.500;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;62;15.000;0.500;-3.600;max;0.001;0.001;0.001;0.000;
1;62;15.000;0.500;-3.600;min;0.001;0.001;0.001;0.000;
1;63;0.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;63;0.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;64;0.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;64;0.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;65;1.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;65;1.000;1.000;-3.600;min;0.001;0.000;0.000;0.000;
1;66;1.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;66;1.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;67;2.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;67;2.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;68;2.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;68;2.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;69;3.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;69;3.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;70;3.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;70;3.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;71;4.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;71;4.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;72;4.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;72;4.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;73;5.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;73;5.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;74;5.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;74;5.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;75;6.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;75;6.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;76;6.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;76;6.500;1.000;-3.600;min;0.001;0.000;0.000;0.000;
1;77;7.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;77;7.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;78;7.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;78;7.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;79;8.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;79;8.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;80;8.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;80;8.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;81;9.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;81;9.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;82;9.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;82;9.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;83;10.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;83;10.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;84;10.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;84;10.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;85;11.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;85;11.000;1.000;-3.600;min;0.001;0.000;0.000;0.000;
1;86;11.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;86;11.500;1.000;-3.600;min;0.001;0.000;0.000;0.000;
1;87;12.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;87;12.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;88;12.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;88;12.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;89;13.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;89;13.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;90;13.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;90;13.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;91;14.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;91;14.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;92;14.500;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;92;14.500;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;93;15.000;1.000;-3.600;max;0.001;0.001;0.001;0.000;
1;93;15.000;1.000;-3.600;min;0.001;0.001;0.001;0.000;
1;94;0.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;94;0.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;95;0.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;95;0.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;96;1.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;96;1.000;1.500;-3.600;min;0.001;0.000;0.000;0.000;
1;98;2.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;98;2.000;1.500;-3.600;min;0.001;0.000;0.000;0.000;
1;99;2.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;99;2.500;1.500;-3.600;min;0.001;0.000;0.000;0.000;
1;100;3.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;100;3.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;101;3.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;101;3.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;102;4.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;102;4.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;103;4.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;103;4.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;104;5.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;104;5.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;105;5.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;105;5.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;106;6.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;106;6.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;107;6.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;107;6.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;108;7.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;108;7.000;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;109;7.500;1.500;-3.600;max;0.001;0.001;0.001;0.000;
1;109;7.500;1.500;-3.600;min;0.001;0.001;0.001;0.000;
1;110;8.000;1.500;-3.600;max;0.001;0.001;0.001;0.000;
