Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Rankine [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Rankine,+;ε_eqv,Rankine,-;ε_eqv,Rankine;Surface Comment
1;84;10.500;1.000;-3.600;max;0.00;0.00;0.00;
1;84;10.500;1.000;-3.600;min;0.00;0.00;0.00;
1;85;11.000;1.000;-3.600;max;0.00;0.00;0.00;
1;85;11.000;1.000;-3.600;min;0.00;0.00;0.00;
1;86;11.500;1.000;-3.600;max;0.00;0.00;0.00;
1;86;11.500;1.000;-3.600;min;0.00;0.00;0.00;
1;87;12.000;1.000;-3.600;max;0.00;0.00;0.00;
1;87;12.000;1.000;-3.600;min;0.00;0.00;0.00;
1;88;12.500;1.000;-3.600;max;0.00;0.00;0.00;
1;88;12.500;1.000;-3.600;min;0.00;0.00;0.00;
1;89;13.000;1.000;-3.600;max;0.00;0.00;0.00;
1;89;13.000;1.000;-3.600;min;0.00;0.00;0.00;
1;90;13.500;1.000;-3.600;max;0.00;0.00;0.00;
1;90;13.500;1.000;-3.600;min;0.00;0.00;0.00;
1;91;14.000;1.000;-3.600;max;0.00;0.00;0.00;
1;91;14.000;1.000;-3.600;min;0.00;0.00;0.00;
1;92;14.500;1.000;-3.600;max;0.00;0.00;0.00;
1;92;14.500;1.000;-3.600;min;0.00;0.00;0.00;
1;93;15.000;1.000;-3.600;max;0.00;0.00;0.00;
1;93;15.000;1.000;-3.600;min;0.00;0.00;0.00;
1;94;0.000;1.500;-3.600;max;0.00;0.00;0.00;
1;94;0.000;1.500;-3.600;min;0.00;0.00;0.00;
1;95;0.500;1.500;-3.600;max;0.00;0.00;0.00;
1;95;0.500;1.500;-3.600;min;0.00;0.00;0.00;
1;96;1.000;1.500;-3.600;max;0.00;0.00;0.00;
1;96;1.000;1.500;-3.600;min;0.00;0.00;0.00;
1;98;2.000;1.500;-3.600;max;0.00;0.00;0.00;
1;98;2.000;1.500;-3.600;min;0.00;0.00;0.00;
1;99;2.500;1.500;-3.600;max;0.00;0.00;0.00;
1;99;2.500;1.500;-3.600;min;0.00;0.00;0.00;
1;100;3.000;1.500;-3.600;max;0.00;0.00;0.00;
1;100;3.000;1.500;-3.600;min;0.00;0.00;0.00;
1;101;3.500;1.500;-3.600;max;0.00;0.00;0.00;
1;101;3.500;1.500;-3.600;min;0.00;0.00;0.00;
1;102;4.000;1.500;-3.600;max;0.00;0.00;0.00;
1;102;4.000;1.500;-3.600;min;0.00;0.00;0.00;
1;103;4.500;1.500;-3.600;max;0.00;0.00;0.00;
1;103;4.500;1.500;-3.600;min;0.00;0.00;0.00;
1;104;5.000;1.500;-3.600;max;0.00;0.00;0.00;
1;104;5.000;1.500;-3.600;min;0.00;0.00;0.00;
1;105;5.500;1.500;-3.600;max;0.00;0.00;0.00;
1;105;5.500;1.500;-3.600;min;0.00;0.00;0.00;
1;106;6.000;1.500;-3.600;max;0.00;0.00;0.00;
1;106;6.000;1.500;-3.600;min;0.00;0.00;0.00;
1;107;6.500;1.500;-3.600;max;0.00;0.00;0.00;
1;107;6.500;1.500;-3.600;min;0.00;0.00;0.00;
1;108;7.000;1.500;-3.600;max;0.00;0.00;0.00;
1;108;7.000;1.500;-3.600;min;0.00;0.00;0.00;
1;109;7.500;1.500;-3.600;max;0.00;0.00;0.00;
1;109;7.500;1.500;-3.600;min;0.00;0.00;0.00;
1;110;8.000;1.500;-3.600;max;0.00;0.00;0.00;
1;110;8.000;1.500;-3.600;min;0.00;0.00;0.00;
1;111;8.500;1.500;-3.600;max;0.00;0.00;0.00;
1;111;8.500;1.500;-3.600;min;0.00;0.00;0.00;
1;112;9.000;1.500;-3.600;max;0.00;0.00;0.00;
1;112;9.000;1.500;-3.600;min;0.00;0.00;0.00;
1;113;9.500;1.500;-3.600;max;0.00;0.00;0.00;
1;113;9.500;1.500;-3.600;min;0.00;0.00;0.00;
1;114;10.000;1.500;-3.600;max;0.00;0.00;0.00;
1;114;10.000;1.500;-3.600;min;0.00;0.00;0.00;
1;115;10.500;1.500;-3.600;max;0.00;0.00;0.00;
1;115;10.500;1.500;-3.600;min;0.00;0.00;0.00;
1;116;11.000;1.500;-3.600;max;0.00;0.00;0.00;
1;116;11.000;1.500;-3.600;min;0.00;0.00;0.00;
1;117;11.500;1.500;-3.600;max;0.00;0.00;0.00;
1;117;11.500;1.500;-3.600;min;0.00;0.00;0.00;
1;118;12.000;1.500;-3.600;max;0.00;0.00;0.00;
1;118;12.000;1.500;-3.600;min;0.00;0.00;0.00;
1;119;12.500;1.500;-3.600;max;0.00;0.00;0.00;
1;119;12.500;1.500;-3.600;min;0.00;0.00;0.00;
1;120;13.000;1.500;-3.600;max;0.00;0.00;0.00;
1;120;13.000;1.500;-3.600;min;0.00;0.00;0.00;
1;121;13.500;1.500;-3.600;max;0.00;0.00;0.00;
1;121;13.500;1.500;-3.600;min;0.00;0.00;0.00;
1;122;14.000;1.500;-3.600;max;0.00;0.00;0.00;
1;122;14.000;1.500;-3.600;min;0.00;0.00;0.00;
1;123;14.500;1.500;-3.600;max;0.00;0.00;0.00;
1;123;14.500;1.500;-3.600;min;0.00;0.00;0.00;
1;124;15.000;1.500;-3.600;max;0.00;0.00;0.00;
1;124;15.000;1.500;-3.600;min;0.00;0.00;0.00;
1;125;0.000;2.000;-3.600;max;0.00;0.00;0.00;
1;125;0.000;2.000;-3.600;min;0.00;0.00;0.00;
1;126;0.500;2.000;-3.600;max;0.00;0.00;0.00;
1;126;0.500;2.000;-3.600;min;0.00;0.00;0.00;
1;127;1.000;2.000;-3.600;max;0.00;0.00;0.00;
