Mode No.;Member;Node;Location;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;No.;x [m];u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Member Comment
3;10;14;0.000;-0.00008;-0.00001;0.00032;0.00004;0.00010;0.00000;steel column
3;10;15;4.000;-0.04243;0.00025;0.00032;0.00007;0.01585;0.10551;steel column
3;11;16;0.000;0.00000;0.00000;-0.00005;0.00000;0.00000;0.00000;concrete column
3;11;17;3.600;-0.00008;0.00000;-0.00005;-0.00001;0.00012;0.00000;concrete column
3;12;17;0.000;-0.00008;0.00000;-0.00005;-0.00001;0.00012;0.00000;steel column
3;12;18;4.000;-0.00394;-0.00019;-0.00005;-0.00005;0.00025;0.00003;steel column
3;13;19;0.000;0.00000;0.00000;0.00033;0.00000;0.00000;0.00000;concrete column
3;13;20;3.600;-0.00010;-0.00005;0.00034;-0.00002;0.00009;0.00001;concrete column
3;14;20;0.000;-0.00010;-0.00005;0.00034;-0.00002;0.00009;0.00001;steel column
3;14;21;4.000;-0.00227;-0.00091;0.00034;-0.00021;0.00015;0.00004;steel column
3;15;22;0.000;0.00000;0.00000;0.00001;0.00000;0.00000;0.00000;concrete column
3;15;23;3.600;-0.00010;-0.00003;0.00001;0.00000;0.00012;0.00001;concrete column
3;16;23;0.000;-0.00010;-0.00003;0.00001;0.00000;0.00012;0.00001;steel column
3;16;24;4.000;-0.00592;0.00054;0.00001;0.00017;0.00204;0.00090;steel column
3;17;25;0.000;0.00000;0.00000;-0.00066;0.00000;0.00000;0.00000;concrete column
3;17;26;3.600;-0.00010;-0.00002;-0.00066;-0.00009;0.00059;0.00003;concrete column
3;18;26;0.000;-0.00010;-0.00002;-0.00066;-0.00009;0.00059;0.00003;steel column
3;18;27;4.000;-0.49602;-0.00038;-0.00066;-0.00009;0.18525;0.10997;steel column
3;19;28;0.000;0.00000;0.00000;-0.00006;0.00000;0.00000;0.00000;concrete column
3;19;29;3.600;-0.00005;-0.00002;-0.00006;-0.00001;-0.00125;-0.00005;concrete column
3;20;29;0.000;-0.00005;-0.00002;-0.00006;-0.00001;-0.00125;-0.00005;steel column
3;20;30;4.000;1.00000;-0.00007;-0.00006;-0.00001;-0.37353;-0.22157;steel column
3;21;31;0.000;0.00000;0.00000;0.00055;0.00000;0.00000;0.00000;concrete column
3;21;32;3.600;-0.00010;-0.00001;0.00055;0.00007;0.00057;0.00003;concrete column
3;22;32;0.000;-0.00010;-0.00001;0.00055;0.00007;0.00057;0.00003;steel column
3;22;33;4.000;-0.47584;0.00025;0.00055;0.00006;0.17771;0.10551;steel column
3;23;34;0.000;0.00000;0.00000;-0.00011;0.00000;0.00000;0.00000;concrete column
3;23;35;3.600;-0.00009;0.00000;-0.00011;-0.00002;0.00013;0.00001;concrete column
3;24;35;0.000;-0.00009;0.00000;-0.00011;-0.00002;0.00013;0.00001;steel column
3;24;36;4.000;-0.00227;-0.00019;-0.00011;-0.00005;0.00014;0.00004;steel column
3;25;2;0.000;-0.00008;-0.00005;0.00039;-0.00002;0.00010;0.00000;concrete beam
3;25;20;4.000;-0.00010;-0.00005;0.00034;-0.00002;0.00009;0.00001;concrete beam
3;26;3;0.000;-0.00395;-0.00091;0.00040;-0.00018;0.00023;0.00005;steel beam
3;26;21;4.000;-0.00227;-0.00091;0.00034;-0.00021;0.00015;0.00004;steel beam
3;27;5;0.000;-0.00008;-0.00003;0.00003;-0.00001;0.00012;0.00000;concrete beam
3;27;23;4.000;-0.00010;-0.00003;0.00001;0.00000;0.00012;0.00001;concrete beam
3;28;6;0.000;-0.00428;0.00054;0.00003;0.00014;0.00151;0.00016;steel beam
3;28;24;4.000;-0.00592;0.00054;0.00001;0.00017;0.00204;0.00090;steel beam
3;29;8;0.000;-0.00008;-0.00002;-0.00034;-0.00006;0.00011;0.00000;concrete beam
3;29;26;4.000;-0.00010;-0.00002;-0.00066;-0.00009;0.00059;0.00003;concrete beam
3;30;9;0.000;-0.04429;-0.00038;-0.00034;-0.00010;0.01655;0.10997;steel beam
3;30;27;4.000;-0.49602;-0.00038;-0.00066;-0.00009;0.18525;0.10997;steel beam
3;31;11;0.000;-0.00008;-0.00002;-0.00002;-0.00001;-0.00029;0.00000;concrete beam
3;31;29;4.000;-0.00005;-0.00002;-0.00006;-0.00001;-0.00125;-0.00005;concrete beam
3;32;12;0.000;0.08983;-0.00007;-0.00002;-0.00001;-0.03362;-0.22157;steel beam
3;32;30;4.000;1.00000;-0.00007;-0.00006;-0.00001;-0.37353;-0.22157;steel beam
3;33;14;0.000;-0.00008;-0.00001;0.00032;0.00004;0.00010;0.00000;concrete beam
3;33;32;4.000;-0.00010;-0.00001;0.00055;0.00007;0.00057;0.00003;concrete beam
3;34;15;0.000;-0.04243;0.00025;0.00032;0.00007;0.01585;0.10551;steel beam
3;34;33;4.000;-0.47584;0.00025;0.00055;0.00006;0.17771;0.10551;steel beam
3;35;17;0.000;-0.00008;0.00000;-0.00005;-0.00001;0.00012;0.00000;concrete beam
3;35;35;4.000;-0.00009;0.00000;-0.00011;-0.00002;0.00013;0.00001;concrete beam
3;36;18;0.000;-0.00394;-0.00019;-0.00005;-0.00005;0.00025;0.00003;steel beam
3;36;36;4.000;-0.00227;-0.00019;-0.00011;-0.00005;0.00014;0.00004;steel beam
3;37;3;0.000;-0.00395;-0.00091;0.00040;-0.00018;0.00023;0.00005;timber beam
3;37;18;15.000;-0.00394;-0.00019;-0.00005;-0.00005;0.00025;0.00003;timber beam
3;38;21;0.000;-0.00227;-0.00091;0.00034;-0.00021;0.00015;0.00004;timber beam
3;38;36;15.000;-0.00227;-0.00019;-0.00011;-0.00005;0.00014;0.00004;timber beam
3;39;3;0.000;-0.00395;-0.00091;0.00040;-0.00018;0.00023;0.00005;Aluminium beam
3;39;24;5.000;-0.00592;0.00054;0.00001;0.00017;0.00204;0.00090;Aluminium beam
;;;;;;;;;;
4;1;1;0.000;0.00000;0.00000;0.03829;0.00000;0.00000;0.00000;concrete column
4;1;2;3.600;-0.00890;-0.00210;0.03831;-0.00185;0.00620;-0.00009;concrete column
4;2;2;0.000;-0.00890;-0.00210;0.03831;-0.00185;0.00620;-0.00009;steel column
4;2;3;4.000;-0.38411;-0.08601;0.03869;-0.01794;0.02380;0.00473;steel column
4;3;4;0.000;0.00000;0.00000;0.02050;0.00000;0.00000;0.00000;concrete column
4;3;5;3.600;-0.00883;-0.00202;0.02051;-0.00106;0.00517;0.00000;concrete column
4;4;5;0.000;-0.00883;-0.00202;0.02051;-0.00106;0.00517;0.00000;steel column
4;4;6;4.000;-0.29585;0.05043;0.02041;0.01228;0.10488;0.05014;steel column
4;5;7;0.000;0.00000;0.00000;0.00680;0.00000;0.00000;0.00000;concrete column
4;5;8;3.600;-0.00884;-0.00203;0.00680;-0.00108;0.00409;-0.00002;concrete column
4;6;8;0.000;-0.00884;-0.00203;0.00680;-0.00108;0.00409;-0.00002;steel column
4;6;9;4.000;-0.20729;-0.00798;0.00680;-0.00150;0.07209;-0.29389;steel column
4;7;10;0.000;0.00000;0.00000;-0.00445;0.00000;0.00000;0.00000;concrete column
4;7;11;3.600;-0.00887;-0.00212;-0.00445;-0.00094;0.00373;-0.00004;concrete column
4;8;11;0.000;-0.00887;-0.00212;-0.00445;-0.00094;0.00373;-0.00004;steel column
4;8;12;4.000;-0.19543;-0.00718;-0.00445;-0.00126;0.06783;-0.27727;steel column
4;9;13;0.000;0.00000;0.00000;-0.01550;0.00000;0.00000;0.00000;concrete column
4;9;14;3.600;-0.00891;-0.00228;-0.01551;-0.00082;0.00398;-0.00006;concrete column
4;10;14;0.000;-0.00891;-0.00228;-0.01551;-0.00082;0.00398;-0.00006;steel column
4;10;15;4.000;-0.20470;-0.00656;-0.01551;-0.00104;0.07115;-0.28832;steel column
4;11;16;0.000;0.00000;0.00000;-0.02857;0.00000;0.00000;0.00000;concrete column
4;11;17;3.600;-0.00899;-0.00249;-0.02858;-0.00069;0.00517;-0.00015;concrete column
4;12;17;0.000;-0.00899;-0.00249;-0.02858;-0.00069;0.00517;-0.00015;steel column
4;12;18;4.000;-0.38390;-0.01872;-0.02875;-0.00425;0.02605;0.00294;steel column
4;13;19;0.000;0.00000;0.00000;0.03118;0.00000;0.00000;0.00000;concrete column
4;13;20;3.600;-0.00892;-0.00213;0.03119;-0.00178;0.00540;0.00008;concrete column
4;14;20;0.000;-0.00892;-0.00213;0.03119;-0.00178;0.00540;0.00008;steel column
4;14;21;4.000;-0.20436;-0.08573;0.03118;-0.02027;0.01454;0.00348;steel column
4;15;22;0.000;0.00000;0.00000;0.01559;0.00000;0.00000;0.00000;concrete column
4;15;23;3.600;-0.00886;-0.00202;0.01559;-0.00118;0.00531;0.00004;concrete column
4;16;23;0.000;-0.00886;-0.00202;0.01559;-0.00118;0.00531;0.00004;steel column
4;16;24;4.000;-0.57096;0.05079;0.01567;0.01572;0.19976;0.10204;steel column
4;17;25;0.000;0.00000;0.00000;0.00221;0.00000;0.00000;0.00000;concrete column
4;17;26;3.600;-0.00872;-0.00203;0.00221;-0.00116;0.00291;-0.00008;concrete column
4;18;26;0.000;-0.00872;-0.00203;0.00221;-0.00116;0.00291;-0.00008;steel column
4;18;27;4.000;0.99997;-0.00798;0.00221;-0.00147;-0.37880;-0.29390;steel column
4;19;28;0.000;0.00000;0.00000;-0.00824;0.00000;0.00000;0.00000;concrete column
4;19;29;3.600;-0.00865;-0.00212;-0.00825;-0.00094;0.00264;-0.00010;concrete column
4;20;29;0.000;-0.00865;-0.00212;-0.00825;-0.00094;0.00264;-0.00010;steel column
4;20;30;4.000;0.94354;-0.00718;-0.00825;-0.00126;-0.35753;-0.27727;steel column
4;21;31;0.000;0.00000;0.00000;-0.01857;0.00000;0.00000;0.00000;concrete column
4;21;32;3.600;-0.00862;-0.00228;-0.01858;-0.00075;0.00283;-0.00012;concrete column
4;22;32;0.000;-0.00862;-0.00228;-0.01858;-0.00075;0.00283;-0.00012;steel column
4;22;33;4.000;0.97965;-0.00656;-0.01859;-0.00107;-0.37112;-0.28832;steel column
4;23;34;0.000;0.00000;0.00000;-0.03114;0.00000;0.00000;0.00000;concrete column
4;23;35;3.600;-0.00868;-0.00248;-0.03115;-0.00071;0.00474;-0.00002;concrete column
4;24;35;0.000;-0.00868;-0.00248;-0.03115;-0.00071;0.00474;-0.00002;steel column
4;24;36;4.000;-0.20440;-0.01872;-0.03130;-0.00432;0.01469;0.00352;steel column
4;25;2;0.000;-0.00890;-0.00210;0.03831;-0.00185;0.00620;-0.00009;concrete beam
4;25;20;4.000;-0.00892;-0.00213;0.03119;-0.00178;0.00540;0.00008;concrete beam
4;26;3;0.000;-0.38411;-0.08601;0.03869;-0.01794;0.02380;0.00473;steel beam
4;26;21;4.000;-0.20436;-0.08573;0.03118;-0.02027;0.01454;0.00348;steel beam
4;27;5;0.000;-0.00883;-0.00202;0.02051;-0.00106;0.00517;0.00000;concrete beam
4;27;23;4.000;-0.00886;-0.00202;0.01559;-0.00118;0.00531;0.00004;concrete beam
