Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;82;9.500;1.000;-3.600;;0.374;0.243;-0.417;-0.246;0.036;-0.035;0.011;0.025;
1;83;10.000;1.000;-3.600;;0.433;0.229;-0.475;-0.231;0.028;-0.023;0.004;0.017;
1;84;10.500;1.000;-3.600;;0.427;0.222;-0.468;-0.226;-0.008;0.014;-0.011;0.016;
1;85;11.000;1.000;-3.600;;0.342;0.219;-0.378;-0.226;-0.035;0.043;-0.023;0.022;
1;86;11.500;1.000;-3.600;;0.212;0.219;-0.244;-0.232;-0.015;0.023;-0.023;0.041;
1;87;12.000;1.000;-3.600;;0.166;0.230;-0.195;-0.238;0.025;-0.023;0.000;0.061;
1;88;12.500;1.000;-3.600;;0.297;0.235;-0.324;-0.232;0.043;-0.035;0.005;0.013;
1;89;13.000;1.000;-3.600;;0.313;0.215;-0.336;-0.214;0.017;-0.005;-0.008;0.012;
1;90;13.500;1.000;-3.600;;0.246;0.207;-0.264;-0.210;-0.022;0.036;-0.024;0.015;
1;91;14.000;1.000;-3.600;;0.102;0.197;-0.113;-0.204;-0.043;0.057;-0.036;0.023;
1;92;14.500;1.000;-3.600;;-0.072;0.183;0.067;-0.194;-0.010;0.022;-0.034;0.048;
1;93;15.000;1.000;-3.600;;-0.196;0.156;0.202;-0.150;0.075;-0.073;-0.020;0.063;
1;94;0.000;1.500;-3.600;;-0.140;0.248;0.144;-0.243;-0.045;0.040;0.030;0.031;
1;95;0.500;1.500;-3.600;;-0.070;0.291;0.073;-0.298;-0.014;0.006;0.022;0.025;
1;96;1.000;1.500;-3.600;;0.001;0.348;0.001;-0.359;0.010;-0.017;0.015;0.029;
1;98;2.000;1.500;-3.600;;-0.012;0.498;0.020;-0.487;0.008;-0.013;0.033;0.025;
1;99;2.500;1.500;-3.600;;0.187;0.343;-0.196;-0.343;-0.007;0.002;0.012;0.004;
1;100;3.000;1.500;-3.600;;0.157;0.299;-0.181;-0.306;-0.016;0.011;0.004;0.030;
1;101;3.500;1.500;-3.600;;0.207;0.302;-0.234;-0.313;0.011;-0.016;0.019;0.020;
1;102;4.000;1.500;-3.600;;0.303;0.302;-0.335;-0.312;0.024;-0.030;0.018;0.015;
1;103;4.500;1.500;-3.600;;0.384;0.300;-0.421;-0.306;0.016;-0.020;0.012;0.010;
1;104;5.000;1.500;-3.600;;0.414;0.306;-0.454;-0.310;-0.001;-0.002;0.003;0.009;
1;105;5.500;1.500;-3.600;;0.395;0.315;-0.437;-0.320;-0.007;0.006;-0.005;0.010;
1;106;6.000;1.500;-3.600;;0.332;0.313;-0.375;-0.321;-0.005;0.004;0.001;0.029;
1;107;6.500;1.500;-3.600;;0.362;0.318;-0.406;-0.327;0.010;-0.012;0.011;0.016;
1;108;7.000;1.500;-3.600;;0.420;0.315;-0.465;-0.322;0.018;-0.019;0.008;0.013;
1;109;7.500;1.500;-3.600;;0.452;0.311;-0.497;-0.317;0.006;-0.007;0.002;0.010;
1;110;8.000;1.500;-3.600;;0.436;0.315;-0.481;-0.322;-0.007;0.008;-0.006;0.012;
1;111;8.500;1.500;-3.600;;0.387;0.320;-0.431;-0.328;-0.004;0.005;-0.010;0.014;
1;112;9.000;1.500;-3.600;;0.343;0.316;-0.386;-0.324;0.006;-0.006;-0.001;0.029;
1;113;9.500;1.500;-3.600;;0.393;0.318;-0.435;-0.323;0.013;-0.013;0.006;0.012;
1;114;10.000;1.500;-3.600;;0.421;0.310;-0.463;-0.314;0.013;-0.010;0.000;0.010;
1;115;10.500;1.500;-3.600;;0.410;0.305;-0.448;-0.310;-0.002;0.006;-0.008;0.010;
1;116;11.000;1.500;-3.600;;0.350;0.305;-0.385;-0.314;-0.013;0.017;-0.015;0.014;
1;117;11.500;1.500;-3.600;;0.269;0.306;-0.300;-0.316;-0.003;0.006;-0.016;0.018;
1;118;12.000;1.500;-3.600;;0.235;0.294;-0.264;-0.302;0.016;-0.015;-0.004;0.029;
1;119;12.500;1.500;-3.600;;0.292;0.300;-0.318;-0.301;0.018;-0.014;0.001;0.008;
1;120;13.000;1.500;-3.600;;0.288;0.290;-0.309;-0.291;0.009;-0.003;-0.008;0.008;
1;121;13.500;1.500;-3.600;;0.233;0.280;-0.248;-0.284;-0.010;0.017;-0.019;0.009;
1;122;14.000;1.500;-3.600;;0.123;0.280;-0.130;-0.288;-0.018;0.026;-0.025;0.015;
1;123;14.500;1.500;-3.600;;0.002;0.277;-0.004;-0.282;-0.001;0.006;-0.025;0.021;
1;124;15.000;1.500;-3.600;;-0.078;0.252;0.082;-0.243;0.034;-0.034;-0.022;0.031;
1;125;0.000;2.000;-3.600;;-0.091;0.276;0.092;-0.269;-0.017;0.014;0.012;0.001;
1;126;0.500;2.000;-3.600;;-0.046;0.318;0.040;-0.323;0.026;-0.030;0.029;-0.003;
1;127;1.000;2.000;-3.600;;0.034;0.295;-0.055;-0.315;0.101;-0.109;0.063;0.032;
1;128;1.500;2.000;-3.600;;0.341;0.001;-0.367;-0.002;0.051;-0.051;0.058;0.038;
1;129;2.000;2.000;-3.600;;0.235;0.286;-0.254;-0.277;-0.165;0.170;0.002;-0.018;
1;130;2.500;2.000;-3.600;;0.216;0.330;-0.233;-0.331;-0.040;0.045;-0.006;0.008;
1;131;3.000;2.000;-3.600;;0.181;0.320;-0.201;-0.326;0.004;-0.003;0.009;0.000;
1;132;3.500;2.000;-3.600;;0.229;0.330;-0.255;-0.341;0.005;-0.005;0.019;0.001;
