Surface No.;Grid;Grid Point Coordinates [m];;;;Displacements [mm];;;;Rotations [mrad];;;
;Point No.;X;Y;Z;;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Surface Comment
1;161;2.500;2.500;-3.600;;482.7;0.0;0.9;482.7;0.5;0.9;0.0;
1;162;3.000;2.500;-3.600;;482.2;0.0;0.9;482.2;0.5;0.9;0.0;
1;163;3.500;2.500;-3.600;;481.8;0.0;0.9;481.8;0.5;0.8;0.0;
1;164;4.000;2.500;-3.600;;481.4;0.0;0.9;481.4;0.5;0.8;0.0;
1;165;4.500;2.500;-3.600;;481.0;0.0;0.9;481.0;0.5;0.7;0.0;
1;166;5.000;2.500;-3.600;;480.7;0.0;0.9;480.7;0.5;0.6;0.0;
1;167;5.500;2.500;-3.600;;480.4;0.0;0.9;480.4;0.5;0.5;0.0;
1;168;6.000;2.500;-3.600;;480.2;0.0;0.9;480.2;0.5;0.4;0.0;
1;169;6.500;2.500;-3.600;;480.0;0.0;0.9;480.0;0.5;0.3;0.0;
1;170;7.000;2.500;-3.600;;479.9;0.0;0.9;479.9;0.5;0.2;0.0;
1;171;7.500;2.500;-3.600;;479.9;0.0;0.9;479.9;0.5;0.0;0.0;
1;172;8.000;2.500;-3.600;;479.9;0.0;0.9;479.9;0.5;-0.1;0.0;
1;173;8.500;2.500;-3.600;;479.9;0.0;0.9;479.9;0.5;-0.2;0.0;
1;174;9.000;2.500;-3.600;;480.1;0.0;0.9;480.1;0.5;-0.3;0.0;
1;175;9.500;2.500;-3.600;;480.2;0.0;0.9;480.2;0.5;-0.4;0.0;
1;176;10.000;2.500;-3.600;;480.5;0.0;0.9;480.5;0.5;-0.6;0.0;
1;177;10.500;2.500;-3.600;;480.8;0.0;0.9;480.8;0.5;-0.7;0.0;
1;178;11.000;2.500;-3.600;;481.1;0.0;0.9;481.1;0.5;-0.7;0.0;
1;179;11.500;2.500;-3.600;;481.5;0.0;0.9;481.5;0.5;-0.8;0.0;
1;180;12.000;2.500;-3.600;;482.0;0.0;0.9;482.0;0.5;-0.9;0.0;
1;181;12.500;2.500;-3.600;;482.4;0.0;0.9;482.4;0.5;-1.0;0.0;
1;182;13.000;2.500;-3.600;;483.0;0.0;0.9;482.9;0.5;-1.1;0.0;
1;183;13.500;2.500;-3.600;;483.5;0.0;0.9;483.5;0.5;-1.1;0.0;
1;184;14.000;2.500;-3.600;;484.1;0.0;0.9;484.1;0.5;-1.1;0.0;
1;185;14.500;2.500;-3.600;;484.6;0.0;0.9;484.6;0.5;-1.1;0.0;
1;186;15.000;2.500;-3.600;;485.2;0.0;0.9;485.2;0.5;-1.1;0.0;
1;187;0.000;3.000;-3.600;;485.4;0.0;0.9;485.4;0.4;1.0;0.0;
1;188;0.500;3.000;-3.600;;484.9;0.0;0.9;484.9;0.4;1.0;0.0;
1;189;1.000;3.000;-3.600;;484.4;0.0;0.9;484.4;0.4;1.0;0.0;
1;190;1.500;3.000;-3.600;;483.9;0.0;0.9;483.9;0.4;1.0;0.0;
1;191;2.000;3.000;-3.600;;483.4;0.0;0.9;483.4;0.4;1.0;0.0;
1;192;2.500;3.000;-3.600;;482.9;0.0;0.9;482.9;0.5;0.9;0.0;
1;193;3.000;3.000;-3.600;;482.4;0.0;0.9;482.4;0.5;0.9;0.0;
1;194;3.500;3.000;-3.600;;482.0;0.0;0.9;482.0;0.5;0.8;0.0;
1;195;4.000;3.000;-3.600;;481.6;0.0;0.9;481.6;0.5;0.8;0.0;
1;196;4.500;3.000;-3.600;;481.3;0.0;0.9;481.3;0.5;0.7;0.0;
1;197;5.000;3.000;-3.600;;480.9;0.0;0.9;480.9;0.5;0.6;0.0;
1;198;5.500;3.000;-3.600;;480.6;0.0;0.9;480.6;0.4;0.5;0.0;
1;199;6.000;3.000;-3.600;;480.4;0.0;0.9;480.4;0.4;0.4;0.0;
1;200;6.500;3.000;-3.600;;480.3;0.0;0.9;480.3;0.4;0.3;0.0;
1;201;7.000;3.000;-3.600;;480.2;0.0;0.9;480.2;0.4;0.2;0.0;
1;202;7.500;3.000;-3.600;;480.1;0.0;0.9;480.1;0.4;0.1;0.0;
1;203;8.000;3.000;-3.600;;480.1;0.0;0.9;480.1;0.4;-0.1;0.0;
1;204;8.500;3.000;-3.600;;480.2;0.0;0.9;480.2;0.4;-0.2;0.0;
1;205;9.000;3.000;-3.600;;480.3;0.0;0.9;480.3;0.4;-0.3;0.0;
1;206;9.500;3.000;-3.600;;480.5;0.0;0.9;480.5;0.4;-0.4;0.0;
1;207;10.000;3.000;-3.600;;480.7;0.0;0.9;480.7;0.4;-0.6;0.0;
1;208;10.500;3.000;-3.600;;481.0;0.0;0.9;481.0;0.4;-0.7;0.0;
1;209;11.000;3.000;-3.600;;481.4;0.0;0.9;481.4;0.4;-0.7;0.0;
1;210;11.500;3.000;-3.600;;481.7;0.0;0.9;481.7;0.4;-0.8;0.0;
1;211;12.000;3.000;-3.600;;482.2;0.0;0.9;482.2;0.4;-0.9;0.0;
1;212;12.500;3.000;-3.600;;482.6;0.0;0.9;482.6;0.4;-1.0;0.0;
1;213;13.000;3.000;-3.600;;483.2;0.0;0.9;483.2;0.4;-1.1;0.0;
1;214;13.500;3.000;-3.600;;483.7;0.0;0.9;483.7;0.4;-1.1;0.0;
1;215;14.000;3.000;-3.600;;484.3;0.0;0.9;484.3;0.5;-1.1;0.0;
1;216;14.500;3.000;-3.600;;484.9;0.0;0.9;484.9;0.5;-1.1;0.0;
1;217;15.000;3.000;-3.600;;485.4;0.0;0.9;485.4;0.5;-1.1;0.0;
1;218;0.000;3.500;-3.600;;485.6;-0.1;0.9;485.6;0.4;1.0;0.0;
1;219;0.500;3.500;-3.600;;485.1;-0.1;0.9;485.1;0.4;1.0;0.0;
1;220;1.000;3.500;-3.600;;484.6;0.0;0.9;484.6;0.4;1.0;0.0;
1;221;1.500;3.500;-3.600;;484.1;0.0;0.9;484.1;0.4;1.0;0.0;
1;222;2.000;3.500;-3.600;;483.6;0.0;0.9;483.6;0.4;1.0;0.0;
1;223;2.500;3.500;-3.600;;483.1;0.0;0.9;483.1;0.4;0.9;0.0;
