Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;126;0.500;2.000;-3.600;;0.01;0.00;85.95;0.00;-0.01;-4.73;
1;127;1.000;2.000;-3.600;;0.01;0.00;71.07;0.00;-0.01;-19.96;
1;128;1.500;2.000;-3.600;;0.01;0.00;8.38;0.00;-0.01;-82.21;
1;129;2.000;2.000;-3.600;;0.01;0.00;-49.36;0.00;-0.01;43.03;
1;130;2.500;2.000;-3.600;;0.01;0.00;-72.38;0.00;-0.01;21.32;
1;131;3.000;2.000;-3.600;;0.01;0.00;88.41;0.00;-0.01;-1.46;
1;132;3.500;2.000;-3.600;;0.01;0.01;87.22;-0.01;-0.01;-3.23;
1;133;4.000;2.000;-3.600;;0.01;0.01;73.68;-0.01;-0.01;-48.14;
1;134;4.500;2.000;-3.600;;0.01;0.01;6.70;-0.01;-0.01;-85.46;
1;135;5.000;2.000;-3.600;;0.01;0.01;4.49;-0.01;-0.01;-86.71;
1;136;5.500;2.000;-3.600;;0.01;0.01;5.48;-0.01;-0.01;-86.38;
1;137;6.000;2.000;-3.600;;0.01;0.01;16.26;-0.01;-0.01;-85.06;
1;138;6.500;2.000;-3.600;;0.01;0.01;7.61;-0.01;-0.01;-86.14;
1;139;7.000;2.000;-3.600;;0.01;0.01;3.34;-0.01;-0.01;-87.58;
1;140;7.500;2.000;-3.600;;0.01;0.01;2.43;-0.01;-0.01;-88.08;
1;141;8.000;2.000;-3.600;;0.01;0.01;2.54;-0.01;-0.01;-88.06;
1;142;8.500;2.000;-3.600;;0.01;0.01;3.92;-0.01;-0.01;-87.53;
1;143;9.000;2.000;-3.600;;0.01;0.01;6.16;-0.01;-0.01;-87.41;
1;144;9.500;2.000;-3.600;;0.01;0.01;3.06;-0.01;-0.01;-88.08;
1;145;10.000;2.000;-3.600;;0.01;0.01;2.12;-0.01;-0.01;-88.47;
1;146;10.500;2.000;-3.600;;0.01;0.01;2.30;-0.01;-0.01;-88.33;
1;147;11.000;2.000;-3.600;;0.01;0.01;7.28;-0.01;-0.01;-86.57;
1;148;11.500;2.000;-3.600;;0.01;0.01;87.23;-0.01;-0.01;-5.08;
1;149;12.000;2.000;-3.600;;0.01;0.01;87.95;-0.01;-0.01;-2.95;
1;150;12.500;2.000;-3.600;;0.01;0.01;86.30;-0.01;-0.01;-9.20;
1;151;13.000;2.000;-3.600;;0.01;0.01;87.36;-0.01;-0.01;-8.55;
1;152;13.500;2.000;-3.600;;0.01;0.01;88.76;-0.01;-0.01;-1.35;
1;153;14.000;2.000;-3.600;;0.01;0.00;89.55;0.00;-0.01;-0.42;
1;154;14.500;2.000;-3.600;;0.01;0.00;89.78;0.00;-0.01;-0.19;
1;155;15.000;2.000;-3.600;;0.01;0.00;89.86;0.00;-0.01;-0.12;
1;156;0.000;2.500;-3.600;;0.01;-0.01;82.04;0.01;-0.01;-8.06;
1;157;0.500;2.500;-3.600;;0.01;0.00;85.16;0.00;-0.01;-4.20;
1;158;1.000;2.500;-3.600;;0.01;0.00;83.76;0.00;-0.01;-4.78;
1;159;1.500;2.500;-3.600;;0.01;0.00;2.89;0.00;-0.01;89.11;
1;160;2.000;2.500;-3.600;;0.01;0.01;-27.05;0.00;-0.01;68.25;
1;161;2.500;2.500;-3.600;;0.01;0.01;-66.20;-0.01;-0.01;45.77;
1;162;3.000;2.500;-3.600;;0.01;0.00;82.21;0.00;-0.01;-6.33;
1;163;3.500;2.500;-3.600;;0.01;0.01;-89.21;-0.01;-0.01;4.38;
1;164;4.000;2.500;-3.600;;0.01;0.01;-42.94;-0.01;-0.01;62.79;
1;165;4.500;2.500;-3.600;;0.01;0.01;-1.77;-0.01;-0.01;86.77;
1;166;5.000;2.500;-3.600;;0.01;0.01;7.25;-0.01;-0.01;-85.51;
1;167;5.500;2.500;-3.600;;0.01;0.01;12.56;-0.01;-0.01;-81.54;
1;168;6.000;2.500;-3.600;;0.01;0.01;21.70;-0.01;-0.01;-77.65;
1;169;6.500;2.500;-3.600;;0.01;0.01;-1.95;-0.01;-0.01;88.08;
1;170;7.000;2.500;-3.600;;0.01;0.01;-4.60;-0.01;-0.01;86.27;
1;171;7.500;2.500;-3.600;;0.01;0.01;1.16;-0.01;-0.01;-89.05;
1;172;8.000;2.500;-3.600;;0.01;0.01;7.20;-0.01;-0.01;-84.10;
1;173;8.500;2.500;-3.600;;0.01;0.01;9.40;-0.01;-0.01;-83.03;
1;174;9.000;2.500;-3.600;;0.01;0.01;-3.26;-0.01;-0.01;89.25;
1;175;9.500;2.500;-3.600;;0.01;0.01;-5.72;-0.01;-0.01;86.62;
1;176;10.000;2.500;-3.600;;0.01;0.01;-3.39;-0.01;-0.01;88.40;
1;177;10.500;2.500;-3.600;;0.01;0.01;4.51;-0.01;-0.01;-85.07;
1;178;11.000;2.500;-3.600;;0.01;0.01;19.99;-0.01;-0.01;-73.39;
1;179;11.500;2.500;-3.600;;0.01;0.01;79.15;-0.01;-0.01;-25.49;
1;180;12.000;2.500;-3.600;;0.01;0.01;-80.88;-0.01;-0.01;11.77;
1;181;12.500;2.500;-3.600;;0.01;0.01;-53.56;-0.01;-0.01;62.53;
1;182;13.000;2.500;-3.600;;0.01;0.01;-55.46;-0.01;-0.01;-88.02;
1;183;13.500;2.500;-3.600;;0.01;0.01;75.48;-0.01;-0.01;-24.07;
1;184;14.000;2.500;-3.600;;0.01;0.00;82.51;0.00;-0.01;-9.84;
1;185;14.500;2.500;-3.600;;0.01;0.00;89.30;0.00;-0.01;-1.55;
1;186;15.000;2.500;-3.600;;0.01;0.00;-84.37;0.00;-0.01;5.66;
1;187;0.000;3.000;-3.600;;0.01;-0.01;75.99;0.01;-0.01;-13.66;
1;188;0.500;3.000;-3.600;;0.01;-0.01;87.69;0.01;-0.01;-0.12;
1;189;1.000;3.000;-3.600;;0.01;0.00;-76.79;0.00;-0.01;17.83;
1;190;1.500;3.000;-3.600;;0.01;0.00;-24.63;0.00;-0.01;64.76;
1;191;2.000;3.000;-3.600;;0.01;0.00;4.94;0.00;-0.01;-89.80;
1;192;2.500;3.000;-3.600;;0.01;0.00;21.64;0.00;-0.01;-76.43;
1;193;3.000;3.000;-3.600;;0.01;0.00;70.03;0.00;-0.01;-36.15;
1;194;3.500;3.000;-3.600;;0.01;0.00;-80.34;0.00;-0.01;21.37;
1;195;4.000;3.000;-3.600;;0.01;0.00;-22.13;0.00;-0.01;69.06;
1;196;4.500;3.000;-3.600;;0.01;0.00;-3.63;0.00;-0.01;85.03;
1;197;5.000;3.000;-3.600;;0.01;0.00;7.24;0.00;-0.01;-85.03;
1;198;5.500;3.000;-3.600;;0.01;0.01;15.88;-0.01;-0.01;-77.67;
1;199;6.000;3.000;-3.600;;0.01;0.01;30.54;-0.01;-0.01;-68.26;
1;200;6.500;3.000;-3.600;;0.01;0.01;-13.02;-0.01;-0.01;79.12;
1;201;7.000;3.000;-3.600;;0.01;0.00;-8.38;0.00;-0.01;82.55;
1;202;7.500;3.000;-3.600;;0.01;0.00;0.31;0.00;-0.02;-89.73;
1;203;8.000;3.000;-3.600;;0.01;0.00;8.88;0.00;-0.01;-82.06;
1;204;8.500;3.000;-3.600;;0.01;0.01;14.55;-0.01;-0.01;-77.48;
1;205;9.000;3.000;-3.600;;0.01;0.01;-9.37;-0.01;-0.01;83.56;
1;206;9.500;3.000;-3.600;;0.01;0.01;-12.68;-0.01;-0.01;80.60;
1;207;10.000;3.000;-3.600;;0.01;0.00;-5.93;0.00;-0.01;86.07;
1;208;10.500;3.000;-3.600;;0.01;0.00;3.88;0.00;-0.01;-85.10;
1;209;11.000;3.000;-3.600;;0.01;0.00;16.94;0.00;-0.01;-73.41;
1;210;11.500;3.000;-3.600;;0.01;0.00;53.26;-0.01;-0.01;-48.43;
1;211;12.000;3.000;-3.600;;0.01;0.00;-80.22;0.00;-0.01;1.64;
1;212;12.500;3.000;-3.600;;0.01;0.01;-25.96;-0.01;-0.01;72.73;
1;213;13.000;3.000;-3.600;;0.01;0.01;-7.42;0.00;-0.01;89.39;
1;214;13.500;3.000;-3.600;;0.01;0.00;26.74;0.00;-0.01;-61.95;
1;215;14.000;3.000;-3.600;;0.01;0.00;68.40;0.00;-0.01;-26.29;
1;216;14.500;3.000;-3.600;;0.01;0.00;87.28;0.00;-0.01;-5.16;
1;217;15.000;3.000;-3.600;;0.01;-0.01;-78.68;0.01;-0.01;11.06;
1;218;0.000;3.500;-3.600;;0.00;-0.02;74.01;0.02;0.00;-14.50;
