Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;114;10.000;1.500;-3.600;;0.410;0.379;0.410;0.020;
1;115;10.500;1.500;-3.600;;0.398;0.369;0.398;0.018;
1;116;11.000;1.500;-3.600;;0.356;0.331;0.356;0.016;
1;117;11.500;1.500;-3.600;;0.309;0.289;0.309;0.014;
1;118;12.000;1.500;-3.600;;0.288;0.273;0.288;0.013;
1;119;12.500;1.500;-3.600;;0.311;0.297;0.311;0.013;
1;120;13.000;1.500;-3.600;;0.301;0.290;0.301;0.012;
1;121;13.500;1.500;-3.600;;0.270;0.260;0.270;0.009;
1;122;14.000;1.500;-3.600;;0.254;0.245;0.254;0.007;
1;123;14.500;1.500;-3.600;;0.280;0.276;0.280;0.004;
1;124;15.000;1.500;-3.600;;0.304;0.304;0.298;0.004;
1;125;0.000;2.000;-3.600;;0.332;0.332;0.326;0.004;
1;126;0.500;2.000;-3.600;;0.348;0.347;0.348;0.005;
1;127;1.000;2.000;-3.600;;0.347;0.330;0.347;0.012;
1;128;1.500;2.000;-3.600;;0.376;0.352;0.376;0.013;
1;129;2.000;2.000;-3.600;;0.397;0.389;0.397;0.013;
1;130;2.500;2.000;-3.600;;0.305;0.298;0.305;0.009;
1;131;3.000;2.000;-3.600;;0.285;0.278;0.285;0.009;
1;132;3.500;2.000;-3.600;;0.307;0.293;0.307;0.011;
1;133;4.000;2.000;-3.600;;0.342;0.322;0.342;0.014;
1;134;4.500;2.000;-3.600;;0.382;0.358;0.382;0.016;
1;135;5.000;2.000;-3.600;;0.405;0.377;0.405;0.019;
1;136;5.500;2.000;-3.600;;0.400;0.371;0.400;0.020;
1;137;6.000;2.000;-3.600;;0.369;0.341;0.369;0.020;
1;138;6.500;2.000;-3.600;;0.391;0.362;0.391;0.020;
1;139;7.000;2.000;-3.600;;0.421;0.389;0.421;0.021;
1;140;7.500;2.000;-3.600;;0.439;0.405;0.439;0.021;
1;141;8.000;2.000;-3.600;;0.430;0.397;0.430;0.021;
1;142;8.500;2.000;-3.600;;0.404;0.374;0.404;0.020;
1;143;9.000;2.000;-3.600;;0.377;0.348;0.377;0.020;
1;144;9.500;2.000;-3.600;;0.403;0.374;0.403;0.020;
1;145;10.000;2.000;-3.600;;0.414;0.385;0.414;0.019;
1;146;10.500;2.000;-3.600;;0.402;0.375;0.402;0.018;
1;147;11.000;2.000;-3.600;;0.368;0.345;0.368;0.015;
1;148;11.500;2.000;-3.600;;0.330;0.312;0.330;0.014;
