Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;181;12.500;2.500;-3.600;;1.797;1.574;1.797;0.130;
1;182;13.000;2.500;-3.600;;1.336;1.164;1.336;0.113;
1;183;13.500;2.500;-3.600;;0.764;0.665;0.764;0.095;
1;184;14.000;2.500;-3.600;;0.382;0.382;0.328;0.080;
1;185;14.500;2.500;-3.600;;0.367;0.367;0.362;0.037;
1;186;15.000;2.500;-3.600;;0.496;0.379;0.496;0.093;
1;187;0.000;3.000;-3.600;;0.742;0.623;0.742;0.085;
1;188;0.500;3.000;-3.600;;0.674;0.674;0.486;0.112;
1;189;1.000;3.000;-3.600;;0.468;0.468;0.268;0.123;
1;190;1.500;3.000;-3.600;;0.591;0.481;0.591;0.135;
1;191;2.000;3.000;-3.600;;1.083;0.814;1.083;0.157;
1;192;2.500;3.000;-3.600;;1.465;1.181;1.465;0.163;
1;193;3.000;3.000;-3.600;;1.386;1.204;1.386;0.157;
1;194;3.500;3.000;-3.600;;0.981;0.766;0.981;0.166;
1;195;4.000;3.000;-3.600;;1.125;0.814;1.125;0.174;
1;196;4.500;3.000;-3.600;;1.476;1.132;1.476;0.180;
1;197;5.000;3.000;-3.600;;1.895;1.537;1.895;0.184;
1;198;5.500;3.000;-3.600;;2.287;1.924;2.287;0.186;
1;199;6.000;3.000;-3.600;;2.402;2.069;2.402;0.186;
1;200;6.500;3.000;-3.600;;2.076;1.740;2.076;0.190;
1;201;7.000;3.000;-3.600;;1.924;1.558;1.924;0.195;
1;202;7.500;3.000;-3.600;;1.901;1.524;1.901;0.198;
1;203;8.000;3.000;-3.600;;2.000;1.635;2.000;0.196;
1;204;8.500;3.000;-3.600;;2.207;1.867;2.207;0.191;
1;205;9.000;3.000;-3.600;;2.513;2.176;2.513;0.187;
1;206;9.500;3.000;-3.600;;2.373;2.010;2.373;0.187;
1;207;10.000;3.000;-3.600;;2.031;1.671;2.031;0.184;
1;208;10.500;3.000;-3.600;;1.706;1.363;1.706;0.181;
1;209;11.000;3.000;-3.600;;1.496;1.195;1.496;0.172;
1;210;11.500;3.000;-3.600;;1.508;1.275;1.508;0.162;
1;211;12.000;3.000;-3.600;;1.967;1.721;1.967;0.153;
1;212;12.500;3.000;-3.600;;1.919;1.616;1.919;0.160;
1;213;13.000;3.000;-3.600;;1.430;1.134;1.430;0.158;
1;214;13.500;3.000;-3.600;;0.902;0.600;0.902;0.161;
1;215;14.000;3.000;-3.600;;0.486;0.391;0.486;0.160;
1;216;14.500;3.000;-3.600;;0.587;0.587;0.546;0.125;
1;217;15.000;3.000;-3.600;;0.750;0.650;0.750;0.079;
1;218;0.000;3.500;-3.600;;1.129;1.129;0.953;0.204;
1;219;0.500;3.500;-3.600;;0.974;0.974;0.516;0.277;
1;220;1.000;3.500;-3.600;;0.557;0.557;0.103;0.255;
1;221;1.500;3.500;-3.600;;0.497;0.204;0.497;0.205;
1;222;2.000;3.500;-3.600;;0.975;0.626;0.975;0.188;
1;223;2.500;3.500;-3.600;;1.580;1.233;1.580;0.192;
1;224;3.000;3.500;-3.600;;1.737;1.564;1.671;0.187;
