Surface No.;Grid;Grid Point Coordinates [m];;;;Stresses from Moments [N/mm^2 ];;;Stresses from Axial Forces [N/mm^2 ];;;
;Point No.;X;Y;Z;;σ_x,b;σ_y,b;τ_xy,b;σ_x,m;σ_y,m;τ_xy,m;Surface Comment
1;129;2.000;2.000;-3.600;;-0.520;0.449;-0.115;0.050;-0.026;-0.017;
1;130;2.500;2.000;-3.600;;-0.803;0.503;-0.133;0.071;0.029;-0.005;
1;131;3.000;2.000;-3.600;;-0.911;0.453;-0.060;0.100;0.024;0.005;
1;132;3.500;2.000;-3.600;;-0.804;0.412;-0.013;0.128;0.032;0.002;
1;133;4.000;2.000;-3.600;;-0.876;0.374;0.027;0.145;0.027;0.001;
1;134;4.500;2.000;-3.600;;-1.072;0.378;0.047;0.159;0.018;0.001;
1;135;5.000;2.000;-3.600;;-1.361;0.408;0.051;0.169;0.011;0.001;
1;136;5.500;2.000;-3.600;;-1.633;0.428;0.052;0.174;0.011;0.001;
1;137;6.000;2.000;-3.600;;-1.752;0.411;0.049;0.177;0.016;0.000;
1;138;6.500;2.000;-3.600;;-1.630;0.402;0.050;0.179;0.017;-0.001;
1;139;7.000;2.000;-3.600;;-1.539;0.367;0.051;0.181;0.017;-0.001;
1;140;7.500;2.000;-3.600;;-1.514;0.353;0.043;0.182;0.016;-0.001;
1;141;8.000;2.000;-3.600;;-1.590;0.366;0.034;0.182;0.016;-0.001;
1;142;8.500;2.000;-3.600;;-1.726;0.396;0.031;0.181;0.017;-0.002;
1;143;9.000;2.000;-3.600;;-1.882;0.400;0.028;0.179;0.016;-0.002;
1;144;9.500;2.000;-3.600;;-1.788;0.418;0.029;0.177;0.011;-0.002;
1;145;10.000;2.000;-3.600;;-1.555;0.402;0.029;0.173;0.011;-0.002;
1;146;10.500;2.000;-3.600;;-1.317;0.381;0.023;0.165;0.016;-0.002;
1;147;11.000;2.000;-3.600;;-1.173;0.386;0.016;0.156;0.023;-0.002;
1;148;11.500;2.000;-3.600;;-1.142;0.431;0.014;0.146;0.025;-0.002;
1;149;12.000;2.000;-3.600;;-1.261;0.460;0.014;0.138;0.022;-0.002;
1;150;12.500;2.000;-3.600;;-1.164;0.479;0.015;0.118;0.023;-0.001;
1;151;13.000;2.000;-3.600;;-0.779;0.446;0.014;0.092;0.032;-0.002;
1;152;13.500;2.000;-3.600;;-0.308;0.377;0.005;0.058;0.048;-0.002;
1;153;14.000;2.000;-3.600;;0.088;0.321;-0.008;0.023;0.049;-0.002;
1;154;14.500;2.000;-3.600;;0.314;0.303;-0.012;0.000;0.005;-0.003;
1;155;15.000;2.000;-3.600;;0.351;0.313;-0.006;-0.020;-0.094;-0.002;
1;156;0.000;2.500;-3.600;;0.328;0.307;-0.235;-0.023;-0.097;0.008;
1;157;0.500;2.500;-3.600;;0.229;0.275;-0.224;0.010;0.043;-0.007;
1;158;1.000;2.500;-3.600;;0.041;0.201;-0.198;0.045;0.100;0.003;
1;159;1.500;2.500;-3.600;;-0.311;0.245;-0.199;0.082;0.021;-0.004;
1;160;2.000;2.500;-3.600;;-0.688;0.410;-0.118;0.114;-0.003;-0.010;
1;161;2.500;2.500;-3.600;;-0.893;0.460;-0.133;0.123;0.010;-0.019;
1;162;3.000;2.500;-3.600;;-0.845;0.417;-0.157;0.124;0.029;-0.018;
1;163;3.500;2.500;-3.600;;-0.703;0.399;-0.051;0.139;0.034;-0.015;
1;164;4.000;2.500;-3.600;;-0.804;0.363;0.037;0.153;0.026;-0.014;
1;165;4.500;2.500;-3.600;;-1.041;0.363;0.109;0.166;0.015;-0.011;
1;166;5.000;2.500;-3.600;;-1.371;0.384;0.131;0.175;0.009;-0.007;
1;167;5.500;2.500;-3.600;;-1.682;0.402;0.095;0.180;0.010;-0.002;
1;168;6.000;2.500;-3.600;;-1.796;0.390;0.016;0.181;0.017;-0.001;
1;169;6.500;2.500;-3.600;;-1.629;0.383;0.002;0.184;0.019;-0.004;
1;170;7.000;2.500;-3.600;;-1.527;0.348;0.015;0.187;0.016;-0.004;
1;171;7.500;2.500;-3.600;;-1.502;0.335;0.047;0.188;0.014;-0.002;
1;172;8.000;2.500;-3.600;;-1.586;0.344;0.076;0.187;0.015;0.000;
1;173;8.500;2.500;-3.600;;-1.738;0.373;0.080;0.185;0.017;0.001;
1;174;9.000;2.500;-3.600;;-1.925;0.375;0.057;0.183;0.017;-0.001;
1;175;9.500;2.500;-3.600;;-1.825;0.388;-0.006;0.182;0.010;0.001;
1;176;10.000;2.500;-3.600;;-1.566;0.372;-0.036;0.178;0.009;0.004;
1;177;10.500;2.500;-3.600;;-1.305;0.359;-0.021;0.170;0.014;0.007;
1;178;11.000;2.500;-3.600;;-1.147;0.368;0.024;0.160;0.022;0.009;
1;179;11.500;2.500;-3.600;;-1.120;0.414;0.066;0.150;0.027;0.008;
1;180;12.000;2.500;-3.600;;-1.308;0.434;0.085;0.143;0.021;0.008;
1;181;12.500;2.500;-3.600;;-1.243;0.441;-0.038;0.127;0.017;0.018;
1;182;13.000;2.500;-3.600;;-0.818;0.409;-0.118;0.104;0.027;0.029;
1;183;13.500;2.500;-3.600;;-0.307;0.356;-0.130;0.070;0.044;0.036;
1;184;14.000;2.500;-3.600;;0.123;0.317;-0.088;0.032;0.053;0.036;
1;185;14.500;2.500;-3.600;;0.356;0.330;-0.004;0.002;0.019;0.016;
1;186;15.000;2.500;-3.600;;0.394;0.364;0.046;-0.029;-0.092;-0.008;
1;187;0.000;3.000;-3.600;;0.465;0.306;-0.285;-0.043;-0.085;0.001;
1;188;0.500;3.000;-3.600;;0.343;0.267;-0.270;0.023;0.071;-0.051;
1;189;1.000;3.000;-3.600;;0.111;0.223;-0.172;0.075;0.066;-0.052;
1;190;1.500;3.000;-3.600;;-0.250;0.239;-0.096;0.121;0.031;-0.038;
1;191;2.000;3.000;-3.600;;-0.675;0.264;-0.056;0.145;0.002;-0.032;
1;192;2.500;3.000;-3.600;;-1.037;0.257;-0.132;0.155;0.000;-0.025;
1;193;3.000;3.000;-3.600;;-0.879;0.285;-0.280;0.153;0.033;-0.019;
1;194;3.500;3.000;-3.600;;-0.521;0.330;-0.087;0.159;0.037;-0.029;
1;195;4.000;3.000;-3.600;;-0.671;0.290;0.061;0.169;0.019;-0.026;
1;196;4.500;3.000;-3.600;;-0.983;0.276;0.169;0.178;0.010;-0.019;
1;197;5.000;3.000;-3.600;;-1.399;0.265;0.211;0.183;0.005;-0.013;
1;198;5.500;3.000;-3.600;;-1.833;0.254;0.143;0.185;0.004;-0.006;
1;199;6.000;3.000;-3.600;;-1.984;0.250;-0.037;0.186;0.019;-0.002;
1;200;6.500;3.000;-3.600;;-1.624;0.281;-0.052;0.190;0.021;-0.009;
1;201;7.000;3.000;-3.600;;-1.484;0.257;-0.015;0.195;0.012;-0.007;
1;202;7.500;3.000;-3.600;;-1.459;0.251;0.051;0.198;0.010;-0.002;
1;203;8.000;3.000;-3.600;;-1.555;0.249;0.111;0.196;0.011;0.003;
1;204;8.500;3.000;-3.600;;-1.756;0.263;0.133;0.191;0.018;0.006;
1;205;9.000;3.000;-3.600;;-2.108;0.228;0.098;0.187;0.018;0.000;
1;206;9.500;3.000;-3.600;;-1.947;0.243;-0.046;0.186;0.005;0.003;
1;207;10.000;3.000;-3.600;;-1.586;0.254;-0.100;0.184;0.005;0.009;
1;208;10.500;3.000;-3.600;;-1.263;0.267;-0.061;0.179;0.009;0.015;
1;209;11.000;3.000;-3.600;;-1.059;0.285;0.024;0.169;0.017;0.020;
1;210;11.500;3.000;-3.600;;-1.031;0.336;0.126;0.158;0.032;0.020;
1;211;12.000;3.000;-3.600;;-1.507;0.290;0.204;0.152;0.020;0.012;
1;212;12.500;3.000;-3.600;;-1.500;0.256;-0.099;0.145;0.000;0.034;
1;213;13.000;3.000;-3.600;;-0.913;0.270;-0.246;0.132;0.016;0.053;
1;214;13.500;3.000;-3.600;;-0.289;0.271;-0.249;0.110;0.033;0.071;
1;215;14.000;3.000;-3.600;;0.231;0.268;-0.162;0.069;0.048;0.079;
1;216;14.500;3.000;-3.600;;0.552;0.319;-0.011;0.024;0.059;0.060;
1;217;15.000;3.000;-3.600;;0.638;0.403;0.135;-0.041;-0.078;-0.003;
1;218;0.000;3.500;-3.600;;0.769;0.344;-0.420;-0.013;-0.018;-0.102;
1;219;0.500;3.500;-3.600;;0.605;0.179;-0.277;0.143;0.054;-0.131;
1;220;1.000;3.500;-3.600;;0.233;0.133;-0.118;0.207;0.036;-0.095;
1;221;1.500;3.500;-3.600;;-0.183;0.136;-0.022;0.192;0.017;-0.050;
1;222;2.000;3.500;-3.600;;-0.676;0.121;0.007;0.176;0.003;-0.036;
1;223;2.500;3.500;-3.600;;-1.362;0.037;-0.064;0.176;-0.004;-0.033;
1;224;3.000;3.500;-3.600;;-0.999;0.010;-0.526;0.177;0.043;-0.033;
1;225;3.500;3.500;-3.600;;-0.174;0.226;-0.082;0.190;0.022;-0.043;
1;226;4.000;3.500;-3.600;;-0.535;0.170;0.078;0.201;0.010;-0.031;
1;227;4.500;3.500;-3.600;;-0.924;0.153;0.191;0.189;0.004;-0.018;
1;228;5.000;3.500;-3.600;;-1.407;0.135;0.224;0.182;0.001;-0.014;
1;229;5.500;3.500;-3.600;;-2.067;0.054;0.173;0.185;-0.001;-0.012;
1;230;6.000;3.500;-3.600;;-2.358;-0.052;-0.153;0.190;0.024;-0.013;
1;231;6.500;3.500;-3.600;;-1.539;0.136;-0.076;0.203;0.012;-0.018;
1;232;7.000;3.500;-3.600;;-1.416;0.133;-0.024;0.213;0.006;-0.011;
1;233;7.500;3.500;-3.600;;-1.409;0.134;0.047;0.210;0.005;-0.002;
1;234;8.000;3.500;-3.600;;-1.499;0.127;0.111;0.211;0.006;0.007;
1;235;8.500;3.500;-3.600;;-1.718;0.114;0.144;0.201;0.011;0.014;
1;236;9.000;3.500;-3.600;;-2.460;-0.078;0.179;0.190;0.023;0.009;
1;237;9.500;3.500;-3.600;;-2.127;0.051;-0.080;0.186;0.000;0.008;
1;238;10.000;3.500;-3.600;;-1.580;0.121;-0.116;0.184;0.002;0.011;
1;239;10.500;3.500;-3.600;;-1.213;0.142;-0.081;0.190;0.004;0.015;
1;240;11.000;3.500;-3.600;;-0.949;0.156;0.019;0.197;0.010;0.028;
1;241;11.500;3.500;-3.600;;-0.770;0.227;0.135;0.180;0.021;0.039;
1;242;12.000;3.500;-3.600;;-1.920;-0.014;0.479;0.159;0.021;0.036;
1;243;12.500;3.500;-3.600;;-1.946;0.013;-0.159;0.151;-0.006;0.049;
1;244;13.000;3.500;-3.600;;-1.000;0.150;-0.290;0.150;0.006;0.057;
1;245;13.500;3.500;-3.600;;-0.263;0.158;-0.307;0.178;0.016;0.072;
