Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;76;6.500;1.000;-3.600;;0.000;-3.696;-58.234;60.552;6.216;-4.837;70.968;11.503;-6.554;
1;77;7.000;1.000;-3.600;;0.000;-3.146;-57.545;58.835;4.496;-2.639;72.050;7.185;-4.429;
1;78;7.500;1.000;-3.600;;0.000;-2.825;-58.410;59.078;3.508;-1.351;71.337;4.245;-0.154;
1;79;8.000;1.000;-3.600;;0.000;-3.257;-59.750;59.894;3.401;-0.289;72.385;6.818;-4.172;
1;80;8.500;1.000;-3.600;;0.000;-4.072;-62.125;62.680;4.637;-1.119;71.840;11.047;-6.580;
1;81;9.000;1.000;-3.600;;0.000;-6.172;-70.845;72.538;7.959;-3.480;68.490;8.756;-2.533;
1;82;9.500;1.000;-3.600;;0.000;-4.729;-69.070;70.083;5.772;-2.057;69.505;4.253;-4.594;
1;83;10.000;1.000;-3.600;;0.000;-2.891;-60.973;63.906;6.138;-6.180;71.379;7.090;-9.994;
1;84;10.500;1.000;-3.600;;0.000;-1.870;-51.594;54.733;5.449;-6.718;72.087;11.512;-14.930;
1;85;11.000;1.000;-3.600;;0.000;-1.721;-42.445;44.340;3.802;-3.976;70.124;16.816;-18.865;
1;86;11.500;1.000;-3.600;;0.000;-1.283;-36.739;38.164;2.828;-2.970;65.788;23.291;-18.983;
1;87;12.000;1.000;-3.600;;0.000;-2.719;-50.702;56.205;9.931;-12.716;58.975;13.620;-10.445;
1;88;12.500;1.000;-3.600;;0.000;-3.757;-53.290;54.949;5.526;-3.427;65.020;12.995;-27.320;
1;89;13.000;1.000;-3.600;;0.000;-0.702;-38.200;43.812;8.897;-13.807;67.271;26.005;-41.872;
1;90;13.500;1.000;-3.600;;0.000;2.943;-21.049;25.259;9.689;-16.842;65.503;38.438;-54.309;
1;91;14.000;1.000;-3.600;;10.386;5.322;-13.683;3.298;8.361;-13.683;54.283;47.074;-60.283;
1;92;14.500;1.000;-3.600;;19.916;0.508;-1.883;0.000;0.481;-19.021;31.483;44.784;-46.779;
1;93;15.000;1.000;-3.600;;31.881;9.274;-14.060;0.000;-0.255;-26.839;-14.577;0.000;-26.189;
1;94;0.000;1.500;-3.600;;17.327;2.812;-6.515;0.000;1.199;-14.824;-2.129;0.000;-32.543;
1;95;0.500;1.500;-3.600;;17.109;4.269;-11.771;0.000;4.703;-14.310;15.654;37.800;-41.469;
1;96;1.000;1.500;-3.600;;8.567;5.344;-13.652;5.085;8.308;-13.652;14.035;59.685;-37.440;
1;98;2.000;1.500;-3.600;;0.000;4.759;-20.553;21.809;14.362;-20.376;0.000;6.851;-22.205;
1;99;2.500;1.500;-3.600;;0.000;-3.192;-32.323;36.300;8.546;-9.331;34.800;21.715;-30.567;
1;100;3.000;1.500;-3.600;;0.000;-1.364;-36.067;36.945;2.287;-1.802;60.695;22.835;-26.309;
1;101;3.500;1.500;-3.600;;0.000;-1.883;-31.591;32.008;2.312;-0.847;56.975;20.087;-14.433;
1;102;4.000;1.500;-3.600;;0.000;-2.700;-36.337;36.764;3.137;-0.864;62.044;17.366;-13.275;
1;103;4.500;1.500;-3.600;;0.000;-2.440;-44.759;45.723;3.447;-1.972;65.632;11.739;-10.287;
1;104;5.000;1.500;-3.600;;0.000;-2.159;-54.326;54.990;2.839;-1.345;67.814;7.441;-7.067;
1;105;5.500;1.500;-3.600;;0.000;-2.278;-62.112;62.691;2.868;-1.168;67.916;5.564;-3.137;
1;106;6.000;1.500;-3.600;;0.000;-2.738;-63.911;66.206;5.213;-4.770;67.759;7.562;-1.052;
1;107;6.500;1.500;-3.600;;0.000;-2.872;-59.935;62.020;5.114;-4.327;69.235;8.827;-2.172;
1;108;7.000;1.500;-3.600;;0.000;-3.327;-58.819;60.357;4.950;-3.161;70.191;7.652;-1.615;
1;109;7.500;1.500;-3.600;;0.000;-3.365;-59.090;59.922;4.222;-1.689;70.189;6.178;-0.305;
1;110;8.000;1.500;-3.600;;0.000;-3.369;-60.740;60.912;3.541;-0.343;70.932;7.702;-2.239;
1;111;8.500;1.500;-3.600;;0.000;-3.079;-63.349;63.621;3.353;-0.546;70.379;8.928;-2.928;
1;112;9.000;1.500;-3.600;;0.000;-3.104;-67.836;68.156;3.430;-0.646;68.960;7.871;-1.538;
1;113;9.500;1.500;-3.600;;0.000;-2.534;-66.370;67.552;3.760;-2.407;69.020;5.552;-2.714;
1;114;10.000;1.500;-3.600;;0.000;-2.265;-59.924;61.952;4.440;-4.203;69.128;6.784;-5.981;
1;115;10.500;1.500;-3.600;;0.000;-2.304;-52.053;53.967;4.371;-3.980;67.376;10.150;-8.498;
1;116;11.000;1.500;-3.600;;0.000;-2.356;-45.235;46.043;3.195;-1.647;64.243;14.598;-10.219;
1;117;11.500;1.500;-3.600;;0.000;-1.428;-41.621;42.434;2.274;-1.658;59.567;15.892;-8.968;
1;118;12.000;1.500;-3.600;;0.000;-0.601;-46.337;48.477;2.960;-4.498;56.051;12.474;-7.621;
1;119;12.500;1.500;-3.600;;0.000;-0.208;-45.977;47.215;1.516;-2.546;53.962;13.321;-14.799;
1;120;13.000;1.500;-3.600;;0.000;0.037;-34.007;37.374;4.188;-7.592;49.815;20.981;-23.698;
1;121;13.500;1.500;-3.600;;0.000;-0.397;-18.078;21.347;5.985;-8.857;40.018;30.075;-29.087;
1;122;14.000;1.500;-3.600;;2.295;0.293;-6.086;3.790;5.792;-6.086;26.342;33.807;-29.294;
1;123;14.500;1.500;-3.600;;10.435;0.000;-2.880;0.000;2.878;-10.432;8.935;15.328;-15.874;
1;124;15.000;1.500;-3.600;;16.624;2.365;-6.248;0.000;1.482;-14.223;-10.322;0.000;-31.881;
1;125;0.000;2.000;-3.600;;16.420;3.342;-9.959;0.000;3.805;-13.608;0.861;0.000;-32.083;
1;126;0.500;2.000;-3.600;;13.210;2.880;-12.547;0.000;9.068;-12.610;24.964;20.279;-20.963;
1;127;1.000;2.000;-3.600;;3.929;1.465;-13.525;9.596;12.060;-13.525;63.068;83.014;-43.845;
1;128;1.500;2.000;-3.600;;0.000;2.080;-23.192;27.921;7.958;-14.767;40.310;2.660;-7.239;
1;129;2.000;2.000;-3.600;;0.000;2.327;-23.829;24.227;0.000;-2.724;25.339;0.000;-14.818;
1;130;2.500;2.000;-3.600;;0.000;1.502;-30.431;32.384;0.742;-4.198;30.292;12.602;-5.824;
1;131;3.000;2.000;-3.600;;0.000;0.632;-32.383;34.097;1.299;-3.645;39.032;10.739;-2.808;
1;132;3.500;2.000;-3.600;;0.000;-1.136;-31.206;31.704;1.650;-1.012;48.822;13.483;-0.981;
1;133;4.000;2.000;-3.600;;0.000;-2.234;-36.403;36.925;2.770;-1.058;55.401;11.546;-0.710;
1;134;4.500;2.000;-3.600;;0.000;-1.914;-44.594;45.634;3.005;-2.132;61.040;7.833;-0.725;
1;135;5.000;2.000;-3.600;;0.000;-1.175;-53.749;54.909;2.387;-2.371;65.151;5.184;-0.726;
1;136;5.500;2.000;-3.600;;0.000;-0.880;-60.898;62.108;2.140;-2.471;67.469;5.239;-0.570;
1;137;6.000;2.000;-3.600;;0.000;-1.211;-62.375;63.520;2.401;-2.336;68.487;7.258;-0.142;
1;138;6.500;2.000;-3.600;;0.000;-1.913;-60.095;61.274;3.140;-2.407;69.373;7.867;-0.357;
1;139;7.000;2.000;-3.600;;0.000;-2.809;-59.319;60.515;4.055;-2.443;70.470;7.592;-0.619;
1;140;7.500;2.000;-3.600;;0.000;-3.075;-59.581;60.592;4.121;-2.057;71.053;7.169;-0.727;
1;141;8.000;2.000;-3.600;;0.000;-2.826;-61.246;62.033;3.634;-1.594;70.931;7.410;-0.789;
1;142;8.500;2.000;-3.600;;0.000;-2.086;-63.543;64.245;2.804;-1.420;70.320;7.842;-0.898;
1;143;9.000;2.000;-3.600;;0.000;-1.605;-66.425;67.067;2.261;-1.298;69.746;7.580;-0.943;
1;144;9.500;2.000;-3.600;;0.000;-1.339;-65.315;66.001;2.040;-1.387;68.895;5.470;-0.997;
1;145;10.000;2.000;-3.600;;0.000;-1.572;-59.582;60.273;2.280;-1.399;67.125;5.168;-1.117;
1;146;10.500;2.000;-3.600;;0.000;-2.037;-52.401;52.922;2.569;-1.053;64.003;7.253;-1.157;
1;147;11.000;2.000;-3.600;;0.000;-2.015;-46.320;46.657;2.357;-0.678;60.002;10.186;-1.169;
1;148;11.500;2.000;-3.600;;0.000;-0.734;-42.799;43.100;1.039;-0.606;55.928;11.249;-1.192;
1;149;12.000;2.000;-3.600;;0.000;0.660;-44.659;44.789;0.333;-1.123;52.601;9.361;-1.021;
1;150;12.500;2.000;-3.600;;0.000;1.158;-43.557;43.666;0.000;-1.266;45.386;8.655;-0.901;
1;151;13.000;2.000;-3.600;;0.000;0.613;-32.487;32.662;0.000;-0.788;35.593;11.774;-1.015;
1;152;13.500;2.000;-3.600;;0.000;-1.114;-17.286;17.384;1.213;-0.196;22.794;17.730;-1.190;
1;153;14.000;2.000;-3.600;;-2.198;0.000;-3.033;2.447;3.246;-0.462;10.039;18.725;-1.468;
1;154;14.500;2.000;-3.600;;7.735;0.000;-2.935;0.000;2.910;-7.710;1.224;3.160;-1.746;
1;155;15.000;2.000;-3.600;;11.047;0.000;-0.771;0.000;0.748;-11.023;-7.320;0.000;-33.170;
1;156;0.000;2.500;-3.600;;21.428;8.097;-16.367;0.000;5.143;-18.301;-7.953;0.000;-34.148;
1;157;0.500;2.500;-3.600;;16.142;4.673;-14.659;0.000;8.752;-14.909;7.362;19.035;-6.517;
1;158;1.000;2.500;-3.600;;5.024;3.337;-12.880;7.857;9.543;-12.880;17.410;35.826;-0.101;
1;159;1.500;2.500;-3.600;;0.000;1.806;-18.947;22.552;4.764;-10.176;33.557;10.052;-5.174;
1;160;2.000;2.500;-3.600;;0.000;3.402;-30.009;31.196;0.000;-4.589;47.430;2.309;-8.312;
1;161;2.500;2.500;-3.600;;0.000;2.695;-34.954;37.742;0.632;-6.115;54.170;10.036;-14.889;
1;162;3.000;2.500;-3.600;;0.000;1.375;-31.253;35.302;4.246;-9.670;53.519;17.930;-13.446;
1;163;3.500;2.500;-3.600;;0.000;-0.452;-27.872;29.109;1.811;-2.596;58.508;19.827;-12.131;
1;164;4.000;2.500;-3.600;;0.000;-1.366;-34.311;35.800;2.997;-3.120;63.958;16.665;-11.739;
1;165;4.500;2.500;-3.600;;0.000;-1.047;-44.101;47.071;4.485;-6.407;67.645;10.901;-8.807;
1;166;5.000;2.500;-3.600;;0.000;-0.694;-54.341;57.326;4.050;-6.340;69.783;6.719;-5.586;
1;167;5.500;2.500;-3.600;;0.000;-0.719;-62.109;64.010;2.744;-3.927;69.942;5.233;-1.926;
1;168;6.000;2.500;-3.600;;0.000;-1.054;-62.974;63.137;1.218;-0.327;70.197;8.013;-0.840;
1;169;6.500;2.500;-3.600;;0.000;-1.526;-59.528;59.656;1.654;-0.257;72.283;9.592;-2.986;
1;170;7.000;2.500;-3.600;;0.000;-2.265;-58.895;59.640;3.029;-1.509;73.508;8.404;-2.859;
1;171;7.500;2.500;-3.600;;0.000;-2.444;-59.411;60.590;3.671;-2.405;73.266;6.594;-1.092;
1;172;8.000;2.500;-3.600;;0.000;-2.329;-61.114;62.580;3.869;-3.007;72.792;7.001;-0.758;
1;173;8.500;2.500;-3.600;;0.000;-1.774;-63.452;65.159;3.578;-3.511;72.021;8.252;-1.281;
1;174;9.000;2.500;-3.600;;0.000;-1.528;-67.058;68.614;3.161;-3.190;70.822;7.719;-0.647;
1;175;9.500;2.500;-3.600;;0.000;-1.301;-66.098;66.194;1.397;-0.192;70.293;4.761;-0.783;
1;176;10.000;2.500;-3.600;;0.000;-1.353;-59.973;60.755;2.156;-1.585;70.220;5.776;-3.853;
1;177;10.500;2.500;-3.600;;0.000;-1.535;-52.238;53.165;2.496;-1.888;68.330;9.060;-6.313;
1;178;11.000;2.500;-3.600;;0.000;-1.442;-45.424;45.498;1.515;-0.147;65.054;13.499;-8.018;
1;179;11.500;2.500;-3.600;;0.000;-0.210;-41.561;43.000;1.756;-2.984;60.212;14.811;-6.736;
1;180;12.000;2.500;-3.600;;0.000;0.917;-45.549;48.227;2.135;-5.730;56.711;11.618;-5.715;
1;181;12.500;2.500;-3.600;;0.000;0.935;-45.754;46.173;0.000;-1.355;54.602;12.570;-13.155;
1;182;13.000;2.500;-3.600;;0.000;0.843;-34.106;37.015;2.677;-6.428;50.188;20.173;-21.908;
1;183;13.500;2.500;-3.600;;0.000;0.290;-18.365;21.559;4.962;-8.447;39.964;29.228;-27.048;
1;184;14.000;2.500;-3.600;;2.107;1.543;-6.637;4.529;5.094;-6.637;25.676;32.875;-26.815;
1;185;14.500;2.500;-3.600;;10.434;0.000;-1.802;0.000;1.575;-10.206;7.580;13.972;-12.782;
1;186;15.000;2.500;-3.600;;16.934;3.742;-5.790;0.000;-0.250;-14.636;-10.413;0.000;-32.697;
1;187;0.000;3.000;-3.600;;33.157;15.268;-23.252;0.000;2.636;-27.809;-15.485;0.000;-29.368;
1;188;0.500;3.000;-3.600;;22.296;8.552;-15.476;0.000;3.299;-18.671;28.184;45.515;-38.889;
1;189;1.000;3.000;-3.600;;4.802;3.229;-7.098;2.296;3.869;-7.098;47.476;43.998;-40.262;
1;190;1.500;3.000;-3.600;;0.000;0.535;-15.201;16.638;1.247;-3.218;59.214;25.889;-29.812;
1;191;2.000;3.000;-3.600;;0.000;0.629;-29.954;31.465;1.053;-3.193;66.179;12.595;-25.231;
1;192;2.500;3.000;-3.600;;0.000;-0.368;-40.363;44.544;5.682;-9.495;67.583;8.577;-19.855;
1;193;3.000;3.000;-3.600;;0.000;2.958;-33.120;38.961;10.236;-19.034;64.443;19.948;-14.477;
1;194;3.500;3.000;-3.600;;0.000;0.893;-20.465;21.987;0.899;-3.313;71.490;27.111;-23.735;
1;195;4.000;3.000;-3.600;;0.000;0.179;-30.521;33.419;3.419;-6.496;74.751;18.715;-21.466;
1;196;4.500;3.000;-3.600;;0.000;0.016;-43.587;48.216;5.911;-10.556;76.077;12.449;-16.282;
1;197;5.000;3.000;-3.600;;0.000;-0.803;-55.997;60.563;6.276;-10.039;75.260;7.373;-10.621;
1;198;5.500;3.000;-3.600;;0.000;-2.174;-65.984;68.321;4.690;-4.853;73.404;4.125;-4.600;
1;199;6.000;3.000;-3.600;;0.000;-2.412;-65.774;67.779;4.549;-4.142;72.652;9.757;-2.634;
1;200;6.500;3.000;-3.600;;0.000;-1.280;-57.648;58.310;1.958;-1.339;76.888;12.668;-7.662;
1;201;7.000;3.000;-3.600;;0.000;-1.535;-57.647;58.325;2.230;-1.373;78.112;7.917;-5.629;
1;202;7.500;3.000;-3.600;;0.000;-1.571;-58.870;60.210;2.975;-2.744;77.352;4.872;-1.358;
1;203;8.000;3.000;-3.600;;0.000;-1.758;-60.395;62.179;3.654;-3.680;76.996;6.257;-2.987;
1;204;8.500;3.000;-3.600;;0.000;-1.842;-62.653;65.011;4.391;-4.907;76.164;10.688;-5.368;
1;205;9.000;3.000;-3.600;;0.000;-3.031;-69.701;72.514;6.092;-5.875;73.075;9.328;-2.410;
1;206;9.500;3.000;-3.600;;0.000;-2.535;-68.747;68.912;2.701;-0.331;73.138;3.681;-2.855;
1;207;10.000;3.000;-3.600;;0.000;-1.526;-61.042;63.050;3.676;-4.159;74.820;6.253;-8.211;
1;208;10.500;3.000;-3.600;;0.000;-0.866;-51.804;54.016;3.286;-4.632;75.291;10.617;-13.138;
1;209;11.000;3.000;-3.600;;0.000;-0.444;-42.714;43.649;1.422;-1.913;73.041;15.920;-17.081;
1;210;11.500;3.000;-3.600;;0.000;0.850;-36.918;39.261;1.838;-5.031;68.404;22.458;-17.201;
1;211;12.000;3.000;-3.600;;0.000;0.351;-49.534;55.404;7.720;-13.941;61.435;13.067;-8.924;
1;212;12.500;3.000;-3.600;;0.000;-1.725;-53.088;54.502;3.218;-2.907;67.378;12.481;-26.086;
1;213;13.000;3.000;-3.600;;0.000;0.532;-38.423;43.846;7.221;-13.176;69.365;25.521;-40.698;
1;214;13.500;3.000;-3.600;;0.000;3.578;-21.233;25.575;8.322;-16.242;67.185;38.107;-53.207;
1;215;14.000;3.000;-3.600;;9.281;6.596;-13.309;4.028;6.713;-13.309;55.185;46.904;-59.122;
1;216;14.500;3.000;-3.600;;19.140;2.762;-1.903;0.000;-1.761;-18.238;31.311;44.518;-45.154;
