Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
28;P_y;0.01;0.01;0.00;0.01;-0.04;0.00;concrete part
28;P_y;-0.01;-0.01;0.00;-0.01;0.04;0.00;concrete part
28;P_z;0.03;0.00;0.00;0.01;-0.12;0.00;concrete part
28;P_z;-0.03;0.00;0.00;-0.01;0.12;0.00;concrete part
28;M_x;0.02;0.00;0.00;0.02;-0.07;0.00;concrete part
28;M_x;-0.02;0.00;0.00;-0.02;0.07;0.00;concrete part
28;M_y;-0.03;0.00;0.00;-0.01;0.12;0.00;concrete part
28;M_y;0.03;0.00;0.00;0.01;-0.12;0.00;concrete part
28;M_z;0.00;0.00;0.00;0.00;0.00;0.00;concrete part
28;M_z;0.00;0.00;0.00;0.00;0.00;0.00;concrete part
Extremes;;0.03;0.01;0.00;0.02;0.12;0.00;
28;;-0.03;-0.01;0.00;-0.02;-0.12;0.00;
28;;;;;;;;
31;P_x;0.04;0.00;0.00;0.01;-0.10;0.00;concrete part
31;P_x;-0.04;0.00;0.00;-0.01;0.10;0.00;concrete part
31;P_y;0.01;0.01;0.00;0.01;-0.04;0.00;concrete part
31;P_y;-0.01;-0.01;0.00;-0.01;0.04;0.00;concrete part
31;P_z;0.02;0.00;0.01;0.01;-0.12;0.00;concrete part
31;P_z;-0.02;0.00;-0.01;-0.01;0.12;0.00;concrete part
31;M_x;0.02;0.01;0.00;0.02;-0.06;0.00;concrete part
31;M_x;-0.02;-0.01;0.00;-0.02;0.06;0.00;concrete part
31;M_y;-0.03;0.00;-0.01;-0.01;0.12;0.00;concrete part
31;M_y;0.03;0.00;0.01;0.01;-0.12;0.00;concrete part
31;M_z;0.03;0.00;0.00;0.01;-0.03;0.00;concrete part
31;M_z;-0.03;0.00;0.00;-0.01;0.03;0.00;concrete part
Extremes;;0.04;0.01;0.01;0.02;0.12;0.00;
31;;-0.04;-0.01;-0.01;-0.02;-0.12;0.00;
31;;;;;;;;
34;P_x;0.02;0.00;0.01;0.00;-0.10;0.00;concrete part
34;P_x;-0.02;0.00;-0.01;0.00;0.10;0.00;concrete part
34;P_y;0.00;0.01;0.00;0.02;-0.02;0.00;concrete part
34;P_y;0.00;-0.01;0.00;-0.02;0.02;0.00;concrete part
34;P_z;0.02;0.00;0.01;0.01;-0.11;0.00;concrete part
34;P_z;-0.02;0.00;-0.01;-0.01;0.11;0.00;concrete part
34;M_x;0.00;0.01;0.00;0.02;-0.03;0.00;concrete part
34;M_x;0.00;-0.01;0.00;-0.02;0.03;0.00;concrete part
34;M_y;-0.02;0.00;-0.01;-0.01;0.11;0.00;concrete part
34;M_y;0.02;0.00;0.01;0.01;-0.11;0.00;concrete part
34;M_z;0.00;0.01;0.00;0.01;0.02;0.00;concrete part
34;M_z;0.00;-0.01;0.00;-0.01;-0.02;0.00;concrete part
Extremes;;0.02;0.01;0.01;0.02;0.11;0.00;
34;;-0.02;-0.01;-0.01;-0.02;-0.11;0.00;
34;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
31;P_x;0.04;0.00;0.00;0.01;-0.10;0.00;concrete part
31;P_x;-0.04;0.00;0.00;-0.01;0.10;0.00;concrete part
