Member No.;Node;Location;;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];Flags;;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
3;;1.0800000000000001;E;γ_xz;-0.03;0.00;0.02;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;γ_xz;-0.02;0.00;0.02;0.0;0.7;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;κ_x;-0.02;0.00;0.02;0.0;0.7;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;κ_x;-0.03;0.00;0.02;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;κ_y;-0.02;0.00;0.02;0.0;0.7;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;κ_y;-0.03;0.00;0.02;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;κ_z;-0.02;0.00;0.02;0.0;0.7;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;κ_z;-0.03;0.00;0.02;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;-0.02;0.00;0.02;0.0;0.7;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;;;;-0.03;0.00;0.02;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;
4;5;0.0000000000000000;L | M;;-0.05;0.00;0.04;-0.4;-0.5;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.4444444444444444;E;;-0.05;0.00;0.05;-0.4;-0.3;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.8888888888888887;E;;-0.05;0.00;0.05;-0.5;-0.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.3333333333333330;R | E;;-0.04;0.00;0.05;-0.5;0.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.7777777777777775;E;;-0.04;0.00;0.05;-0.6;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.9999999999999998;E;;-0.04;0.00;0.04;-0.6;0.5;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
