Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;133;4.000;2.000;-3.600;;0.984;0.764;0.984;0.110;
1;134;4.500;2.000;-3.600;;1.192;0.949;1.192;0.121;
1;135;5.000;2.000;-3.600;;1.419;1.161;1.419;0.130;
1;136;5.500;2.000;-3.600;;1.596;1.327;1.596;0.134;
1;137;6.000;2.000;-3.600;;1.634;1.360;1.634;0.137;
1;138;6.500;2.000;-3.600;;1.581;1.304;1.581;0.138;
1;139;7.000;2.000;-3.600;;1.564;1.283;1.564;0.140;
1;140;7.500;2.000;-3.600;;1.571;1.289;1.571;0.141;
1;141;8.000;2.000;-3.600;;1.611;1.329;1.611;0.141;
1;142;8.500;2.000;-3.600;;1.665;1.385;1.665;0.140;
1;143;9.000;2.000;-3.600;;1.733;1.456;1.733;0.139;
1;144;9.500;2.000;-3.600;;1.704;1.431;1.704;0.137;
1;145;10.000;2.000;-3.600;;1.563;1.297;1.563;0.133;
1;146;10.500;2.000;-3.600;;1.384;1.131;1.384;0.127;
1;147;11.000;2.000;-3.600;;1.231;0.993;1.231;0.119;
1;148;11.500;2.000;-3.600;;1.138;0.917;1.138;0.111;
1;149;12.000;2.000;-3.600;;1.176;0.968;1.176;0.104;
1;150;12.500;2.000;-3.600;;1.135;0.955;1.135;0.090;
1;151;13.000;2.000;-3.600;;0.850;0.710;0.850;0.070;
1;152;13.500;2.000;-3.600;;0.459;0.370;0.459;0.045;
1;153;14.000;2.000;-3.600;;0.109;0.043;0.109;0.036;
1;154;14.500;2.000;-3.600;;0.186;0.186;0.184;0.005;
1;155;15.000;2.000;-3.600;;0.279;0.250;0.279;0.066;
1;156;0.000;2.500;-3.600;;0.442;0.382;0.442;0.068;
1;157;0.500;2.500;-3.600;;0.315;0.315;0.280;0.033;
1;158;1.000;2.500;-3.600;;0.267;0.156;0.267;0.072;
1;159;1.500;2.500;-3.600;;0.508;0.396;0.508;0.063;
1;160;2.000;2.500;-3.600;;0.805;0.635;0.805;0.087;
1;161;2.500;2.500;-3.600;;0.929;0.749;0.929;0.096;
1;162;3.000;2.500;-3.600;;0.838;0.662;0.838;0.096;
1;163;3.500;2.500;-3.600;;0.773;0.566;0.773;0.107;
1;164;4.000;2.500;-3.600;;0.941;0.707;0.941;0.118;
1;165;4.500;2.500;-3.600;;1.186;0.931;1.186;0.127;
1;166;5.000;2.500;-3.600;;1.438;1.170;1.438;0.134;
1;167;5.500;2.500;-3.600;;1.629;1.353;1.629;0.138;
1;168;6.000;2.500;-3.600;;1.651;1.372;1.651;0.140;
1;169;6.500;2.500;-3.600;;1.570;1.287;1.570;0.142;
1;170;7.000;2.500;-3.600;;1.558;1.269;1.558;0.144;
1;171;7.500;2.500;-3.600;;1.571;1.280;1.571;0.145;
1;172;8.000;2.500;-3.600;;1.611;1.322;1.611;0.145;
1;173;8.500;2.500;-3.600;;1.665;1.380;1.665;0.143;
1;174;9.000;2.500;-3.600;;1.750;1.468;1.750;0.141;
1;175;9.500;2.500;-3.600;;1.726;1.447;1.726;0.140;
1;176;10.000;2.500;-3.600;;1.576;1.303;1.576;0.137;
1;177;10.500;2.500;-3.600;;1.384;1.123;1.384;0.131;
1;178;11.000;2.500;-3.600;;1.212;0.968;1.212;0.123;
1;179;11.500;2.500;-3.600;;1.111;0.885;1.111;0.114;
1;180;12.000;2.500;-3.600;;1.200;0.986;1.200;0.108;
1;181;12.500;2.500;-3.600;;1.195;1.002;1.195;0.098;
1;182;13.000;2.500;-3.600;;0.901;0.737;0.901;0.086;
1;183;13.500;2.500;-3.600;;0.505;0.377;0.505;0.071;
1;184;14.000;2.500;-3.600;;0.175;0.057;0.175;0.060;
1;185;14.500;2.500;-3.600;;0.246;0.246;0.244;0.023;
1;186;15.000;2.500;-3.600;;0.377;0.327;0.377;0.066;
1;187;0.000;3.000;-3.600;;0.690;0.619;0.690;0.059;
1;188;0.500;3.000;-3.600;;0.488;0.488;0.384;0.077;
1;189;1.000;3.000;-3.600;;0.190;0.190;0.087;0.092;
1;190;1.500;3.000;-3.600;;0.449;0.287;0.449;0.100;
