Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
1;24;11.500;0.000;-3.600;;0.172;1.625;-3.108;-64.216;4.089;-22.029;-0.939;3.088;
1;25;12.000;0.000;-3.600;;-14.665;-6.959;5.947;-36.702;61.370;-9.807;-3.572;9.589;
1;26;12.500;0.000;-3.600;;17.239;0.833;2.661;18.767;-8.988;6.309;1.749;2.452;
1;27;13.000;0.000;-3.600;;16.948;0.892;0.332;-1.837;5.078;-1.477;0.264;0.087;
1;28;13.500;0.000;-3.600;;13.010;0.759;-1.489;-19.673;3.863;-6.539;0.174;0.060;
1;29;14.000;0.000;-3.600;;4.877;1.704;-2.999;-38.121;0.719;-12.638;-0.203;0.162;
1;30;14.500;0.000;-3.600;;-16.946;1.774;-1.487;-75.574;5.778;-24.499;-1.528;4.013;
1;31;15.000;0.000;-3.600;;-54.753;-11.652;12.651;-133.159;63.025;-43.031;-14.488;13.416;
1;32;0.000;0.500;-3.600;;-28.025;-2.767;-7.774;25.069;37.958;0.771;-1.749;-3.351;
1;33;0.500;0.500;-3.600;;-12.193;2.024;0.674;23.463;17.646;-5.526;-2.213;-4.537;
1;34;1.000;0.500;-3.600;;0.822;2.648;1.748;17.045;1.625;-8.316;0.857;-4.767;
1;35;1.500;0.500;-3.600;;10.704;1.952;1.118;11.157;-0.126;-6.803;-0.158;-4.759;
1;36;2.000;0.500;-3.600;;15.298;3.087;1.282;6.415;6.552;-5.581;-1.434;-3.172;
1;37;2.500;0.500;-3.600;;15.165;5.316;-0.759;-1.529;-4.188;-6.970;1.717;-3.207;
1;38;3.000;0.500;-3.600;;-1.680;4.469;-3.708;6.156;38.370;-8.022;-2.635;-3.509;
1;39;3.500;0.500;-3.600;;1.783;4.180;2.360;19.966;15.331;-10.105;-2.333;-4.583;
1;40;4.000;0.500;-3.600;;13.237;4.394;3.221;13.964;5.944;-11.848;-1.099;-3.405;
1;41;4.500;0.500;-3.600;;18.901;4.622;1.385;5.747;5.283;-10.759;-0.485;-2.024;
1;42;5.000;0.500;-3.600;;20.447;4.915;-0.726;-0.287;5.243;-10.001;-0.186;-1.548;
1;43;5.500;0.500;-3.600;;18.171;5.617;-2.505;-5.795;3.115;-10.234;0.011;-1.233;
1;44;6.000;0.500;-3.600;;4.563;5.180;-1.638;2.756;37.124;-10.655;-2.749;-1.368;
1;45;6.500;0.500;-3.600;;11.356;5.026;2.430;13.972;11.706;-11.970;-1.388;-2.003;
1;46;7.000;0.500;-3.600;;19.259;4.735;2.150;8.416;5.941;-13.029;-0.717;-1.171;
1;47;7.500;0.500;-3.600;;21.879;4.824;0.366;0.923;5.499;-12.809;-0.504;-0.140;
1;48;8.000;0.500;-3.600;;20.434;4.866;-1.505;-6.114;5.769;-12.884;-0.657;0.830;
1;49;8.500;0.500;-3.600;;14.314;5.173;-2.421;-11.573;9.020;-11.950;-1.223;1.616;
1;50;9.000;0.500;-3.600;;4.873;5.331;0.901;-1.124;37.115;-10.731;-2.733;1.065;
1;51;9.500;0.500;-3.600;;16.324;5.377;2.791;8.245;6.016;-10.390;-0.137;0.816;
1;52;10.000;0.500;-3.600;;20.277;4.878;1.396;2.713;5.504;-10.255;-0.221;1.149;
1;53;10.500;0.500;-3.600;;19.986;4.722;-0.585;-3.812;5.369;-10.822;-0.458;1.654;
1;54;11.000;0.500;-3.600;;15.682;4.496;-2.326;-11.679;5.906;-11.677;-1.029;2.962;
1;55;11.500;0.500;-3.600;;5.840;4.463;-2.192;-17.500;13.452;-9.809;-2.241;4.113;
1;56;12.000;0.500;-3.600;;0.054;4.750;3.064;-5.021;37.727;-7.290;-2.434;3.326;
1;57;12.500;0.500;-3.600;;14.903;5.418;2.804;3.154;0.256;-5.594;0.989;3.582;
1;58;13.000;0.500;-3.600;;15.246;4.626;0.634;-2.755;4.771;-4.501;0.201;3.497;
1;59;13.500;0.500;-3.600;;12.036;4.268;-1.639;-8.537;4.927;-5.850;-0.385;3.512;
1;60;14.000;0.500;-3.600;;4.212;4.433;-2.872;-17.290;5.638;-7.353;-1.101;4.840;
1;61;14.500;0.500;-3.600;;-8.141;2.819;-1.490;-24.270;16.230;-5.330;-2.177;5.890;
1;62;15.000;0.500;-3.600;;-24.710;-1.792;6.058;-26.009;38.906;0.413;-1.498;4.892;
1;63;0.000;1.000;-3.600;;-10.580;5.951;-3.753;4.871;20.611;2.057;0.874;-0.450;
1;64;0.500;1.000;-3.600;;-6.424;7.394;-0.567;8.923;18.906;1.355;-3.219;-2.264;
1;65;1.000;1.000;-3.600;;0.226;6.251;0.653;16.433;2.869;-0.171;0.879;-2.653;
1;66;1.500;1.000;-3.600;;12.424;0.980;0.636;20.091;-4.343;-8.435;-0.294;-3.157;
1;67;2.000;1.000;-3.600;;12.340;7.963;6.361;7.616;16.361;-12.083;-2.250;-4.910;
1;68;2.500;1.000;-3.600;;10.503;10.211;0.555;-2.354;-1.512;-8.481;1.353;-3.545;
1;69;3.000;1.000;-3.600;;4.827;9.533;-1.172;-0.610;20.837;-6.781;-1.968;-1.138;
1;70;3.500;1.000;-3.600;;6.467;9.089;1.137;8.924;15.103;-7.653;-3.521;-2.618;
1;71;4.000;1.000;-3.600;;12.803;9.076;2.347;9.516;7.761;-8.816;-1.911;-2.609;
1;72;4.500;1.000;-3.600;;17.529;9.199;1.227;5.459;5.196;-9.895;-1.060;-2.087;
1;73;5.000;1.000;-3.600;;18.852;9.523;-0.414;0.313;4.949;-10.426;-0.547;-1.413;
1;74;5.500;1.000;-3.600;;17.143;10.231;-1.272;-3.107;6.232;-10.694;-0.539;-0.637;
1;75;6.000;1.000;-3.600;;11.845;10.578;-0.756;-0.628;19.880;-10.703;-2.251;-0.227;
1;76;6.500;1.000;-3.600;;14.109;9.947;1.220;5.832;12.363;-11.121;-2.308;-1.013;
1;77;7.000;1.000;-3.600;;18.345;9.619;1.636;5.194;7.015;-11.684;-1.329;-0.726;
1;78;7.500;1.000;-3.600;;20.527;9.525;0.364;0.871;5.444;-12.037;-1.090;-0.159;
1;79;8.000;1.000;-3.600;;19.307;9.687;-1.042;-3.692;6.396;-11.750;-1.244;0.423;
1;80;8.500;1.000;-3.600;;15.714;10.150;-1.058;-5.198;10.416;-11.243;-2.103;0.774;
1;81;9.000;1.000;-3.600;;12.298;10.673;0.422;-0.021;19.833;-10.821;-2.233;0.111;
1;82;9.500;1.000;-3.600;;16.475;10.193;1.487;3.784;8.329;-10.817;-0.704;0.363;
1;83;10.000;1.000;-3.600;;18.908;9.595;1.061;1.308;5.660;-10.617;-0.579;1.039;
1;84;10.500;1.000;-3.600;;18.641;9.328;-0.451;-3.552;5.292;-10.163;-0.995;1.648;
1;85;11.000;1.000;-3.600;;14.996;9.267;-1.614;-7.741;7.341;-9.137;-1.777;2.110;
1;86;11.500;1.000;-3.600;;9.506;9.405;-0.788;-7.766;13.706;-7.974;-3.353;2.065;
1;87;12.000;1.000;-3.600;;7.526;9.761;0.989;0.049;20.224;-7.207;-2.019;0.588;
1;88;12.500;1.000;-3.600;;12.952;9.725;1.617;1.758;4.370;-6.765;0.754;1.874;
1;89;13.000;1.000;-3.600;;13.526;8.934;0.459;-2.559;4.140;-5.811;0.062;2.897;
1;90;13.500;1.000;-3.600;;10.624;8.673;-1.216;-8.070;4.847;-4.553;-0.806;3.486;
1;91;14.000;1.000;-3.600;;4.489;8.343;-2.083;-12.144;7.784;-2.863;-1.713;3.686;
1;92;14.500;1.000;-3.600;;-2.896;7.845;-0.659;-11.170;16.159;-1.026;-2.758;2.971;
1;93;15.000;1.000;-3.600;;-8.274;6.389;3.094;-6.736;21.089;1.491;1.462;0.515;
1;94;0.000;1.500;-3.600;;-5.912;10.231;-1.768;9.840;10.178;0.988;1.414;-1.363;
1;95;0.500;1.500;-3.600;;-2.982;12.276;-0.405;7.459;8.319;0.589;-1.803;-1.969;
1;96;1.000;1.500;-3.600;;-0.002;14.739;0.560;5.078;9.669;0.670;-2.620;-1.736;
1;98;2.000;1.500;-3.600;;-0.670;20.522;0.436;11.064;8.263;1.886;2.904;-1.039;
1;99;2.500;1.500;-3.600;;7.978;14.304;-0.177;3.937;1.348;-2.480;0.039;-1.239;
1;100;3.000;1.500;-3.600;;7.038;12.597;-0.566;1.348;9.878;-5.979;-1.737;-1.139;
1;101;3.500;1.500;-3.600;;9.184;12.824;0.565;6.449;6.608;-6.747;-2.852;-1.201;
1;102;4.000;1.500;-3.600;;13.297;12.794;1.135;6.096;4.987;-7.981;-2.456;-1.380;
1;103;4.500;1.500;-3.600;;16.776;12.625;0.748;4.008;3.205;-9.157;-1.551;-1.153;
1;104;5.000;1.500;-3.600;;18.078;12.821;0.011;0.943;3.011;-10.037;-1.017;-0.805;
1;105;5.500;1.500;-3.600;;17.337;13.227;-0.258;-1.659;3.222;-10.493;-1.190;-0.342;
1;106;6.000;1.500;-3.600;;14.722;13.209;-0.177;0.201;9.603;-10.654;-2.083;-0.188;
1;107;6.500;1.500;-3.600;;16.014;13.444;0.452;3.787;5.479;-10.924;-2.160;-0.422;
1;108;7.000;1.500;-3.600;;18.422;13.263;0.764;2.775;4.388;-11.259;-1.832;-0.370;
1;109;7.500;1.500;-3.600;;19.769;13.085;0.278;0.551;3.352;-11.425;-1.582;-0.122;
1;110;8.000;1.500;-3.600;;19.093;13.252;-0.303;-1.885;3.953;-11.340;-1.748;0.141;
1;111;8.500;1.500;-3.600;;17.056;13.499;-0.189;-3.376;4.736;-11.063;-2.054;0.247;
1;112;9.000;1.500;-3.600;;15.177;13.322;0.236;-0.325;9.559;-10.813;-2.066;0.049;
1;113;9.500;1.500;-3.600;;17.252;13.365;0.547;2.118;4.012;-10.703;-1.240;0.152;
1;114;10.000;1.500;-3.600;;18.419;13.017;0.482;0.058;3.485;-10.346;-1.022;0.541;
1;115;10.500;1.500;-3.600;;17.875;12.814;-0.166;-2.700;3.248;-9.620;-1.451;0.842;
1;116;11.000;1.500;-3.600;;15.317;12.880;-0.642;-4.834;4.623;-8.655;-2.274;1.032;
1;117;11.500;1.500;-3.600;;11.850;12.957;-0.174;-5.480;5.973;-7.710;-2.689;0.823;
1;118;12.000;1.500;-3.600;;10.400;12.417;0.644;-1.255;9.687;-7.066;-1.888;0.384;
1;119;12.500;1.500;-3.600;;12.697;12.526;0.674;0.305;2.614;-6.457;-0.408;0.839;
1;120;13.000;1.500;-3.600;;12.444;12.115;0.260;-2.798;2.531;-5.329;-0.317;1.523;
1;121;13.500;1.500;-3.600;;10.035;11.756;-0.550;-6.203;2.982;-3.684;-1.149;1.831;
1;122;14.000;1.500;-3.600;;5.280;11.833;-0.916;-8.251;5.041;-1.876;-1.939;1.827;
1;123;14.500;1.500;-3.600;;0.139;11.653;-0.140;-8.246;6.965;-0.434;-1.291;1.108;
1;124;15.000;1.500;-3.600;;-3.320;10.310;1.425;-7.221;10.264;1.068;2.207;0.124;
1;125;0.000;2.000;-3.600;;-3.829;11.343;-0.634;4.144;0.337;0.216;1.710;-0.748;
1;126;0.500;2.000;-3.600;;-1.785;13.355;1.169;9.568;-1.038;-1.666;-1.119;-1.069;
1;127;1.000;2.000;-3.600;;1.852;12.720;4.385;21.007;10.578;-5.153;-4.981;-1.876;
1;128;1.500;2.000;-3.600;;14.745;0.054;2.127;19.462;12.671;-6.447;-0.195;0.073;
1;129;2.000;2.000;-3.600;;10.194;11.735;-6.967;0.541;-6.072;-4.667;2.131;1.222;
1;130;2.500;2.000;-3.600;;9.353;13.768;-1.779;-1.950;2.676;-4.349;-0.288;1.188;
1;131;3.000;2.000;-3.600;;7.947;13.456;0.145;2.858;-0.058;-5.070;-1.568;0.168;
1;132;3.500;2.000;-3.600;;10.072;13.985;0.205;6.167;0.284;-6.585;-2.599;0.022;
1;133;4.000;2.000;-3.600;;13.628;14.012;0.269;5.265;0.129;-7.790;-2.462;-0.048;
1;134;4.500;2.000;-3.600;;16.574;13.880;0.256;3.460;0.041;-8.952;-1.750;-0.082;
1;135;5.000;2.000;-3.600;;17.858;13.959;0.259;0.972;-0.017;-9.856;-1.246;-0.088;
1;136;5.500;2.000;-3.600;;17.409;14.218;0.243;-1.405;-0.054;-10.390;-1.403;-0.080;
1;137;6.000;2.000;-3.600;;15.399;14.053;0.168;0.489;0.131;-10.651;-2.043;-0.073;
1;138;6.500;2.000;-3.600;;16.580;14.562;0.181;3.550;0.032;-10.885;-2.097;-0.068;
1;139;7.000;2.000;-3.600;;18.521;14.499;0.197;2.278;0.022;-11.149;-1.928;-0.077;
1;140;7.500;2.000;-3.600;;19.579;14.358;0.195;0.426;-0.009;-11.285;-1.788;-0.081;
1;141;8.000;2.000;-3.600;;19.077;14.459;0.177;-1.565;-0.034;-11.228;-1.874;-0.075;
1;142;8.500;2.000;-3.600;;17.451;14.566;0.152;-3.143;-0.050;-11.028;-2.037;-0.060;
1;143;9.000;2.000;-3.600;;15.854;14.166;0.106;-0.412;0.081;-10.838;-2.031;-0.042;
1;144;9.500;2.000;-3.600;;17.511;14.395;0.128;1.865;0.019;-10.657;-1.407;-0.028;
1;145;10.000;2.000;-3.600;;18.324;14.178;0.129;-0.152;0.013;-10.239;-1.216;-0.032;
1;146;10.500;2.000;-3.600;;17.676;14.063;0.122;-2.413;-0.008;-9.503;-1.643;-0.034;
1;147;11.000;2.000;-3.600;;15.476;14.115;0.111;-4.218;-0.025;-8.574;-2.297;-0.028;
1;148;11.500;2.000;-3.600;;12.542;14.061;0.096;-5.213;-0.037;-7.687;-2.472;-0.015;
1;149;12.000;2.000;-3.600;;10.840;13.516;0.106;-1.682;0.070;-7.038;-1.863;-0.001;
1;150;12.500;2.000;-3.600;;12.557;13.585;0.096;-0.022;0.010;-6.299;-0.784;0.012;
1;151;13.000;2.000;-3.600;;12.331;13.012;0.048;-2.783;0.007;-5.096;-0.593;0.011;
1;152;13.500;2.000;-3.600;;9.804;12.960;0.071;-5.554;-0.005;-3.440;-1.287;0.013;
1;153;14.000;2.000;-3.600;;5.578;13.066;0.056;-7.345;-0.012;-1.716;-1.803;0.022;
1;154;14.500;2.000;-3.600;;1.094;12.775;0.042;-7.890;-0.015;-0.411;-0.744;0.034;
1;155;15.000;2.000;-3.600;;-2.205;11.382;0.031;-7.758;0.103;0.749;2.385;0.031;
1;156;0.000;2.500;-3.600;;-4.692;9.858;2.090;6.821;-9.367;0.739;2.010;0.015;
1;157;0.500;2.500;-3.600;;-2.253;11.239;1.073;5.884;-7.795;-1.007;-1.797;0.874;
1;158;1.000;2.500;-3.600;;3.153;9.712;0.639;3.735;-3.162;-2.732;-3.163;1.000;
1;159;1.500;2.500;-3.600;;10.170;7.236;0.041;6.126;4.383;-4.353;-0.655;1.102;
1;160;2.000;2.500;-3.600;;11.907;9.393;-1.403;6.556;-3.486;-5.951;0.877;0.714;
1;161;2.500;2.500;-3.600;;11.092;11.650;-0.733;0.607;-1.070;-6.554;0.674;1.177;
1;162;3.000;2.500;-3.600;;8.040;12.217;0.646;0.796;-9.810;-6.270;-1.737;0.991;
1;163;3.500;2.500;-3.600;;9.438;12.853;-0.144;6.190;-6.103;-7.022;-2.762;1.105;
1;164;4.000;2.500;-3.600;;13.395;12.847;-0.613;5.885;-4.763;-8.093;-2.398;1.225;
1;165;4.500;2.500;-3.600;;16.776;12.673;-0.188;3.861;-3.141;-9.204;-1.534;0.968;
1;166;5.000;2.500;-3.600;;18.019;12.856;0.519;0.858;-3.071;-10.061;-1.035;0.620;
1;167;5.500;2.500;-3.600;;17.254;13.249;0.742;-1.671;-3.388;-10.516;-1.223;0.185;
1;168;6.000;2.500;-3.600;;14.726;13.208;0.539;0.243;-9.334;-10.691;-2.095;0.055;
1;169;6.500;2.500;-3.600;;16.033;13.479;-0.086;3.767;-5.385;-10.985;-2.140;0.293;
1;170;7.000;2.500;-3.600;;18.425;13.287;-0.370;2.723;-4.339;-11.328;-1.812;0.217;
1;171;7.500;2.500;-3.600;;19.746;13.098;0.121;0.492;-3.372;-11.494;-1.582;-0.039;
1;172;8.000;2.500;-3.600;;19.039;13.264;0.662;-1.922;-4.035;-11.406;-1.772;-0.292;
1;173;8.500;2.500;-3.600;;16.993;13.504;0.496;-3.369;-4.876;-11.130;-2.093;-0.364;
1;174;9.000;2.500;-3.600;;15.136;13.358;-0.020;-0.287;-9.391;-10.891;-2.092;-0.123;
1;175;9.500;2.500;-3.600;;17.260;13.390;-0.294;2.108;-3.952;-10.797;-1.233;-0.203;
1;176;10.000;2.500;-3.600;;18.425;13.028;-0.224;0.024;-3.454;-10.443;-1.008;-0.607;
1;177;10.500;2.500;-3.600;;17.860;12.820;0.422;-2.740;-3.265;-9.711;-1.451;-0.913;
1;178;11.000;2.500;-3.600;;15.274;12.891;0.865;-4.858;-4.683;-8.735;-2.294;-1.093;
1;179;11.500;2.500;-3.600;;11.801;12.965;0.387;-5.474;-6.075;-7.782;-2.723;-0.855;
1;180;12.000;2.500;-3.600;;10.368;12.444;-0.499;-1.230;-9.541;-7.139;-1.911;-0.381;
1;181;12.500;2.500;-3.600;;12.692;12.551;-0.532;0.298;-2.581;-6.534;-0.403;-0.815;
1;182;13.000;2.500;-3.600;;12.409;12.159;-0.102;-2.819;-2.514;-5.396;-0.309;-1.510;
1;183;13.500;2.500;-3.600;;10.033;11.752;0.688;-6.225;-2.994;-3.728;-1.156;-1.818;
1;184;14.000;2.500;-3.600;;5.252;11.846;1.031;-8.256;-5.075;-1.893;-1.966;-1.798;
1;185;14.500;2.500;-3.600;;0.102;11.677;0.228;-8.224;-7.019;-0.430;-1.316;-1.048;
1;186;15.000;2.500;-3.600;;-3.337;10.334;-1.365;-7.172;-10.047;1.095;2.237;-0.060;
1;187;0.000;3.000;-3.600;;-9.856;5.933;4.138;4.611;-19.570;1.388;1.349;0.729;
1;188;0.500;3.000;-3.600;;-5.130;7.201;0.259;9.894;-16.969;-1.071;-2.978;2.799;
1;189;1.000;3.000;-3.600;;2.340;7.274;-1.494;12.019;-7.002;-2.960;-2.189;3.028;
1;190;1.500;3.000;-3.600;;9.040;7.257;-1.062;8.886;-2.082;-4.732;-0.872;2.565;
1;191;2.000;3.000;-3.600;;12.632;7.579;0.205;4.102;-2.140;-6.072;0.651;2.226;
1;192;2.500;3.000;-3.600;;12.588;8.873;1.276;-0.230;-1.975;-6.964;1.429;1.729;
1;193;3.000;3.000;-3.600;;6.173;9.270;1.354;-0.011;-20.311;-7.143;-1.896;0.863;
1;194;3.500;3.000;-3.600;;6.939;9.127;-0.645;8.400;-14.812;-7.754;-3.379;2.369;
1;195;4.000;3.000;-3.600;;13.026;9.118;-1.817;9.116;-7.636;-8.889;-1.842;2.380;
1;196;4.500;3.000;-3.600;;17.560;9.241;-0.638;5.162;-5.171;-9.941;-1.039;1.870;
1;197;5.000;3.000;-3.600;;18.743;9.557;0.979;0.086;-5.041;-10.462;-0.569;1.216;
1;198;5.500;3.000;-3.600;;16.936;10.255;1.767;-3.188;-6.575;-10.733;-0.623;0.481;
1;199;6.000;3.000;-3.600;;11.784;10.627;1.023;-0.552;-19.589;-10.780;-2.277;0.141;
1;200;6.500;3.000;-3.600;;14.147;10.043;-0.894;5.749;-12.200;-11.244;-2.247;0.894;
1;201;7.000;3.000;-3.600;;18.369;9.655;-1.228;5.052;-6.977;-11.819;-1.304;0.574;
1;202;7.500;3.000;-3.600;;20.487;9.542;0.055;0.727;-5.468;-12.175;-1.089;-0.003;
1;203;8.000;3.000;-3.600;;19.196;9.699;1.428;-3.811;-6.487;-11.887;-1.273;-0.575;
1;204;8.500;3.000;-3.600;;15.564;10.144;1.370;-5.228;-10.673;-11.379;-2.194;-0.893;
1;205;9.000;3.000;-3.600;;12.229;10.719;-0.238;0.049;-19.646;-10.983;-2.290;-0.152;
1;206;9.500;3.000;-3.600;;16.511;10.243;-1.247;3.735;-8.214;-11.012;-0.668;-0.410;
1;207;10.000;3.000;-3.600;;18.923;9.617;-0.794;1.212;-5.633;-10.811;-0.560;-1.114;
1;208;10.500;3.000;-3.600;;18.610;9.339;0.723;-3.652;-5.310;-10.345;-0.995;-1.731;
1;209;11.000;3.000;-3.600;;14.916;9.274;1.867;-7.822;-7.408;-9.301;-1.801;-2.186;
1;210;11.500;3.000;-3.600;;9.347;9.452;1.012;-7.783;-13.893;-8.120;-3.431;-2.112;
1;211;12.000;3.000;-3.600;;7.516;9.751;-0.863;0.098;-20.062;-7.359;-2.068;-0.570;
1;212;12.500;3.000;-3.600;;12.966;9.763;-1.478;1.725;-4.305;-6.926;0.782;-1.862;
1;213;13.000;3.000;-3.600;;13.526;8.955;-0.296;-2.619;-4.127;-5.950;0.073;-2.911;
1;214;13.500;3.000;-3.600;;10.587;8.697;1.352;-8.129;-4.864;-4.655;-0.815;-3.508;
1;215;14.000;3.000;-3.600;;4.420;8.369;2.208;-12.180;-7.834;-2.912;-1.748;-3.701;
1;216;14.500;3.000;-3.600;;-2.984;7.879;0.756;-11.145;-16.294;-1.023;-2.827;-2.951;
1;217;15.000;3.000;-3.600;;-8.338;6.427;-3.040;-6.630;-20.846;1.562;1.512;-0.447;
1;218;0.000;3.500;-3.600;;-27.774;-2.392;7.477;25.400;-37.073;0.510;-1.452;4.768;
1;219;0.500;3.500;-3.600;;-10.951;2.293;-1.030;24.715;-17.710;-4.830;-2.200;5.552;
1;220;1.000;3.500;-3.600;;1.910;3.954;-2.573;18.251;-4.886;-6.789;-1.251;4.284;
1;221;1.500;3.500;-3.600;;10.255;3.859;-1.758;9.736;-4.105;-5.586;-0.420;2.841;
1;222;2.000;3.500;-3.600;;14.405;4.198;0.528;4.845;-3.608;-4.557;0.393;2.954;
1;223;2.500;3.500;-3.600;;15.382;5.295;2.849;-0.574;2.649;-5.830;1.241;3.368;
1;224;3.000;3.500;-3.600;;-1.181;4.612;4.203;6.732;-37.459;-7.598;-2.449;3.400;
1;225;3.500;3.500;-3.600;;2.358;4.249;-1.943;19.422;-15.385;-9.984;-2.242;4.336;
1;226;4.000;3.500;-3.600;;13.513;4.427;-2.654;13.708;-5.923;-11.747;-1.054;3.182;
1;227;4.500;3.500;-3.600;;18.929;4.675;-0.856;5.603;-5.288;-10.771;-0.473;1.850;
1;228;5.000;3.500;-3.600;;20.324;4.912;1.245;-0.463;-5.298;-10.115;-0.204;1.362;
1;229;5.500;3.500;-3.600;;17.830;5.586;3.043;-6.006;-3.528;-10.323;-0.060;1.045;
1;230;6.000;3.500;-3.600;;4.290;5.346;2.293;2.463;-36.861;-10.777;-2.796;1.263;
1;231;6.500;3.500;-3.600;;11.611;5.015;-2.225;13.753;-11.574;-12.127;-1.330;1.851;
1;232;7.000;3.500;-3.600;;19.277;4.788;-1.771;8.335;-5.945;-13.156;-0.697;1.024;
1;233;7.500;3.500;-3.600;;21.831;4.837;0.001;0.892;-5.517;-13.009;-0.503;0.015;
1;234;8.000;3.500;-3.600;;20.309;4.846;1.875;-6.193;-5.815;-13.164;-0.679;-0.979;
1;235;8.500;3.500;-3.600;;14.049;5.142;2.809;-11.698;-9.316;-12.191;-1.294;-1.773;
1;236;9.000;3.500;-3.600;;4.753;5.359;-0.830;-1.311;-36.946;-10.987;-2.832;-1.132;
1;237;9.500;3.500;-3.600;;16.418;5.450;-2.563;8.097;-5.912;-10.669;-0.096;-0.906;
1;238;10.000;3.500;-3.600;;20.294;4.907;-1.161;2.650;-5.507;-10.489;-0.207;-1.238;
1;239;10.500;3.500;-3.600;;19.957;4.721;0.826;-3.843;-5.383;-11.090;-0.458;-1.728;
1;240;11.000;3.500;-3.600;;15.582;4.489;2.591;-11.745;-5.940;-11.985;-1.048;-3.058;
1;241;11.500;3.500;-3.600;;5.574;4.514;2.386;-17.588;-13.676;-10.056;-2.302;-4.215;
1;242;12.000;3.500;-3.600;;-0.048;4.772;-3.017;-5.141;-37.581;-7.528;-2.519;-3.348;
1;243;12.500;3.500;-3.600;;14.955;5.467;-2.683;3.047;-0.198;-5.831;1.023;-3.628;
1;244;13.000;3.500;-3.600;;15.253;4.642;-0.508;-2.804;-4.778;-4.674;0.210;-3.548;
1;245;13.500;3.500;-3.600;;12.001;4.280;1.784;-8.564;-4.942;-6.026;-0.391;-3.556;
1;246;14.000;3.500;-3.600;;4.115;4.459;3.012;-17.332;-5.670;-7.530;-1.126;-4.915;
1;247;14.500;3.500;-3.600;;-8.301;2.852;1.585;-24.284;-16.426;-5.401;-2.241;-5.980;
1;248;15.000;3.500;-3.600;;-24.943;-1.768;-6.003;-25.940;-38.687;0.569;-1.507;-4.922;
1;249;0.000;4.000;-3.600;;-60.207;-11.448;14.746;137.905;-61.256;-39.430;-13.518;12.465;
1;250;0.500;4.000;-3.600;;-20.666;1.519;-1.094;77.551;-7.749;-22.094;-1.334;3.762;
1;251;1.000;4.000;-3.600;;2.310;1.694;-2.728;39.052;-0.236;-11.153;-0.117;0.132;
1;252;1.500;4.000;-3.600;;11.127;0.765;-1.616;21.640;-3.510;-5.853;0.177;-0.012;
1;253;2.000;4.000;-3.600;;16.102;0.784;0.171;5.306;-5.591;-1.561;0.184;0.012;
