Point No.;Location [m];;;Mass - Translational Direction [kg];;;Mass - Rotational Direction [kgm^2 ];;;
;X;Y;Z;m_X;m_Y;m_Z;m_φX;m_φY;m_φZ;
125;2.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
126;3.000;3.500;-3.600;937.5;937.5;937.5;0.00;0.00;0.00;
127;2.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
128;3.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
129;4.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
130;3.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
131;4.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
132;5.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
133;5.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
134;6.000;3.500;-3.600;937.5;937.5;937.5;0.00;0.00;0.00;
135;5.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
136;6.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
137;7.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
138;6.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
139;7.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
140;8.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
141;8.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
142;9.000;3.500;-3.600;937.5;937.5;937.5;0.00;0.00;0.00;
143;8.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
144;9.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
145;10.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
146;9.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
147;10.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
148;11.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
149;11.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
150;12.000;3.500;-3.600;937.5;937.5;937.5;0.00;0.00;0.00;
151;11.500;3.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
152;12.500;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
153;13.000;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
