Node No.;Mode;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
25;4;0.00000;0.00000;0.00878;0.00000;0.00000;0.00000;concrete part
;;;;;;;;
26;1;0.04672;-0.00470;-0.03468;-0.00201;-0.02077;0.00013;concrete top + steel bottom
26;2;0.00169;0.13149;0.11576;0.05823;-0.00056;0.00000;concrete top + steel bottom
26;3;0.00594;0.05715;0.04697;0.02534;-0.00326;0.00054;concrete top + steel bottom
26;4;0.01424;0.01382;0.00878;0.00618;-0.00112;-0.00366;concrete top + steel bottom
;;;;;;;;
27;1;0.20125;-0.01355;-0.03468;-0.00222;-0.04810;-0.00004;steel top
27;2;0.00617;0.38854;0.11581;0.06417;-0.00142;0.00113;steel top
27;3;0.03653;0.16916;0.04699;0.02796;-0.01001;-0.00013;steel top
27;4;0.00307;0.04185;0.00879;0.00699;0.00493;0.02267;steel top
;;;;;;;;
28;1;0.00000;0.00000;0.02758;0.00000;0.00000;0.00000;concrete part
28;2;0.00000;0.00000;0.11790;0.00000;0.00000;0.00000;concrete part
28;3;0.00000;0.00000;0.05743;0.00000;0.00000;0.00000;concrete part
28;4;0.00000;0.00000;0.00613;0.00000;0.00000;0.00000;concrete part
;;;;;;;;
29;1;0.04672;-0.00434;0.02760;-0.00193;-0.02067;0.00013;concrete top + steel bottom
29;2;0.00163;0.13155;0.11795;0.05823;-0.00090;0.00003;concrete top + steel bottom
29;3;0.00591;0.05887;0.05746;0.02607;-0.00326;0.00055;concrete top + steel bottom
29;4;0.01423;0.00225;0.00613;0.00082;-0.00102;-0.00366;concrete top + steel bottom
;;;;;;;;
30;1;0.20050;-0.01264;0.02759;-0.00206;-0.04787;0.00004;steel top
30;2;0.01046;0.38860;0.11800;0.06417;-0.00291;-0.00104;steel top
30;3;0.03705;0.17417;0.05748;0.02878;-0.01022;-0.00108;steel top
30;4;0.00126;0.00595;0.00613;0.00092;0.00557;0.02286;steel top
;;;;;;;;
31;1;0.00000;0.00000;0.09090;0.00000;0.00000;0.00000;concrete part
31;2;0.00000;0.00000;0.12191;0.00000;0.00000;0.00000;concrete part
