Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;163;3.500;2.500;-3.600;;0.844;0.568;0.844;0.141;
1;164;4.000;2.500;-3.600;;0.959;0.651;0.959;0.155;
1;165;4.500;2.500;-3.600;;1.216;0.883;1.216;0.167;
1;166;5.000;2.500;-3.600;;1.556;1.206;1.556;0.175;
1;167;5.500;2.500;-3.600;;1.865;1.507;1.865;0.180;
1;168;6.000;2.500;-3.600;;1.977;1.615;1.977;0.181;
1;169;6.500;2.500;-3.600;;1.813;1.446;1.813;0.184;
1;170;7.000;2.500;-3.600;;1.714;1.341;1.714;0.187;
1;171;7.500;2.500;-3.600;;1.691;1.315;1.691;0.188;
1;172;8.000;2.500;-3.600;;1.776;1.402;1.776;0.187;
1;173;8.500;2.500;-3.600;;1.925;1.556;1.925;0.185;
1;174;9.000;2.500;-3.600;;2.110;1.744;2.110;0.183;
1;175;9.500;2.500;-3.600;;2.007;1.644;2.007;0.182;
1;176;10.000;2.500;-3.600;;1.744;1.389;1.744;0.178;
1;177;10.500;2.500;-3.600;;1.476;1.135;1.476;0.171;
1;178;11.000;2.500;-3.600;;1.308;0.987;1.308;0.161;
1;179;11.500;2.500;-3.600;;1.273;0.974;1.273;0.151;
1;180;12.000;2.500;-3.600;;1.454;1.170;1.454;0.144;
1;181;12.500;2.500;-3.600;;1.372;1.116;1.372;0.130;
1;182;13.000;2.500;-3.600;;0.938;0.721;0.938;0.113;
1;183;13.500;2.500;-3.600;;0.415;0.413;0.415;0.095;
1;184;14.000;2.500;-3.600;;0.382;0.382;0.328;0.080;
1;185;14.500;2.500;-3.600;;0.367;0.367;0.362;0.029;
1;186;15.000;2.500;-3.600;;0.496;0.379;0.496;0.093;
1;187;0.000;3.000;-3.600;;0.742;0.623;0.742;0.085;
1;188;0.500;3.000;-3.600;;0.674;0.674;0.486;0.103;
1;189;1.000;3.000;-3.600;;0.468;0.468;0.231;0.123;
1;190;1.500;3.000;-3.600;;0.377;0.311;0.377;0.135;
1;191;2.000;3.000;-3.600;;0.820;0.539;0.820;0.152;
1;192;2.500;3.000;-3.600;;1.200;0.903;1.200;0.159;
1;193;3.000;3.000;-3.600;;1.083;0.806;1.083;0.157;
1;194;3.500;3.000;-3.600;;0.684;0.385;0.684;0.166;
1;195;4.000;3.000;-3.600;;0.847;0.504;0.847;0.174;
1;196;4.500;3.000;-3.600;;1.185;0.825;1.185;0.180;
1;197;5.000;3.000;-3.600;;1.608;1.242;1.608;0.184;
1;198;5.500;3.000;-3.600;;2.028;1.657;2.028;0.186;
1;199;6.000;3.000;-3.600;;2.171;1.799;2.171;0.186;
1;200;6.500;3.000;-3.600;;1.814;1.436;1.814;0.190;
1;201;7.000;3.000;-3.600;;1.679;1.289;1.679;0.195;
1;202;7.500;3.000;-3.600;;1.658;1.262;1.658;0.198;
1;203;8.000;3.000;-3.600;;1.756;1.367;1.756;0.196;
1;204;8.500;3.000;-3.600;;1.954;1.576;1.954;0.191;
1;205;9.000;3.000;-3.600;;2.299;1.925;2.299;0.187;
1;206;9.500;3.000;-3.600;;2.134;1.761;2.134;0.187;
1;207;10.000;3.000;-3.600;;1.776;1.407;1.776;0.184;
