Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;82;9.500;1.000;-3.600;;0.170;-1.789;87.71;2.136;-0.162;-2.25;0.173;0.004;-2.01;0.111;
1;83;10.000;1.000;-3.600;;0.217;-1.421;85.37;1.765;-0.209;-4.55;0.172;0.004;-4.18;0.089;
1;84;10.500;1.000;-3.600;;0.242;-1.089;86.21;1.426;-0.227;-4.30;0.169;0.007;-6.44;0.061;
1;85;11.000;1.000;-3.600;;0.253;-0.886;-89.86;1.204;-0.219;-1.72;0.162;0.014;-8.94;0.024;
1;86;11.500;1.000;-3.600;;0.304;-0.885;-84.91;1.174;-0.233;2.41;0.152;0.028;-10.86;0.032;
1;87;12.000;1.000;-3.600;;0.230;-1.437;-83.30;1.713;-0.182;5.00;0.144;0.018;-6.52;0.192;
1;88;12.500;1.000;-3.600;;0.185;-1.374;87.24;1.655;-0.193;-4.58;0.145;-0.009;-13.96;0.174;
1;89;13.000;1.000;-3.600;;0.277;-0.816;78.93;1.100;-0.282;-13.62;0.147;-0.008;-22.78;0.146;
1;90;13.500;1.000;-3.600;;0.336;-0.234;69.12;0.523;-0.355;-24.84;0.148;-0.013;-31.89;0.123;
1;91;14.000;1.000;-3.600;;0.395;0.198;35.66;0.070;-0.441;-46.46;0.137;-0.026;-41.73;0.089;
1;92;14.500;1.000;-3.600;;0.614;0.286;-9.40;-0.168;-0.575;-79.61;0.104;-0.026;-52.91;0.083;
1;93;15.000;1.000;-3.600;;0.626;0.168;-19.49;-0.309;-0.715;67.44;-0.040;-0.075;-0.32;0.143;
1;94;0.000;1.500;-3.600;;0.412;0.114;-30.46;-0.155;-0.567;48.43;-0.005;-0.093;28.57;0.067;
1;95;0.500;1.500;-3.600;;0.521;0.153;-54.76;-0.015;-0.592;44.91;0.082;-0.049;58.87;0.066;
1;96;1.000;1.500;-3.600;;0.570;0.017;-70.54;0.102;-0.479;36.41;0.135;-0.031;70.58;0.144;
1;98;2.000;1.500;-3.600;;0.421;-0.384;-70.86;0.364;-0.466;24.10;0.019;-0.052;61.75;0.182;
1;99;2.500;1.500;-3.600;;0.365;-0.859;-83.81;0.985;-0.348;9.51;0.082;-0.010;34.64;0.171;
1;100;3.000;1.500;-3.600;;0.382;-0.950;89.58;1.208;-0.336;2.32;0.140;0.012;17.02;0.098;
1;101;3.500;1.500;-3.600;;0.382;-0.719;87.45;0.980;-0.318;-0.53;0.135;0.028;10.11;0.020;
