Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;152;13.500;2.000;-3.600;;0.000;15.710;-12.849;12.849;0.000;-15.709;29.685;24.999;-1.785;
1;153;14.000;2.000;-3.600;;4.009;13.717;-0.662;-3.670;0.000;-13.394;12.793;25.790;-2.200;
1;154;14.500;2.000;-3.600;;13.563;13.101;-0.968;0.000;-12.599;-13.097;1.272;3.742;-2.609;
1;155;15.000;2.000;-3.600;;14.845;13.268;-0.481;0.000;-13.023;-14.608;-10.020;0.000;-46.792;
1;156;0.000;2.500;-3.600;;23.453;22.575;-19.547;0.000;-5.818;-20.663;-10.958;0.000;-48.931;
1;157;0.500;2.500;-3.600;;18.862;20.784;-18.654;-1.943;0.000;-19.050;8.476;25.070;-7.307;
1;158;1.000;2.500;-3.600;;9.978;16.662;-16.540;6.442;0.000;-16.542;23.914;51.303;-2.884;
1;159;1.500;2.500;-3.600;;0.000;15.541;-18.255;19.665;0.000;-16.951;43.053;12.620;-4.462;
1;160;2.000;2.500;-3.600;;0.000;17.938;-29.506;30.071;0.000;-18.504;62.400;3.530;-10.361;
1;161;2.500;2.500;-3.600;;0.000;20.012;-38.056;38.835;0.000;-20.791;71.133;14.433;-19.106;
1;162;3.000;2.500;-3.600;;0.000;18.602;-36.428;37.817;0.000;-19.992;70.835;23.338;-17.515;
1;163;3.500;2.500;-3.600;;0.000;16.757;-29.459;29.576;0.000;-16.874;77.241;24.638;-15.261;
1;164;4.000;2.500;-3.600;;0.000;15.192;-33.566;33.652;0.000;-15.278;83.843;20.179;-14.335;
1;165;4.500;2.500;-3.600;;0.000;15.609;-43.847;44.730;0.000;-16.492;88.236;13.015;-10.610;
1;166;5.000;2.500;-3.600;;0.000;16.517;-57.654;58.992;0.000;-17.855;90.759;7.876;-6.706;
1;167;5.500;2.500;-3.600;;0.000;16.971;-70.291;70.996;0.000;-17.677;90.969;5.986;-2.387;
1;168;6.000;2.500;-3.600;;0.000;16.270;-74.834;74.856;0.000;-16.292;91.245;9.121;-1.022;
1;169;6.500;2.500;-3.600;;0.000;15.941;-67.887;67.887;0.000;-15.941;93.713;11.143;-3.702;
1;170;7.000;2.500;-3.600;;0.000;14.512;-63.635;63.656;0.000;-14.533;95.187;9.893;-3.710;
1;171;7.500;2.500;-3.600;;0.000;14.004;-62.640;62.853;0.000;-14.218;94.939;7.829;-1.743;
1;172;8.000;2.500;-3.600;;0.000;14.488;-66.236;66.777;0.000;-15.029;93.894;7.749;-0.355;
1;173;8.500;2.500;-3.600;;0.000;15.693;-72.557;73.115;0.000;-16.252;92.998;9.102;-0.939;
1;174;9.000;2.500;-3.600;;0.000;15.682;-80.290;80.585;0.000;-15.977;91.867;8.658;-0.691;
1;175;9.500;2.500;-3.600;;0.000;16.149;-76.060;76.064;0.000;-16.153;91.059;5.218;-0.617;
1;176;10.000;2.500;-3.600;;0.000;15.553;-65.272;65.382;0.000;-15.663;90.882;6.502;-4.146;
1;177;10.500;2.500;-3.600;;0.000;14.956;-54.393;54.429;0.000;-14.992;88.615;10.431;-7.023;
1;178;11.000;2.500;-3.600;;0.000;15.334;-47.816;47.860;0.000;-15.378;84.757;15.733;-9.102;
