Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;71;4.000;1.000;-3.600;;13.936;7.943;25.77;2.997;12.279;39.20;-1.036;-9.691;-71.46;4.327;
1;72;4.500;1.000;-3.600;;17.705;9.022;8.21;4.342;7.537;43.59;-0.592;-10.363;-77.36;4.886;
1;73;5.000;1.000;-3.600;;18.870;9.504;-2.54;4.683;4.959;86.38;-0.349;-10.624;-82.02;5.137;
1;74;5.500;1.000;-3.600;;17.370;10.005;-10.10;3.682;6.964;116.50;-0.499;-10.734;-86.42;5.117;
1;75;6.000;1.000;-3.600;;12.502;9.921;-21.42;1.291;20.405;91.72;-2.228;-10.726;-88.36;4.249;
1;76;6.500;1.000;-3.600;;14.440;9.616;15.19;2.412;13.670;64.74;-2.193;-11.236;-83.53;4.522;
1;77;7.000;1.000;-3.600;;18.642;9.323;10.28;4.660;8.729;53.48;-1.279;-11.735;-86.01;5.228;
1;78;7.500;1.000;-3.600;;20.539;9.513;1.89;5.513;5.514;80.91;-1.088;-12.039;-89.17;5.476;
1;79;8.000;1.000;-3.600;;19.418;9.575;-6.11;4.922;7.385;119.99;-1.227;-11.767;87.70;5.270;
1;80;8.500;1.000;-3.600;;15.908;9.956;-10.41;2.976;11.641;116.52;-2.038;-11.308;85.19;4.635;
1;81;9.000;1.000;-3.600;;12.629;10.342;10.72;1.143;20.345;90.06;-2.215;-10.839;89.18;4.312;
1;82;9.500;1.000;-3.600;;16.809;9.859;12.66;3.475;9.148;65.57;-0.691;-10.830;87.95;5.070;
1;83;10.000;1.000;-3.600;;19.027;9.476;6.42;4.776;5.809;76.99;-0.472;-10.723;84.15;5.125;
1;84;10.500;1.000;-3.600;;18.663;9.306;-2.77;4.678;6.374;123.87;-0.708;-10.450;80.11;4.871;
1;85;11.000;1.000;-3.600;;15.420;8.843;-14.70;3.288;10.668;136.52;-1.215;-9.699;75.08;4.242;
1;86;11.500;1.000;-3.600;;10.246;8.666;-43.16;0.790;15.753;119.54;-2.565;-8.762;69.11;3.099;
1;87;12.000;1.000;-3.600;;10.159;7.127;75.93;1.516;20.829;89.87;-1.927;-7.299;83.06;2.686;
1;88;12.500;1.000;-3.600;;13.623;9.054;22.54;2.285;4.711;68.09;1.195;-7.206;76.75;4.201;
1;89;13.000;1.000;-3.600;;13.571;8.889;5.65;2.341;4.867;121.72;1.251;-6.999;67.69;4.125;
1;90;13.500;1.000;-3.600;;11.208;8.089;-25.63;1.559;9.414;149.01;1.279;-6.637;59.13;3.958;
1;91;14.000;1.000;-3.600;;9.253;3.578;-66.39;2.838;14.425;147.34;1.443;-6.019;49.43;3.731;
1;92;14.500;1.000;-3.600;;7.885;-2.936;-86.50;5.411;19.643;124.65;1.203;-4.986;36.88;3.094;
1;93;15.000;1.000;-3.600;;7.015;-8.900;78.56;7.958;22.138;107.71;1.992;0.962;44.19;0.515;
1;94;0.000;1.500;-3.600;;10.422;-6.103;-83.82;8.263;14.157;45.97;2.580;-0.178;-49.45;1.379;
1;95;0.500;1.500;-3.600;;12.287;-2.993;-88.48;7.640;11.173;48.12;1.697;-2.911;-29.36;2.304;
1;96;1.000;1.500;-3.600;;14.760;-0.023;87.83;7.392;10.921;62.30;1.417;-3.367;-23.27;2.392;
