Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;56;12.000;0.500;-3.600;max;0.047;0.026;-0.012;0.047;0.026;-0.012;0.041;0.020;-0.003;
1;56;12.000;0.500;-3.600;min;0.000;-0.004;-0.039;0.000;-0.004;-0.039;0.000;-0.005;-0.035;
1;57;12.500;0.500;-3.600;max;0.037;0.010;-0.002;0.037;0.010;-0.002;0.049;0.022;-0.003;
1;57;12.500;0.500;-3.600;min;0.000;-0.003;-0.033;0.000;-0.003;-0.033;0.000;-0.005;-0.043;
1;58;13.000;0.500;-3.600;max;0.027;0.004;0.000;0.027;0.004;0.000;0.052;0.014;-0.003;
1;58;13.000;0.500;-3.600;min;0.000;-0.002;-0.027;0.000;-0.002;-0.027;0.000;-0.005;-0.050;
1;59;13.500;0.500;-3.600;max;0.027;0.003;-0.001;0.027;0.003;-0.001;0.058;0.013;-0.002;
1;59;13.500;0.500;-3.600;min;0.000;-0.001;-0.025;0.000;-0.001;-0.025;0.000;-0.005;-0.052;
1;60;14.000;0.500;-3.600;max;0.030;0.005;-0.004;0.030;0.005;-0.004;0.071;0.026;-0.015;
1;60;14.000;0.500;-3.600;min;0.000;-0.001;-0.027;0.000;-0.001;-0.027;0.000;-0.003;-0.059;
1;61;14.500;0.500;-3.600;max;0.039;0.009;-0.010;0.039;0.009;-0.010;0.061;0.038;-0.030;
1;61;14.500;0.500;-3.600;min;0.000;0.000;-0.033;0.000;0.000;-0.033;0.000;0.002;-0.055;
1;62;15.000;0.500;-3.600;max;0.048;0.023;-0.009;0.048;0.023;-0.009;0.021;0.022;-0.011;
1;62;15.000;0.500;-3.600;min;0.000;0.000;-0.040;0.000;0.000;-0.040;0.002;0.000;-0.040;
1;63;0.000;1.000;-3.600;max;0.013;0.016;-0.006;0.013;0.016;-0.006;0.024;0.016;-0.004;
1;63;0.000;1.000;-3.600;min;0.000;0.001;-0.025;0.000;0.001;-0.025;0.000;-0.008;-0.020;
