Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;42;5.000;0.500;-3.600;min;-0.001;-0.030;-87.68;0.002;0.002;-15.78;-0.002;-0.027;-41.04;0.007;
1;43;5.500;0.500;-3.600;max;0.034;0.003;87.85;0.016;0.024;142.41;0.024;0.002;81.00;0.013;
1;43;5.500;0.500;-3.600;min;-0.003;-0.034;-89.21;0.006;0.013;-73.02;-0.002;-0.024;-79.30;0.008;
1;44;6.000;0.500;-3.600;max;0.035;0.005;54.02;0.016;0.011;175.39;0.021;0.001;83.25;0.014;
1;44;6.000;0.500;-3.600;min;-0.005;-0.035;-54.68;0.008;0.002;-106.46;-0.001;-0.021;-84.90;0.007;
1;45;6.500;0.500;-3.600;max;0.022;0.002;88.65;0.010;0.027;72.78;0.019;0.000;89.38;0.015;
1;45;6.500;0.500;-3.600;min;-0.002;-0.022;-84.17;0.003;0.009;-147.41;0.000;-0.019;-68.25;0.008;
1;46;7.000;0.500;-3.600;max;0.022;0.000;85.28;0.011;0.017;176.43;0.019;0.001;70.12;0.012;
1;46;7.000;0.500;-3.600;min;0.000;-0.022;-88.64;0.002;0.001;-176.11;-0.001;-0.019;-87.01;0.006;
1;47;7.500;0.500;-3.600;max;0.024;0.000;87.99;0.012;0.014;179.98;0.021;0.002;82.48;0.010;
1;47;7.500;0.500;-3.600;min;0.000;-0.024;-85.83;0.002;0.003;-178.96;-0.002;-0.021;-74.73;0.001;
1;48;8.000;0.500;-3.600;max;0.029;0.001;89.71;0.014;0.019;176.73;0.024;0.000;74.87;0.013;
1;48;8.000;0.500;-3.600;min;-0.001;-0.029;-89.31;0.002;0.001;-178.86;0.000;-0.024;-57.13;0.006;
1;49;8.500;0.500;-3.600;max;0.037;0.003;84.64;0.017;0.032;132.14;0.023;0.001;79.39;0.015;
1;49;8.500;0.500;-3.600;min;-0.003;-0.037;-16.55;0.006;0.018;-58.45;-0.001;-0.023;-46.54;0.010;
1;50;9.000;0.500;-3.600;max;0.046;0.005;53.26;0.021;0.010;174.08;0.024;0.002;64.65;0.015;
1;50;9.000;0.500;-3.600;min;-0.005;-0.046;-82.50;0.007;0.003;-177.59;-0.002;-0.024;-61.71;0.005;
1;51;9.500;0.500;-3.600;max;0.034;0.002;84.09;0.016;0.032;79.22;0.029;0.001;56.52;0.016;
1;51;9.500;0.500;-3.600;min;-0.002;-0.034;-83.64;0.004;0.005;-134.24;-0.001;-0.029;-70.76;0.010;
1;52;10.000;0.500;-3.600;max;0.027;0.001;83.04;0.014;0.019;176.82;0.033;0.001;40.21;0.017;
1;52;10.000;0.500;-3.600;min;-0.001;-0.027;-89.55;0.004;0.004;-177.42;-0.001;-0.033;-74.57;0.005;
1;53;10.500;0.500;-3.600;max;0.024;0.000;86.85;0.012;0.015;179.47;0.029;0.001;76.10;0.015;
1;53;10.500;0.500;-3.600;min;0.000;-0.024;-85.83;0.003;0.001;-178.58;-0.001;-0.029;-80.40;0.004;
1;54;11.000;0.500;-3.600;max;0.022;0.000;85.56;0.011;0.019;175.13;0.027;0.000;60.22;0.015;
1;54;11.000;0.500;-3.600;min;0.000;-0.022;-84.97;0.001;0.001;-126.71;0.000;-0.027;-85.07;0.007;
1;55;11.500;0.500;-3.600;max;0.024;0.001;89.10;0.011;0.031;131.29;0.030;0.000;47.67;0.019;
1;55;11.500;0.500;-3.600;min;-0.001;-0.024;-89.93;0.004;0.009;-86.12;0.000;-0.030;-81.23;0.000;
1;56;12.000;0.500;-3.600;max;0.040;0.004;50.32;0.019;0.011;100.32;0.035;0.004;43.34;0.017;
1;56;12.000;0.500;-3.600;min;-0.004;-0.040;-58.20;0.009;0.004;-168.88;-0.004;-0.035;-82.29;0.005;
1;57;12.500;0.500;-3.600;max;0.033;0.003;17.68;0.015;0.027;72.85;0.044;0.005;31.99;0.019;
1;57;12.500;0.500;-3.600;min;-0.003;-0.033;-87.57;0.009;0.014;-133.96;-0.005;-0.044;-82.77;0.007;
1;58;13.000;0.500;-3.600;max;0.027;0.002;89.88;0.013;0.016;24.24;0.050;0.005;46.67;0.022;
1;58;13.000;0.500;-3.600;min;-0.002;-0.027;-84.82;0.003;0.002;-176.71;-0.005;-0.050;-87.01;0.005;
1;59;13.500;0.500;-3.600;max;0.025;0.001;88.56;0.012;0.010;168.32;0.052;0.005;87.98;0.024;
1;59;13.500;0.500;-3.600;min;-0.001;-0.025;-86.73;0.002;0.001;-177.58;-0.005;-0.052;-84.51;0.003;
1;60;14.000;0.500;-3.600;max;0.027;0.001;84.08;0.014;0.011;172.63;0.059;0.003;74.88;0.029;
1;60;14.000;0.500;-3.600;min;-0.001;-0.027;-9.65;0.007;0.001;-123.71;-0.003;-0.059;-21.27;0.012;
1;61;14.500;0.500;-3.600;max;0.033;0.000;78.91;0.017;0.022;115.94;0.052;-0.002;59.36;0.029;
1;61;14.500;0.500;-3.600;min;0.000;-0.033;-14.99;0.013;0.015;-70.66;0.002;-0.052;-32.90;0.017;
1;62;15.000;0.500;-3.600;max;0.040;0.000;67.05;0.020;0.017;133.49;0.022;-0.001;56.56;0.020;
1;62;15.000;0.500;-3.600;min;0.000;-0.040;-47.11;0.005;0.002;-126.94;0.001;-0.022;-45.90;0.006;
1;63;0.000;1.000;-3.600;max;0.015;-0.001;51.52;0.013;0.006;149.39;0.021;0.007;67.78;0.009;
1;63;0.000;1.000;-3.600;min;0.001;-0.015;-56.11;0.003;0.004;-165.63;-0.007;-0.021;-31.73;0.003;
1;64;0.500;1.000;-3.600;max;0.015;0.000;78.64;0.014;0.010;158.28;0.037;-0.003;68.78;0.034;
1;64;0.500;1.000;-3.600;min;0.000;-0.015;-43.66;0.002;0.006;-65.82;0.003;-0.037;-29.23;0.003;
1;65;1.000;1.000;-3.600;max;0.011;-0.001;39.34;0.011;0.032;67.79;0.050;-0.002;52.08;0.028;
1;65;1.000;1.000;-3.600;min;0.001;-0.011;-72.84;0.005;0.012;-113.74;0.002;-0.050;-39.30;0.016;
1;66;1.500;1.000;-3.600;max;0.028;-0.002;22.98;0.016;0.017;168.73;0.047;-0.012;32.74;0.032;
1;66;1.500;1.000;-3.600;min;0.002;-0.028;-73.31;0.012;0.010;-23.07;0.012;-0.047;-62.39;0.021;
1;67;2.000;1.000;-3.600;max;0.035;-0.002;33.57;0.019;0.034;110.80;0.105;0.020;33.84;0.043;
1;67;2.000;1.000;-3.600;min;0.002;-0.035;-58.64;0.017;0.031;-73.90;-0.020;-0.105;-57.56;0.037;
1;68;2.500;1.000;-3.600;max;0.029;-0.001;21.53;0.015;0.026;77.63;0.058;-0.014;24.43;0.038;
1;68;2.500;1.000;-3.600;min;0.001;-0.029;-70.93;0.012;0.021;-106.15;0.014;-0.058;-66.74;0.030;
1;69;3.000;1.000;-3.600;max;0.027;0.001;27.13;0.014;0.008;134.82;0.032;-0.003;40.31;0.020;
1;69;3.000;1.000;-3.600;min;-0.001;-0.027;-85.22;0.002;0.002;-123.01;0.003;-0.032;-77.48;0.005;
1;70;3.500;1.000;-3.600;max;0.027;0.000;89.77;0.014;0.004;160.70;0.024;0.002;88.79;0.013;
1;70;3.500;1.000;-3.600;min;0.000;-0.027;-86.05;0.003;0.001;-171.45;-0.002;-0.024;-76.50;0.007;
1;71;4.000;1.000;-3.600;max;0.028;0.000;87.30;0.014;0.006;174.94;0.022;0.003;82.20;0.011;
1;71;4.000;1.000;-3.600;min;0.000;-0.028;-84.82;0.003;0.001;-178.46;-0.003;-0.022;-85.42;0.006;
1;72;4.500;1.000;-3.600;max;0.028;0.001;87.76;0.014;0.008;173.18;0.021;0.005;78.19;0.010;
1;72;4.500;1.000;-3.600;min;-0.001;-0.028;-83.88;0.000;0.001;-155.30;-0.005;-0.021;-88.78;0.003;
1;73;5.000;1.000;-3.600;max;0.029;0.002;88.97;0.014;0.010;175.31;0.020;0.006;85.33;0.010;
1;73;5.000;1.000;-3.600;min;-0.002;-0.029;-84.49;0.003;0.002;-126.25;-0.006;-0.020;-87.03;0.003;
